index,recommend,content,datetime
1,True,l,2025-07-13 14:21:22
2,True,왜 이렇게 많이 했지,2025-07-13 11:08:40
3,True,풍자 입니다 굿 이게임 사세요,2025-07-13 02:45:35
4,True,친구가 없는데 게임을 어케 하냐구,2025-07-12 17:26:44
5,True,wow,2025-07-12 06:13:15
6,True,잘만든게임,2025-07-10 09:27:38
7,True,너무 재미있어요,2025-07-09 11:34:38
8,True,김근육 시리즈 때문에 구매했음...,2025-07-09 06:07:21
9,True,좋다,2025-07-08 07:25:20
10,True,모든 2창작을 위한 2차 창작,2025-07-07 14:20:10
11,True,ㅖ,2025-07-06 20:17:30
12,False,그냥 모드만 깔았는데 이상하게계속 문제는 209로 뜨고 겜이 강종되거나 이상한 문구가 뜸,2025-07-05 15:14:15
13,True,재밌음요 엄마걸고,2025-07-04 13:33:42
14,True,핵 터트리기 좋음,2025-07-04 08:05:39
15,True,뭐야 내 100시간,2025-07-03 06:07:18
16,True,샌드박스 게임의 장점만을 담아 만든 것 같음,2025-07-02 13:05:31
17,True,정말 할 거 없을 때 손 댈만한 게임,2025-06-30 14:14:17
18,True,그래서 이제 뭐함?,2025-06-29 13:06:36
19,True,rrrrrr,2025-06-29 09:50:03
20,True,아이 나쁜놈들 지뢰 깔지 말라고,2025-06-29 09:04:17
21,True,"Gordon, look here. It's very interesting.",2025-06-29 07:36:08
22,True,공포맵에서 빠루로 친구 엉덩이 때리고 튀면 그만한 재미가 없음,2025-06-27 18:43:41
23,True,인생 게임입니다. 진짜 아무생각 없이 혼자서 해도 너무 잼써요,2025-06-27 13:57:02
24,True,아직 어떻게 해야 재미있게 즐길 수 있는지 모르겠다,2025-06-23 12:08:57
25,True,그냥 겁나 재밌음 ㅇㅇ,2025-06-22 13:47:31
26,True,게임 자체는 뭐 없지만 모드가 뭉탱이로 있어서 컨텐츠가 넘쳐흐르는 게임,2025-06-21 17:36:12
27,True,친구 없어도 재밌어요.. ㅠㅠ,2025-06-21 05:37:41
28,True,너무너무너무너무너무너무 제밌음 강력추천,2025-06-19 11:35:52
29,True,여러분 이거 진짜루 개꿀잼입니다 한번 해보세요,2025-06-18 09:29:30
30,True,게임 용량보다 모드 용량이 몇십배는 더 많으면 개추,2025-06-17 11:03:51
31,True,게리모드는 재미 있지만 폭탄선언할게 있습니다 현재 게리모드에 있는 멀티플레이어 서버에 있는 (독거노인서버)에서 어드민이었던 '음'에게 괴롭힘을 당했습니다. (사인:게리모드에서 킬이 가능해서 죽겨다는 이유) 물론 사과을 헀는데 사과을 했는데도 불구하고 괴롭히기 시작했습니다. 여러분 독거노인서버에 들어가서 저처럼 괴롭힘 스트레스 받지 말고 '음' 이 사람을 발견하면 무시하시는걸 추전 드립니다 하지만 게임은 재미있습니다 감사합니다.,2025-06-17 09:17:14
32,True,"준비물로 친구 구해와야되는 게임

모드보다도 친구가 많을 수록 더 재밌어짐",2025-06-15 10:09:12
33,True,wqe,2025-06-15 10:08:36
