index,recommend,content,datetime
1,True,뭐하세요 어서 같이 할 친구를 찾고 플레이 하지 않고?,2025-07-14 08:56:58
2,True,전설적인 게임 당장 3을 내놓을것,2025-07-13 12:12:13
3,True,맛있다,2025-07-13 02:06:23
4,True,재미있습니다. 근데 4시간 연속으로 달리니깐 멀미가 심하네요.,2025-07-12 06:41:48
5,True,능지 테스트,2025-07-11 18:50:03
6,True,어려워서 머리아프긴 한데 재밌음,2025-07-11 14:34:55
7,True,시대를 관통하는 클래식이라 불릴만한 게임입니다. 짧고 굵게 즐길 수 있어서 더 좋았어요.,2025-07-11 14:15:39
8,True,peak gaming,2025-07-10 14:52:24
9,True,"스팀을 창립한 밸브사들이 어찌 성공했는가?
왜 밸브사는 항상 칭송 받는가?
어찌 3을 안 낸다고 욕을 먹는가?
그들은 박수칠 때 떠나갈 용기가 있는 자들이다.

안 해봤다면 그들이 낸 모든 게임을 해보아라.

이 스팀 존재의 이유이다",2025-07-10 05:47:50
10,True,"잔잔하면서도 재밌는 스토리와 퍼즐, 짧게 뇌세척하기 좋음",2025-07-09 08:08:48
11,True,"<포탈>은 퍼즐에 젬병인 제게 퍼즐의 재미를 알려준 게임입니다.
친절한 설명으로 시작하여 점점 복잡해지는 테스트는 맞아 죽고 빠져 죽고 독에 죽지만,
퍼즐 젬병에게도 도전욕을 자극하는 절묘한 난이도 배치를 보여줍니다.

<포탈>은 퍼즐 게임임에도 흥미로운 배경을 가지고 있습니다.
주인공 첼(Chell)은 애퍼처 사이언스(Aperture Science)라는 의문의 연구 시설에서 깨어납니다.
그리고 글라도스(GLaDOS)라는 인공지능의 안내에 따라 테스트를 받게 됩니다.
퍼즐을 풀어나가면서 주인공은 이 시설이 단순히 테스트 구역이 아니고,
글라도스도 단순한 AI가 아니라는 것을 깨닫게 됩니다.

글라도스는 퍼즐 젬병에게 게임을 계속하게 만드는 또 다른 힘입니다.
그녀는 처음 낯선 환경에 놓인 제게 마음을 놓을 수 있는 “안식처”와 같았고,
시간이 지나 제게 실망하는 모습을 보며 “눈치 보이는 상사”와 같았으며,
나중엔 집착하는 무서운 “전 여자친구” 같더니,
결국엔 “x년”이 되어 반드시 네년을 붙잡아 족치겠다는 각오로 게임에 임하게 해줍니다.

아직 <포탈>을 즐기지 않은 분이 계신다면,
부디 AI의 머리끄덩이를 잡아 흔들고 싶은 마음을 공유할 수 있길 바랍니다.

아, 물론 챗*피티나 *미나이 같은 AI들은 지금도 충분히 머리끄덩이를 잡고 싶지만,
어쨌든 얘들은 우리에게 포탈 건을 주진 않았으니까요.",2025-07-09 07:24:06
12,False,멀미맛,2025-07-08 00:00:51
13,True,퍼즐 스토리 반전 도전과제 재미 하나도 빠트린게 엇는 god of 갓겜,2025-07-06 05:09:15
14,True,the cake is a lie,2025-07-05 12:39:39
15,True,진짜 잘만든 게임인데 후속작을 안내는...,2025-07-04 14:24:16
16,True,명작,2025-07-04 13:39:39
17,True,그저 존나 재밌을 뿐,2025-07-03 18:41:32
18,True,솔직히 내가 틀린 게 아닌 것 같음,2025-07-03 05:06:44
19,True,ㅇㅇ,2025-07-01 17:25:50
20,True,와.... 이거 왜 정말 재밌냐....?,2025-06-28 01:45:27
21,True,내 모든 스팀 게임을 통틀어서 가장 좋아하는 게임! 최근에 다시 샀다!,2025-06-25 16:23:28
22,True,근본 갓겜,2025-06-25 11:45:39
