index,recommend,content,datetime
1,True,스듀 테라리아 마크 같은 게임 좋아하면 추천 ㅎ.ㅎ,2025-07-15 21:25:52
2,True,잼있,2025-07-15 16:59:56
3,True,재미써요,2025-07-15 16:12:03
4,True,"게임 볼륨이 졸라 커요.
너무 배불러서 먹기 힘들 정도",2025-07-15 11:45:02
5,True,어우 컨텐츠 많아,2025-07-15 11:44:42
6,True,중독성 역대급 최고!,2025-07-14 23:29:36
7,True,친구가 돌만 캡니다,2025-07-14 16:16:03
8,True,"친구와 아주 맛깔나게 했던 게임! 스타듀밸리가 농장 갓겜이라면?
코어키퍼는 모험과 전투 갓겜입니다.
지극히 개인적인 소견으로는 상위 티어로 발전하는데 너무 혈안을 올리지 마시길 권장드립니다.
거대한 몬스터 농장도 짓고, 낚시터도 만들고, 대농사도 해보고, 나만의 러브러브 하우스도 건축하고 싶었으나...
엔딩만 보고 달리니 이거 참 현자타임이 많이 오더군요.. 맛있는 건 꼭 아껴드세요 여러분....",2025-07-14 10:40:07
9,True,"계속 빌드업할 수 있는 매커니즘을 가진 게임. 가진 장비를 계속해서 업그레이드 할 수 있고 새로운 광물과 몹, 보스들이 계속해서 나와 질리지 않고 오래 할 수 있는 장점이 있다. 어느 정도 자동화도 가능해서 질릴 수 있는 노가다를 스킵할 수 있는 것이 크다.",2025-07-14 10:25:49
10,True,친구들과 같이하기 좋은 파밍생존게임,2025-07-14 08:53:42
11,True,미친게임,2025-07-13 17:04:45
12,True,"재미있게 즐긴 탐험 게임.

그래픽도 좋고 (물 표현 아주 좋음) 탐험 요소도 많아서 좋았음. (지형마다 고유한 생태계와 특수 장소가 있었음)

보스를 잡으면 '패시브 스킬'이 추가되었는데 스킬마다 키고 끌 수 있었음. (개인적으로는 히드라 3종만 켜뒀음)

게임 설정에서 '시즌'을 자유롭게 설정해서 다양한 이벤트를 즐길 수 있음. (부활절, 할로윈, 벚꽃 등)

농사 지을 때 '괭이'와 '모종삽'을 강력 추천함. (한 번에 수확하고, 한 번에 심을 수 있음 + 괭이는 탐험에도 좋음)

다양한 공격 방식 (물리 근접, 물리 원거리, 마법, 소환, 폭발물)이 있으나 물리 근접이 가장 좋았음.
(게임의 최종병기로 유명한 '스톰브링어'가 물리 근접임)",2025-07-13 13:17:18
13,True,친구들이랑 같이 하니 재밌네용,2025-07-13 06:48:25
14,True,"보통 평가는 잘 안쓰는데 아직까진 갓겜 냄새가 난다 킁킁 
이런 취향 아닌거 같았는데 직접 해보니 생각보다 재밌음 
트라이 해볼만한 가치는 충분히 있다고 봄 
가격도 저렴",2025-07-12 11:39:17
15,True,굿굿 재밌음,2025-07-12 07:52:01
16,True,혼자해도 재밌고 친구들이랑 하면 더 재밌음,2025-07-12 07:28:00
17,True,,2025-07-12 06:13:40
18,True,겁나 갓게임입니다 ㅇㅇ,2025-07-12 06:00:41
19,True,재미가 없는건 아닌데 뭐라해야되나 좀 슴슴하다라고 해야하나..,2025-07-12 04:27:40
20,True,"진짜 엄청 재밌네요

한가지 아쉬운점은 맵을 열어보면 가장자리 안열린 부분이 아직 업데이트가 안되었다는 점 정도인거 같습니다

게임이 완성되면 정말 재밌을꺼 같아요",2025-07-12 02:33:51
21,True,난 재밌던데,2025-07-11 17:54:13
