index,recommend,content,datetime
1,False,"""게임을 켠 순간, 나는 이미 B를 향해 달리고 있었다.""",2025-07-15 06:49:19
2,True,재미있음,2025-07-14 18:02:37
3,True,good game,2025-07-14 07:50:03
4,False,xzgdgg,2025-07-14 03:38:33
5,False,핵쟁이 존나많음 걍 접으셈 사설서버가서 겜해야함 사설서버가서 겜할거면 하셈 벨브가 핵안잡음 매우긍정적도 솔직히 주작이다,2025-07-13 02:32:08
6,True,게임을 시작하면 웬 앵무새같은 머리를 한 선글라스 낀 녀석이 우리를 원탭을 내버립니다.,2025-07-12 08:23:15
7,False,걍 서든하러가련다,2025-07-12 06:41:19
8,False,좆같은 핵,2025-07-12 06:09:31
9,True,걍 고트임 ㅇㅇ 이 게임은 근본 있어서 프라임 안 사고 다들 한번씩 해보시길,2025-07-11 23:50:53
10,True,한국인만 피해라,2025-07-11 19:11:39
11,False,존나 뭐만하면  vac 걸림 미친 게임 핵도 못잡으면서,2025-07-11 18:36:22
12,False,"개 좆같은 씨발 밸브 새끼들아 스킨팔이 그만 쳐하고 핵이랑 작업장좀 잡아라

니들 게임하는 프로선수들이 하도 핵이랑 작업장 판쳐서 돈주고 사설서버 파서 게임하는게 맞다고 생각하는거냐?

그래놓고 니들은 프로리그랑 수수료로 돈 쳐벌고?

1때있던 감시부대는 어디다 가져다 쳐 팔아먹고 씨발 0렙 핵쟁이 계정을 도대체 몇번 만나야하는거냐?

하드웨어 벤을 하던가 좀 해결책을 내놓던가 2 나온지가 한참 지났구만 아직도 핵 관련해서는 한마디를 안하네 씨발년들",2025-07-11 14:20:46
13,True,good,2025-07-11 12:42:24
14,True,뭔프라임하나에이마넌이나하냐사랑해요밸브,2025-07-11 07:32:19
15,False,짱깨들 작업소임,2025-07-10 14:32:49
16,True,"근본 FPS goat. 게임은 그냥 총을 쏘면 되기에 처음 시작할 때는 상관없다. 하지만 브레이킹이라는 요소도 있고 한국에서는 비인기 게임이기 때문에 열심히 하려면 넘어야 할 벽이 몇가지 있음. 
1. 먼저 유튜버나 커뮤티니가 다른 겜처럼 많지 않아서 정보 얻기가 힘들다. 지명 같은거 알려주던 유튜버도 채널 접었음. 워낙 고인물 게임이라 뉴비가 하다보면 이런저런 정보가 필요한데 타 게임들에 비해 찾기 쉽지 않음. 
2. 핵 많음. FPS는 핵 관련해서는 어쩔 수 없다지만 확실히 많은 편임. 요즘에는 아예 스피드+에임핵으로 날아다니며 다 죽여버리는 핵은 없지만 월핵은 종종 보인다. 
3. 언어문제. 한국서버는 워낙 유저가 적은 편이라 고인물들의 양학, 친목 다인큐, 롤 같은 톡식충, 중국 봇의 작업장 등의 문제가 심하다. 그래서 나도 한국서버는 차단하고 중국이나 일본 서버에서 한다. 중국서버는 거의 100퍼 중국인만 만난다. 이 게임 공용어가 영어이지만 중국인은 영어 못한다. 플래쉬, 스모크. GO 같은거도 몰라서 다 중국 언어만 사용해서 간단한 중국어를 공부해야 한다. 일본 서버는 중국인이 좀 적지만 러시아인이 대부분이다. 러시아도 영어 못하는 애들 많다. 쉽지 않음
4. 친구랑 같이하기 어렵다. 같이 할 친구가 있으면 훨씬 재밌고 섬광, 연막 같은 세팅도 함께 할 수 있어서 좋다. 하지만 대부분 브레이킹 어려워서 안하고 언어, 핵, VAC오류같은거 경험하거나 실력차이 나는 사람들한테 쳐맞고 다 탈주한다. 나는 그나마 같이 하는 친구를 구하긴 했는데 열심히 하는건 나밖에 없다. 
내 첫 FPS게임이고 나는 잘 못하는 편이긴 한데 그래도 할만하다. 나처럼 재능 없어도 하다보면 공방에서 1,2등 자주 할 수 있고, 경쟁전 가서도 1등 자주한다. 그냥 존나 열심히 하겠다고 스트레스 받지만 않으면 재밌게 즐길 수 있다. 게임 자체는 재밌음. 아 게임 좀 하다가 프라임 계정으로 업글은 거의 필수라고 생각함. 스킨도 매주 받을 수 있고 깡계로 던지는 애들도 좀 줄어듦. 근데 일반도 경쟁도 수준이 좀 올라가서 뉴비때는 일반 계정으로 실력 기르는게 나은거 같음.",2025-07-10 11:10:42
17,False,noooooob,2025-07-10 06:05:38
18,True,good game,2025-07-08 16:42:36
19,True,꾸준히 발전해라,2025-07-08 12:33:55
20,True,대굴빡쏘는 그 쾌감을 잊지를못해서 계속하는중,2025-07-07 11:15:22
21,False,nn,2025-07-06 17:20:29
22,True,https://steamcommunity.com/id/fallencs/inventory/#730_2_5991964375,2025-07-06 11:01:44
23,True,러시아어와 중국어를 공부할수있다.,2025-07-06 02:56:15
24,True,fdsds,2025-07-05 23:23:59
25,True,good luck & have fun,2025-07-05 19:16:12
26,True,NOT BAD NOT GOOD,2025-07-05 12:31:28
27,False,전에는 핵 잘 잡더니 해이해져서 핵쟁이 실시간으로 안잡냐? 다같이 신고해도 먹히지도 않네 망겜,2025-07-05 09:40:57
28,True,Ez,2025-07-05 06:07:28
29,True,hjhjhjhjhjhjhjhjhjhj,2025-07-05 05:07:18
30,True,무료로 즐기기 좋은 게임,2025-07-04 14:37:23
31,True,아 눈 앞에서 삥 까지 말라고 ㅡㅡ,2025-07-04 08:43:09
32,False,"매칭 되는 것 마다 전부다 작업장에 추방 
하고 싶어도 겜을 할 수가 없네 망겜",2025-07-04 04:32:47
