index,recommend,content,datetime
1,True,디줴이뭭스,2025-07-16 20:19:59
2,True,굿,2025-07-16 14:10:56
3,True,"제게 리듬게임의 재미를 알려준 게임입니다

강추",2025-07-16 13:34:24
4,True,늙었어.. 가면갈수록 실력 퇴화..,2025-07-16 13:11:57
5,True,곡 끝나고 쭐어콘 좀 안 나오게 해 주세요,2025-07-16 11:28:53
6,True,uit867rtyety7etysdtyh,2025-07-16 08:05:13
7,True,Dj subatomic supernova,2025-07-16 05:41:47
8,True,GOAT,2025-07-15 16:28:08
9,True,가볍게 즐기기 좋습니다. 리듬게임중 제일 무난한것 같습니다.,2025-07-15 12:55:50
10,True,b,2025-07-14 19:02:28
11,True,네???????? PUPA (xi Remix)요??????????? 네????????,2025-07-14 14:28:59
12,True,리겜 좋아하는 유저로써 재밌게 했습니당,2025-07-14 12:11:52
13,True,키보드로 플레이하는 건반 리듬게임 중 가장 메이져하면서 현대적인 시스템이 잘 갖춰져있는 게임이 아닐까 싶네요.,2025-07-14 03:06:02
14,True,"약간 리겜의 정석 느낌
ps. dlc 너무 많아요
ㅠ",2025-07-13 16:55:36
15,True,"리겜에 재능이 없어 그런지 난이도는 어렵게 느껴지지만
노래도 좋고 bga도 퀄리티 높게 나와서
재미있게 플레이하는중 
할인기간에는 80퍼까지 할인하니까 할인시즌떄 사는걸 추천",2025-07-13 16:05:19
16,True,꼴리고 재밌다,2025-07-13 15:19:36
17,True,굳,2025-07-13 14:25:02
18,True,디맥 좋아,2025-07-13 12:47:02
19,True,woaldlTdma,2025-07-13 12:24:57
20,True,멀티 도중에 점수 보지 마세요,2025-07-13 10:40:42
21,True,후 재밌다...,2025-07-13 10:23:02
22,True,"[b]일기장 수준으로 지극히 개인적인 의견입니다. 📝[/b]

[b][ 좋았던 점 😆 ][/b]
- 평소에 노래 듣는 걸 좋아해서 정말 좋아하는 게임
- 다양한 취향의 BGM과 예쁜 BGA로 가득함

[b][ 싫었던 점 😡 ][/b]
- 오래 하면 팔이 너무 아파서 길게 플레이 못 함
- 100시간 이상 했는데 어느 방에 들어가도 내가 제일 못함

[b][ 개인적인 선호도 별점 ⭐️ ][/b]
★★★★★ (5.0)",2025-07-13 09:13:41
23,True,디제이 맥스 화이팅,2025-07-13 08:51:15
24,True,최고에요,2025-07-13 03:01:34
25,True,틈틈이 하기에 좋음,2025-07-12 11:52:56
26,True,재미씀,2025-07-12 10:36:26
27,True,"""공연은 즐거우셨나요, 여러분?""",2025-07-12 09:26:42
28,True,재밌어요~!,2025-07-12 07:59:50
29,True,"피망 뉴맞고 이딴 걸로 돈 빨던 네오위즈 새끼들이 정신 차리기 시작한 계기가 된 게임 아닌가?
이 게임의 성공이 아니었담 산나비, P의 거짓은 없었을 것 같음
피망 뉴맞고 2025나 내놨겠지 정신 똑디 차리라!!!",2025-07-12 06:10:06
30,True,박시율같은 친구가 하면 되는 게임,2025-07-12 04:42:38
31,True,디맥 존나 재밌다 리듬게임 뉴비들 할만함,2025-07-12 03:15:12
32,True,갓겜,2025-07-11 13:48:18
33,True,운영좀 잘하자....,2025-07-11 13:00:53
34,True,어...라...?내3시간이...?,2025-07-11 12:49:05
