index,recommend,content,datetime
1,True,"아주 재밌음
지인들과 코옵위주 플레이를 추천함",2025-07-16 02:03:50
2,True,"2일차 밤인데 ""네트워크 오류""가 발생해 게임을 진행하지 못했습니다. 서버쪽에 오류가 있는것 같은데요?

2日目の夜に「ネットワークエラー」が発生しました。これはサーバーにエラーがありますか？

The game was disconnected on the second night due to a network error. It seems like there was an error with the server.

第二天晚上，我因网络错误被踢出了游戏。

Es war die zweite Nacht und das Spiel stürzte aufgrund eines Netzwerkfehlers ab. Liegt ein Serverfehler vor?",2025-07-15 22:26:33
3,True,예아,2025-07-15 22:26:04
4,True,"재밌는데 겜하다가 네트워크 오류 뜨면서 팅기는거 좀 고쳐라 프롬색기들아 
막 보스 문앞에서 갑자기 네트워크 입구컷 하면 어캐하노",2025-07-15 22:26:03
5,True,daily dopamine,2025-07-15 19:55:20
6,True,.,2025-07-15 17:08:14
7,True,.,2025-07-15 16:00:34
8,True,겜 어떻게 돌아가는지 좀 적응하면 할만함,2025-07-15 14:56:09
9,True,구경만하지 말고 살려줘 개새끼들아,2025-07-15 12:26:57
10,True,방울사냥꾼 나오면 그냥 멀 못함 친구들이랑 도전했다 그냥 망한 판이 한두판이 아님 ㄹㅇ 또 큰성채 항아리 던지저대는 거인들 찢어 죽이고 싶음 그냥 지나만 가도 친구들 살리느라 정신이 없음 근데 잼있음,2025-07-15 11:06:15
11,True,방울 사냥꾼 방울 두쪽에 전회갈기고싶다,2025-07-15 08:12:22
12,True,"단점
맵이 1개 라는 단점
반복되는 패턴
소통의 수단이 핑1개라는 점
무기 기술이 너무 적다보니 제한적임
뉴비들이 오게될시 답답하게 막힌다는 점
DLC가 나올지 모르겠지만 맵에대한 추가요소들이 증가해야 함
어느순간 넘어가면 난이도가 너무 쉬워짐

장점
캐릭터들이 기존에 느낄수없었던 재미 있음
3일째 보스들은 기존에 보지못한 패턴의 보스들을 접해서 재미 있음",2025-07-15 08:12:04
13,True,Good,2025-07-15 07:52:07
14,True,"이미 다크소울-엘든링 시리즈를 경험했거나 게임을 같이 할 친구가 있는 이들에게 추천

저널+유물을 목적으로 계속 게임을 할때까지는 재밌음

그런데 그렇게 즐기고 나서 계속 재밌게 할 수 있느냐? 라고 물으면 좀 그럼

몹 다양성 적음
고정된 맵, 고정된 게임플레이, 고정된 보스 < 몇십시간 후 금방 질림
네트워크 튕기거나 렉 걸리는 프롬게임 특유의 고질적인 서버문제
랜덤유저 매칭이라는 특성상 생기는 핵, 탈주 등 멀티의 고질적인 문제
등

5만원 이라는 돈값을 못하는 게임
3~4만원 정도였다면 엘든링 해봤으면 일단 잡숴보라고 추천할만했을듯

하지만 재밌게 한건 사실이라 일단은 추천함",2025-07-14 14:36:42
15,True,.,2025-07-14 14:16:07
16,True,"재미있긴 한데,
평일은 매칭 안 잡히고,
주말에도 오후 6시 이후에 잘 잡힘
그래서 고인물은 솔플로 잡는 것이 시간효율이 좋음
또한 강화보스 매칭은 잘 잡히는데,
뉴비를 위한 일반보스 매칭은 안 잡힘.
뉴비유입이 굉장히 어려운 시스템.
어느정도 시간이 지나면 새로운 보스만 매칭 잡히고, 
기존 보스는 솔플 클리어.
이렇게 게임이 흘러갈 듯 함.

가능하면 엑박,플스,스팀 유저를 한번에 모을 서버가 필요하다고 느낌.
없다면 솔플 위주의 고인물게임이 빠르게 진행 예상됨.",2025-07-14 11:06:50
17,False,ㅈㄴ튕김,2025-07-14 10:01:26
18,True,"공팟은 알잘딱 파티이거나 탈주 마려운 병x파티 이 두가지 경우가 대부분임. 물론, 3명이 모이면 꼭 한놈은 병x이기 때문에 병x파티일 확률이 높다.  생각보다 소울류시리즈를 안 해본 것처럼 보스회피조차 안하고 무지성쳐맞딜하면서 눕는 뉴비들도 공팟에서 많이 보인다.

결론) 준비물:서로 욕하면서 잼께 즐길 수 있는 친구 2명 or 개빡숙 망령 친구 2명 or 금손 본인(솔플)
                     금손이면 공팟보단 솔플해라. 사람혐오만 생김. 
         준비물만 있으면 게임은 초갓겜이니 구매 추천합니다.",2025-07-14 06:57:22
19,True,"다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴
다음 영원한 밤의 왕 언제 나옴",2025-07-14 03:51:23
20,True,"이게임은 똥입니다. 본편을 했던사람도 플레이 하자마자 
""뭐 이딴걸 만들어놨냐."" 하고 환불을 하게 만들어놨습니다
그런데 환불하면 떠오르고,...
다시 구매해서 하다보니 좆같아서 환불하려는데 시간을 놓쳐서 환불 실패
결국 하다보니 계속했습니다
그러다보니 이런 생각이 들게됩니다

이건 똥맛 카레인가, 카레맛 똥인가?

똥맛 카레라면 존나 맛없는 음식물입니다. 먹을 가치가 없죠
하지만 카레맛 똥이라면? 똥이지만 극상의 맛을 가진 똥입니다
플레이타임 100시간을 넘긴 지금와서 다시 생각해보면 카레맛 똥인거같습니다
븅신같이 만든 똥인건 맞는데 개쩌는 카레맛이어서 계속먹게되네요
내가 똥먹는자라니",2025-07-14 01:48:50
21,True,재미있음,2025-07-13 20:28:15
22,True,2인모드 깔아서 했는데 재밌음,2025-07-13 19:50:29
23,True,"처음 이 게임이 출시되었을 때 부정적인 의견이 많아서 한동안 플레이를 미루고 있었습니다. 하지만 관련 영상들을 보다보니 나름의 재미가 또 있는 것 같아 구매 후 직접 플레이를 해봤습니다. 

처음 약 5시간 정도는 속도도 빠르고, 어디로 가야 할지도 모르겠고, 멀티플레이에서는 자꾸 죽기만 해서 팀원들에게 미안한 마음도 들고… 전반적으로 부정적인 경험이었습니다.

그런데 어떻게든 첫 보스를 솔플로 클리어하면서부터 이 게임이 어떤 방식으로 진행되는지 감이 잡히기 시작했습니다. 지금 이 후기를 쓰는 시점에는 마지막 보스를 제외한 나머지 보스를 모두 멀티플레이로 클리어했습니다.
나름대로 협력하는 재미도 있었고, 보스전도 재미있어서 추천드립니다.

다만, 혹시 소울라이크, 프롬 소프트웨어 스타일 게임을 처음 접하신다면, 이 게임을 입문작으로 선택하는 건 추천드리지 않습니다.",2025-07-13 16:54:55
24,True,도전과제까지 다 깻으니 따봉드림 알차게 즐겼다,2025-07-13 15:46:18
25,True,:),2025-07-13 15:27:30
26,True,본편보다 가볍게 하기 좋음,2025-07-13 15:22:12
27,True,남들도 한입만 해봤으면 좋겠다,2025-07-13 12:46:28
28,True,먹을만함,2025-07-13 09:51:45
29,True,밸런스 패치만 잘 된다면 더 재밌었을 텐데...,2025-07-13 05:06:21
30,False,제발 나도 공격좀 하자 가만히 있어봐,2025-07-13 02:19:58
31,True,기본 보스는 원트에 가능 아주 적절한 난이도 따봉,2025-07-12 19:31:49
32,True,최종보스 원트 컷,2025-07-12 19:31:16
