index,recommend,content,datetime
1,True,진짜 졸라 재밌음,2025-07-16 05:13:41
2,False,"게임 서버를 개 조져놓은 흔한 망겜
유튜브아니었으면 이미 진작에 없어졌을 게임",2025-07-16 02:38:17
3,True,굿,2025-07-16 00:42:49
4,True,"게임이 생각보다 깊어서 자주 찾게 되고,난이도도 갈수록 어려워지기에 레벨을 깨는 재미가 있어요.보통은 친구들끼리만 하는데, 전 같이할 친구가 별로 없어서 주로 혼자 하지만 그래도 재밌어요.혼자 하는것도 굳",2025-07-15 14:18:23
5,True,빵쿠르트 내 더블점프 먹지말라고,2025-07-15 13:45:27
6,True,"재미있어요. 로그라이크 특유의 중독성도 있는데 혼자 하면 공포 요소가 상당히 부각돼서 굉장히 흥미진진한 플레이가 됩니다. 단점이라면 3D 멀미가 심하게 온다는 건데, 1인칭이라 어쩔 수 없다 싶기도 하고, 흔들리는 요소가 많은 건 좀 힘들기도 하고 그렇네요.",2025-07-15 13:34:15
7,True,진짜 재밌어요,2025-07-15 13:10:14
8,True,재밋어요,2025-07-15 12:09:42
9,True,good game,2025-07-15 11:36:10
10,True,아가리 쩌어어어억,2025-07-15 07:48:25
11,True,"아이템 모으는 맛이 있음
애들 성장하는 거 보는게 매우 즐거움",2025-07-15 03:50:37
12,True,겜알못친구들과도 하기 좋은 게임,2025-07-15 02:36:11
13,True,모드를 깔아서 하면 더 재미있고 친구들이랑 할거없을때 시간 때우기 용 으로 좋음,2025-07-14 16:16:22
14,True,찐따면 사지마라,2025-07-14 16:14:52
15,True,오픈 채팅방 들어가서 디코방 사람들이랑 해보세요 진짜 재미있어요.. 공개방에  KR 해두고 공개방 모집해도 제미 있습니다,2025-07-14 15:40:32
16,True,"혼자 하면 공포겜, 셋 이상이 하면 스파링 겜",2025-07-14 13:23:52
17,True,굿굿,2025-07-14 13:18:44
18,True,리썰 상위호환,2025-07-14 10:10:39
19,True,"도자기 (였던 것)
컴퓨터 (였던 것)
접시 (였던 것)
피아노 (였던 것)
슈거글라스가 너네보다 튼튼하겠어",2025-07-14 04:26:42
20,True,친구랑 같이하면 재밌고 혼자하면 ㄹㅇ 공포겜 됨,2025-07-14 00:01:51
21,True,같이 할 친구는 없지만 혼자서도 재미있어요........,2025-07-13 17:16:54
22,True,설치하고 그자리에서 친구들이랑 4시간 이상 박아버림;; ㅈㄴ재밌음 친구들이랑 소통하면서 놀고 공포게임요소가 가끔튀어나오는게 ㅈ잼,2025-07-13 13:13:50
23,True,잼있다,2025-07-13 11:25:44
24,True,"친구랑 할때 중요한 점은
내가 물건을 들고있음을 어필하는것이다
내 친구를 도자기로 만들어 버릴순 없기 때문",2025-07-13 09:49:19
25,True,재밋서요,2025-07-13 09:39:17
26,True,2025년 최고의선택.,2025-07-13 08:08:29
27,True,무서운데 재밌는데 또 많이 싸우는 게임,2025-07-13 07:54:25
