index,recommend,content,datetime
1,True,내 인생을 아서에게 갈아 넣었다.,2025-07-16 04:32:12
2,True,"약 133시간동안 내 세상은 오직 레데리였다.
강추. 다른말이 필요없음",2025-07-16 04:03:38
3,False,대부분의 임무가 동일한 방식으로 진행돼서 지루합니다. 거의 모든 퀘스트가 누구를 만나서 같이 뭘 하러 갔다가 총싸움 하고 돌아오는 구조로 이루어져 있습니다. 게다가 이동하는 중에는 어린이 보호구역마냥 제한속도 걸려서 빨리 갈 수도 없구요. 소수의 서브 퀘스트를 제외하면 전부 이렇게 진행되기 때문에 어떻게 될지 뻔히 보이는 게임을 따라가는 느낌이 들어 긴장감도 없습니다. '아 곧 싸우겠구나' 하면 총질 시작합니다. 어떤 점에서 그렇게 인기가 많았는지 모르겠네요.,2025-07-16 01:51:26
4,True,j,2025-07-15 16:21:48
5,True,"게임 자체의 완성도는 매우높고 랜덤인커운터도 많이 존재하니 아주 좋은게임입니다
스토리도 매력적이며 생각치도 못한 디테일도 많이존재하여서 찾는재미도 쏠쏠합니다
생일인 친구에게 이것을 선물해주면 매우 좋아할겁니다",2025-07-15 14:19:59
6,True,분명 1시간 할려했는데 10시간 해버렸습니다,2025-07-15 12:16:17
7,True,락스타 겜은 무조건 하지 ㅅㅅ,2025-07-15 11:39:18
8,True,퀄리티 ㅈㄴ좋음,2025-07-15 11:30:33
9,True,"아서 모건 
의를 위해 굶주리 목마른 자는 복이 있나니",2025-07-15 11:10:11
10,True,슬픈게임,2025-07-15 10:49:42
11,True,와우 인생게임,2025-07-15 06:20:15
12,True,인성테스트 게임,2025-07-14 16:29:06
13,True,핵쟁이들땜에 온라인 계속팅기는거아니면 재밌음,2025-07-14 13:06:29
14,True,"최곱니다.
그래픽, 스토리, 자유도, 캐릭터의 매력...어느 하나 빠지는 게 없는 명작이에요.",2025-07-14 12:57:45
15,True,시간 살살 녹는다잉,2025-07-14 12:36:47
16,True,나는 분명히 30분만에 챕터1 다 한거같은데 시계를 보니 세시간이 지나있다.,2025-07-14 08:36:04
17,True,재미있음,2025-07-14 05:16:36
18,True,good,2025-07-14 03:35:47
19,True,광광우럭따,2025-07-13 15:29:10
20,True,아서 죽지마ㅠㅠㅠ,2025-07-13 14:59:48
21,True,"GTA는 매우 재미없게 했다
이 게임은 초반 컷씬 때문에 재미없을 줄 알았다

이 게임은 스토리를 등지고 자기가 하고 싶은 걸 마음껏해도 진짜 재밌다.
GTA 회사답다.
무조건 해라",2025-07-13 14:01:23
22,False,처음엔 재밌게했으나 나중엔 그냥 결말보려고 함,2025-07-13 12:48:39
23,True,★★★★★,2025-07-13 12:23:17
24,True,아서,2025-07-13 10:38:54
25,True,"""That's The Way It Is""",2025-07-13 10:11:08
26,True,인생 최고의 게임,2025-07-13 08:20:30
27,True,.,2025-07-13 06:57:55
28,True,이 게임을 한 기억을 없애고 다시 하고싶다,2025-07-13 05:59:16
29,True,좀 지루한 부분이 있는데 할만함,2025-07-13 02:13:36
30,True,내 인생 최고의 갓겜,2025-07-12 15:46:45
31,True,명작이라고 부르는건 다 이유가 있다,2025-07-12 15:26:05
32,True,뭐 말이필요합니까,2025-07-12 14:24:37
33,True,"인생 최고의 게임 중 하나입니다.
온라인은 좀 하자가 있는 것 같습니다. 싱글 스토리만 생각하고 구매한다면 추천입니다.",2025-07-12 13:35:25
34,True,아서.... 죽지마...,2025-07-12 13:20:04
35,True,Good game,2025-07-12 13:12:55
36,True,서부시대에 직접 들어갔다 나온 느낌 첫 엔딩을 봤을 때 너무 여운이 남아 한동안 아무것도 못했음,2025-07-12 12:16:00
37,True,애터미진 더치 마이카,2025-07-12 10:38:36
38,True,이게임하고 서부시대 뽕차서 한동안 리볼버만 찾음,2025-07-12 08:01:14
39,True,"게임이 너무 루즈하고 템포가 느려서 지루함 자꾸 몰입이 되려다가 말아서 못하겠음.. 갓겜 인생겜이라길래 해봤는데 
아무래도 사람마다 다른게 맞긴 한듯 그래도 중간중간 재밌게는 함",2025-07-12 07:43:26
40,True,개재밌음,2025-07-12 06:04:14
41,False,내 기준 레데리2 <<< GTA5,2025-07-12 05:36:09
42,True,"4.9/5
명작. 
충격적.",2025-07-12 04:36:06
43,True,아서 모건 어디있는거니,2025-07-12 04:27:23
44,True,처음엔 배경이 어색해 웬지모를 거부감 한 10시간정도부터 게임이 자꾸 생각나는 중독성있음,2025-07-12 02:57:06
45,True,d,2025-07-11 18:22:39
