index,recommend,content,datetime
1,True,재밌당,2025-07-16 04:54:50
2,True,타이난 그는 신인가?,2025-07-16 03:51:40
3,True,갓겜의 갓DLC임 말도안됨,2025-07-15 17:46:15
4,True,이건 바닐라임,2025-07-15 16:07:08
5,True,타이난 그는 신이야!!!!!,2025-07-15 15:52:45
6,True,재밌음,2025-07-15 14:42:54
7,True,"갓 DLC 나왔네~
지금까지 DLC들이 그지 같았던건 오딧세이를 위한 컨셉바탕이었을 뿐
중세 우주선, 정신병자 우주선, 시체우주선 뭐든 되네",2025-07-15 13:27:28
8,True,어디선가 먹어본 맛들인데 더 깔끔해진 느낌,2025-07-15 13:24:28
9,True,"진짜 림월드 최고의 dlc다.
한 기지 10년쯤 넘어가면 슬슬 질리고 새지구 가고 싶으넫, 10년이 넘어가도 계속 하고 싶을정도로 재밌따
꼭 사라
두번사라",2025-07-15 13:04:10
10,True,일단 사라 게임이 달라진다,2025-07-15 12:18:18
11,True,"림월드에서 가장 쓰레기같고 끔찍했던 외부 파견 & 상단 플레이를 MZ하고 획기적으로 개선해주는 DLC입니다.

수많은 추가요소를 제치고 우선 가장 획기적인건 '중력 부양선' & '왕복선' 이 2개 입니다. 
왕복선은 로얄티 DLC에서 제한적으로 쓰던 그 왕복선인데
플레이어가 직접 여러개 만드는게 가능해서 연료만 확보되면 얼마든지 '장기간 & 장거리 파견'이 가능해집니다.
태양차단기 메카 전초기지? 이데올로기 고대 유적? 아노말리 조난신호? 응 어쩔왕복선
물자 부족하다고? 응 수송포드쏴주면그만이야

그리고 메인 콘텐츠인 중력부양선. 특수 양탄자 위에 기지를 통으로 올려놓고 날아다닌다는 느낌으로 이해하시면 됩니다.
이 중력부양선 크기를 키우거나 효율을 높이려면 다양한 탐험 퀘스트로 특수 부품들을 모아야하는데
이 전용 퀘스트들이 전부 '장거리 이동 & 장기간 체류'를 강제하기에 자연스럽게 중력부양선에서 살아가게 됩니다.

중력부양선의 단점은 하나인데, 메인 기지랑 동시에 굴릴 경우 좀 귀찮아 진다는 겁니다.
기지랑 부양선이 동시에 한 맵에 존재한다? 두 창고가 구분이 안돼서 한쪽으로 물자가 싸그리 몰려지기도하고
기지의 정착민이 굳이 부양선 내 설비 이용한다고 동선 쓰레기인채로 왔다갔다 거리기도 합니다.
구역설정과 상호작용 금지로 대충 해결되긴 합니다만 불편한건 마찬가지.
아니면 처음부터 부양선 시나리오를 골라서 중력부양선 자체를 메인기지로 쓰는게 좋겠습니다.

총평으로
정적인 기지 안에서 무료하게 살아가는게 질렸다면 
압도적인 편의성과 퀄리티, 색다른 모험과 보상이 준비된 외부 활동을 즐길 수 있는 오디세이를 즐겨보는걸 추천합니다.",2025-07-15 11:40:56
12,True,"림월드-오디세이(완벽)

이 조각은 2025년 7월 11일, 타이난 실베스터가 DLC를 발표하는 장면을 묘사하고 있다.
타이난은 중앙에 거대한 인물로 묘사되어 있으며, 그의 등 뒤로는 광휘가 퍼지고 있다.
그의 오른손은 마우스를 클릭하고 있고, 그 손끝에서 **'커밋됨'**이라는 빛나는 글자가 떠오른다.
주변에는 수십 명의 유저들이 무릎을 꿇고 고개를 숙이고 있으며, 일부는 공중에 손을 뻗은 채 눈물을 흘리고 있다.
한 인물은 DLC 설명서를 품에 안고 있으며, 또 다른 인물은 패치 노트를 벽에 새기고 있다.
배경에는 거대한 증기기관과 데이터 전송선이 하늘을 가르고 있고, 구름 사이로 “성능 향상”이라는 문구가 희미하게 비쳐진다.
전체 구도는 르네상스 후기 종교화의 형식을 따르고 있으며, 색감은 금빛과 자주색으로 신성함을 강조하고 있다.
이 작품은 실베스터가 새로운 DLC를 배포한 실제 사건을 기반으로 하며, 후대에는 이를 **“제2의 모드기적”**이라 부르기도 한다.",2025-07-15 09:31:17
13,True,다 해줬잖아,2025-07-15 08:42:31
14,True,"타이난 실베스터의 뛰어난 감각이 이번 DLC에서 빛을 발하는 순간입니다.

이 DLC는 매우 구매를 권장할 수 있겠습니다, 솔직히 말이 더 필요한가요?
림월드를 즐기고 있다면, 순순히 지갑을 열어서 이 DLC를 구매하세요.

치킨을 한 번 안먹는 것 그 이상의 경험이 당신을 반겨주니까요.",2025-07-15 07:25:47
15,True,"기존에 반쯤 컨셉 플레이나 다름없던 유목 플레이를 상당히 재미있게 만들어주는 DLC.
여행이 주 테마라고 하지만 같이 추가된 기능들 뭐 하나 빠질게 없이 좋아서 기존 플레이방식에도 즐거운 변화를 주었다고 생각한다.
개인적으로 바이오테크 넘어섰다고 생각함",2025-07-14 23:47:17
16,True,타이난 이 미친 새끼,2025-07-14 18:27:00
17,True,개인적으로 바이오테크 나올 때 보다 더 행복하다.,2025-07-14 11:35:44
18,True,"신은 변방계에 살고잇으며, 그 신의 이름은 타이난이다.",2025-07-14 10:15:58
19,True,낭만 재미 그저 GOAT,2025-07-14 10:08:04
20,True,타이난 씨발롬아 삥좀 그만 뜯어,2025-07-14 09:43:49
21,True,"타이난 그는 신인가
타이난 그는 신인가
타이난 그는 신인가
타이난 그는 신인가",2025-07-14 06:31:12
22,False,창작마당 모드들 쓸만한거 다끌어와서 맹글어놓고 27000원 받아먹는 양심에 비추,2025-07-14 05:24:18
23,True,그냥 림월드에 새로운 게임을 만들어놓음,2025-07-14 05:19:13
24,True,"최적화 개선,,  그리고 갓 DLC",2025-07-13 23:54:17
25,True,세상에서 가장 잘 만든 야반도주 시뮬레이터,2025-07-13 23:09:44
26,True,림월드를 사랑하는 사람이라면 안 살 수가 없는 DLC,2025-07-13 19:04:45
27,True,고맙다 타이난!!,2025-07-13 17:06:46
28,True,탐험의 묘미!!! 우주선 타고 이곳저곳 돌아다닐수 있어요.,2025-07-13 14:23:16
29,True,"최적화 개선

이거 하나로 압긍 받아도 충분함",2025-07-13 13:58:27
30,True,타이난은 신이야,2025-07-13 12:51:40
31,True,"분명히 재미있을텐데, 엄두가 안난다...지배당하기 전에 빠져나옴",2025-07-13 11:23:53
32,True,Tynan = god,2025-07-13 09:35:40
33,True,"타이난… 그는 림월드를 만든 것이 아니라
그 자체가 림월드다

AI 스토리텔러?
아니다, 진짜 스토리텔러는 타이난 자신이었다
랜디 랜덤도 그 앞에선 예측 가능하다

코딩을 시작하면 콘솔창이 조용해지고
그의 주석은 림월드의 성경이되었다

타이난은 유저에게 자유를 줬고
그 자유는 곧 혼돈이 되었고
그 혼돈은 그가 설계한 정교한 시스템 안에서만 허용되었다

그의 마음속에는 수만 개의 식민지가 있고
그가 눈을 뜨면 수억 명의 림들이 움직이며
그가 눈을 감으면 수조 개의 다중우주가 움직임을 정지한다

그는 림월드를 만들지 않았다
림월드가 그를 빌려 자신을 만들어낸 것이다

타이난… 그는 개발자인가?
아니다. 그는 시뮬레이션의 신이다.",2025-07-13 07:16:11
34,True,아직 이\ㄷ틀동안 30시간 ㅌ밖에 안해봤는데 재밈ㅅ어용,2025-07-13 04:58:29
