index,recommend,content,datetime
1,True,아악 내 머리,2025-07-11 08:27:05
2,False,"초반에 한국에 출시할때는 블리자드라는 큰회사가 압박을 넣어서 잘만든 
포세이큰에 빠져 입문했지만 압박으로 나온 갓띵작 포세이큰을 
지들 성과인줄 알고 어깨뽕 쳐 올리다가
블리자드한테 로열티 내기싫어서 나오고 이후 나오는 DLC꼬라지는

검은 무기고 이후에나 최후의 형제 이전 DLC들이 나오는 콘텐츠는 개짜치게 나오고
뉴비 입문은 허들 높게 해놓고 콘텐츠도 쥐똥만큼 출시하는데 

4년 패스 기준 가격은 10만원 돈이 진짜로 아까운 게임

오래 한 사람들은 빌드 쉽게 짤수있고 개인 플레이 즐겁게 
할 수 있지만 이 게임을 DLC 할인 받고 살려는 뉴비분들에게
한 마디 하자면 사지 마세요 걍 

뭘하든 싱글 플레이도 다소 있긴한데 큰 콘텐츠들 즐기려면 무조건 친구나 지인 있어야하고 
뭐 한명만 필요한게 아니라 2~6명 기본에 콘텐츠 기믹 허들이 개 높습니다 
뭘 퍼즐을 풀어야 되고 길 찾아야 되고 머리 아픈게 한둘이 아님

최형때는 그나마 최종장이니 기깔나게 뽑았는데 스팀 순위 100위안에 들었던 게임이
관리도 ㅈ병12신같이 해놓고선 나오는 콘텐츠 중간중간에 지들 PC질 쳐 묻는거 보고 
머리가 어질어질 해집니다 이제는 순위권 100위 밖에 나감 ㅋㅋㅋ

PVP도 핵 관리안되는 짱깨충들 개많고 아시아권에 사람이 없으니까 
요즘은 짱깨련들이 서구권 넘어와서 핵 쳐쓰고있는 꼴보면 
처형시키고 싶을정도로 이게임은 핵이 개많습니다 관리도 안하고요
게임 유저들이 거의 석유이다보니깐 PVP 강제 콘텐츠(사기 무기 파밍)도 
할맛이 안나게 만드는것도 한몫합니다

무기 디자인 돌림빵에 새로 나온 무기군들 자세히 보면 옛날 무기 리모델링만 계속 쳐하고 
시즌 시작할때마다 새로운 맛이 걍 없습니다 

결론: 하지마 이 X발",2025-07-10 09:32:55
3,False,망겜임,2025-07-09 06:54:05
4,False,"이 게임 무료로 보이지만 절대 아니랍니다. 이 게임 하시려면 직장에서 나오십시오 그리고 만약 라이트하게 즐기고 싶으신 분들이 다운로드 받으시는 거라면 어차피 이 게임 즐기지도 못하실거 삭제하십시요 애송이.
데가 번지때부터 했는데 이새키들은 돈 맛밖에 모른답니다.",2025-07-07 16:27:50
5,False,"PVE 문제는 재탕 5억번에 장비 1~2년 동안 파밍한거 통으로 날려먹는거 한 두번도 아니고 붉은전쟁 소송건은 말할 필요도 없고
PVP 문제는 핵은 못잡는줄 알았더니 잡을 능력도 없고, 잡을 동기 조차 없는게 이제 느껴짐
직원들 다 마라톤에 꼬라박아서 기대 높였던 마라톤도 수직으로 꼬라박고 
어떻게 운명의 경계 잘 내나 했더니 똑같은거 또 보여주고 
지금 번지 사내 분위기도  씹창나고, 액블 산하시절이 진짜 나은듯

 인생 게임이라고 생각했고, 정말 재밌는 게임이었지만 지금은 너무 망가진듯
아무리 운영을 족같이 해도 건강한 게임이 될 거라고 매 해 마다 믿으면서 얼티밋확팩 샀는데, 
다음 확팩은 아무리 잘 내도 돌아오진 못할거 같음  몇년이 지나고 임원진이나 인력들이 대거 바뀌면 모를까

 이제 막 데스티니2 소개 영상이나 홍보 영상을 보고 플레이를 하려는 유입 분들한테는 
게임 구매를 극구 반대 하고싶음 

 독특한 세계관, 매력적인 캐릭터, 루트슈터 다양한 장점이 있지만 얘네를 무색하게 만드는 
수많은 단점이 정말 많음 
조막만한 던전 하나, 무기 하나를 3만원에 팔질 않나, 똑같은 컨텐츠 5억개, 유입 길라잡이 
시스템 유입들 길라잡이는 최근에야 시작했지만 그마저도 도입 초기 단계라 그런지 이마저도 아직 수정하고 보완되어야 할 점이 산더미임 

 과거에 수많은 찬사를 받으면서 한국에서 3대 루트슈터 3대 루트슈터 이랬지만 이제는 아닌듯 
똥인지 된장인지 먹어봐야 아는 사람이라면 무료 컨텐츠만 즐겨보고 판단해보셈 
어느 게임이든 초반에는 재밌지만 하면 할 수록 부조리한 게임에 지금 회사가 얘네한테 애정이 없다는게 느껴질꺼임",2025-07-06 09:14:47
6,True,.,2025-06-24 20:04:19
7,False,"사실 뭐가 뭔지 모르겠네요. 분명 이해만 하면 세계관도 짜임새 있고 총 종류도 다양하고 쏘는 맛도 있는 듯 한데
오랜만에 접속해 볼 때마다 인트로부터 전혀 달라지니까 이게 지금 무슨 스토리인지 알 수가 없네요.
내가 몇 개월 전에 헸던 캠페인은 어디가고 처음보는 캐릭터가 인트로에 뜨고 이러니까...
옛날에 내가 샀던 DLC들도 뭐 금고 들어갔다고 하고 이래서 이 게임은 오랜만에 들어와서 한번 하고 이런 유저들에게 맞지 않는 게임 같아요. 
분명 게임성은 좋은데 이건 흘러가는 스토리나 설정을 이해 못하겠는 것은 둘째치더라도 접속할 때마다 전혀 다른 캠페인 전혀 다른 스토리라인으로 시작하고 내가 하던 캠페인(이것도 뭘 알지 못하고 던져졌어서 역시 스토리 이해는 못함)을 여러 개 행성 중에서 찾아서 다시 로딩을 해야 하니 흥미가 잘 안 생기네요.",2025-06-21 16:18:03
8,False,헬스케어 코로나리 베이징 캔서 땅울림 렛츠고,2025-06-21 10:49:56
9,False,"여생에 이토록 몰입하여 재밌게 할 수 있는 게임이 있을까 싶을 정도로 훌륭했던 게임.

살아생전 플레이한 게임 중 가장 최고였고 앞으로도 영원한 인생 게임으로 남을 작품.

그리고 이러한 아름다운 추억을 더럽힌 번지넷 개10새@12끼들",2025-06-21 06:08:51
10,True,시간녹이기 GOTH,2025-06-09 13:33:23
