index,recommend,content,datetime
1,True,최고 너무잘만듬,2025-07-16 03:26:25
2,True,재미는 있는데 1회성임... 다시해야될 이유를 못느끼겠음,2025-07-15 19:26:22
3,True,코스타니코,2025-07-15 18:26:55
4,False,생각보다 게임이 불편하고 답답함,2025-07-15 14:34:53
5,True,마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이마더스피어는 거짓말쟁이,2025-07-15 14:16:03
6,True,다른 건 좋은데 왜 강제로 여주냐고요,2025-07-15 13:10:56
7,True,"총평 : 스토리(특히 캐릭터 서사)만 쪼금 아쉽고
캐릭터 디자인, 전투, 그래픽, 연출, 탐험과 보상, 최적화, 사운드(특히 BGM) 전부 개쩌는 갓겜.

신작을 예구해본 건 처음입니다. 이전에는 출시된 지 어느 정도 지나서 할인에 들어간 게임만 즐겼거든요. 그만큼 기대감이 컸던 게임인 것 같습니다. 물론 게임 플레이는 제 기대를 완벽하게 충족시켰고요.

우선 보고 듣는 게 즐겁습니다. 주인공 이브가 매우 아름다운 캐릭터인 건 유명해서 더 말할 필요도 없겠죠. 근데 먼저 pc를 즐겨본 사람들이 이브 외형 모드를 꼭 깔아야 한다고 했는데 저는 굳이? 였습니다. 시프트업에서 제공해 주는 기본 옷들이 너무 예쁘고 이브랑 잘 어울렸거든요. 마음에 드는 옷 몇 개만 게임 하는 내내 입고 다녔습니다. 브금도 정말 좋았는데 특히 쉼터에 앉을 때마다 들리는 서정적인 멜로디가 주인공이 처한 상황이나 주변 환경에 맞물려 뭉클한 느낌까지 들더군요. 한국어 가사도 자주 들려서 신기하기도 했습니다.

하지만 비주얼이나 사운드가 아무리 좋아도 결국 전투가 재미없으면 좋은 평가를 받기 어려울 겁니다. 하지만 개발사의 첫 aaa급 게임인데도 전투가 굉장히 맛있었습니다. 다양하고 전략적인 스킬, 패링과 회피의 탁월한 손맛, 그리고 패링과 회피 성공 이후 이어지는 콤보 공격, 거기에 물오른 전투 속 몰입을 더하는 사운드나 광원 같은 연출들까지. 덕분에 전투가 게임 끝까지 물리지 않고 매번 강렬하게 다가와서 너무 즐거웠습니다.

수영과 상호작용 조작감이 좀 구진 단점이 있긴 합니다만 사소하고요, 거의 신경 쓰이지 않을 정도로 정말 재밌게 즐겼습니다. DLC 추가 컨텐츠도 너무 재미있었습니다. 갓겜입니다.",2025-07-15 11:28:00
8,True,겜불감증 치료제,2025-07-15 08:45:12
9,True,재미있음,2025-07-15 08:08:44
10,True,재밌다,2025-07-15 07:43:11
11,True,"한국도 패키지게임 잘만들수있다. 
한국 패키지 게임하면 악튜러스, 창세기전 시리즈에서 왠지 모르게 기억이 멈춘 느낌입니다. 
그이후에도 잘만든 인디게임들이 많긴 하지만...

스토리는 어떻게 보면 진부한 스토리. 
하지만 깔쌈한 연출과 이쁜 비쥬얼, 듣기 좋은 bgm들로 플레이가 즐거움. 
의상 모으는 재미도 있고, 숨겨진 먹거리들 찾는 재미도 있음",2025-07-15 04:36:55
12,True,"게임 내내 너무 즐거웠습니다.

보는 맛, 듣는 맛, 하는 맛이 다 있는 웰메이드 게임이었습니다.

다만, 퍼즐이나 파쿠르 요소가 제 개인적인 취향엔 잘 안 맞았던 것 같습니다.",2025-07-15 03:52:54
13,True,"비주얼 말해서 뭐하겠음? 개좋고
최적화 오지게잘됐음 개좋고
전투하는 맛 꽤괜찮 너무 높은관점으로 파고들었다면 실망할순있겠지만 난 갠적으로 개좋고
그리고 상황/장소 등에 맞는 적절한 BGM 지렸음 진짜 귀마저도 즐거움
스토리도 많이 덜어냈다는데도 나쁘지않았음 
딱 사이버펑키한 멸망한 지구속에서 이브의 일대기를 경험하는게 개좋았음 ㅎ 

종합적으로 눈/귀/손맛  삼위일체가 좋았따잉 ㅎ
요즘 스팀평가에 ""평가를 작성할 때에는 예의를 지키고"" 라는데 
오히려 시프트업은 예의를 지킨게 맞는데
예의 없는 게임사가 존나게 많은데 먼 예의를 지켜 써라는건지 모르겠네 밸브 씨발련들아 ㅡㅡ",2025-07-15 01:01:59
14,True,ㅇㅈ,2025-07-14 15:55:11
15,True,재밌어요,2025-07-14 15:05:23
16,True,"말이 필요없음
갓겜!!!!!!!!!",2025-07-14 14:19:05
17,True,굿굿 노가다가 있어도 보상을 보고 하니 굿굿,2025-07-14 13:06:13
18,True,"[h1]Stellar Blade[/h1]
[h2]<도전과제 100% 달성>[/h2]

플레이스테이션 독점작으로 나왔던 스텔라 블레이드가 드디어 PC로 정식 출시!

캐릭터들이 이쁘고 배경도 아름답고 액션도 화끈하니 플레이하는 내내 정말 즐거웠다. 이브 뿐만 아니라 릴리, 레이븐... 사이드 퀘스트 캐릭터들까지 이쁘고 매력이 넘쳐서 확 집중이 되었다. 액션의 경우 핵 앤 슬래시 느낌일 줄 알았는데, 의외로 소울라이크의 향이 조금 첨가되어 있어서 놀랐다. 정확한 패딩과 회피를 요하고, 적의 가드를 깨뜨려 추가 데미지를 넣으며 일정 횟수 이상 패딩을 하면 큰 데미지를 주는 QTE까지. 전투 시스템이 나름 파고들만한 요소가 많아서 재미있었다. 

스토리는 지상에 떨어진 주인공 이브가 네이티브라는 괴수를 처리하며 새 동료들을 만나고 과거의 기록들을 따라가게 되는 내용이다.  후반부까지 큰 스토리 붕괴없이 무난하게 진행되고 엔딩쯤에 밝혀지는 나름의 반전까지 수준 이상의 스토리텔링으로 즐겁게 즐길 수 있었다. 이런 스토리 게임에서의 핵심은 각 구간을 구분짓는 보스전이라 볼 수 있는데, 각각의 보스전들이 정말 재밌고 즐거웠다. 각 보스들의 비주얼과 공격 패턴은 공략하는 맛이 났고, 마지막 페이탈리티까지 연출이 훌륭해서 클리어하는 맛이 있었다. 특히 후반부에 나오는 보스들은 따로 보스 배틀로 다시 즐길 정도로 매력적으로 잘 만들었던 것 같다.

옷이나 귀걸이같은 수집요소들이나 성장템들은 필드를 더 꼼꼼하게 탐방하도록 만들어주는 동기부여가 되었고, 사이드 퀘스트도 몇 개는 신경쓰고 만든게 느껴질 정도로 재미있게 만들었다. 뉴게임 +와 다회차 전용 아이템들 등 다회차 유저들을 위한 배려도 느껴저서 정말 좋았다. 덕분에 3회차까지 할 수 있었던 것 같다. 다만 그 과정에서 불편한 점들도 많이 있었다. 지도를 열람할 수 없는 몇 필드맵들, 빠른 이동의 불편함, 수영과 점프의 미묘하게 불편한 조작감과 레보아 지역들은 다시 하기 좀 귀찮고 짜증나기만 했다. 

타 인터뷰에서 스토리 전체의 3분의 2 정도를 덜어냈다는 말이 있었는데, 그러지 않았다면 더 좋은 게임이 탄생할 수 있지 않았을까 하는 아쉬움이 있다. 그래도 첫 AAA급 게임 개발인 만큼 충분한 가능성을 보여줬다는 점에 큰 칭찬을 해주고 싶다. 후속작이 나올지는 모르겠지만, 부디 더 훌륭한 퀄리티로 잘 뽑아내줬으면 좋겠다!",2025-07-14 13:00:22
19,True,갓겜,2025-07-14 12:56:56
20,True,재미있음,2025-07-14 12:50:51
21,True,다른 아쉬운 부분들이 몇 개 보이지만 눈이 즐거워서 용서가 됨,2025-07-14 01:23:04
22,True,1,2025-07-13 20:24:27
23,True,"점프, 상호작용, 스킵 << 이 세가지 때문에 울화통이 터졌던 게임

홍련 보스전은 정말 재밌었습니다",2025-07-13 19:25:16
24,True,이 게임 키보드로 하면 손해입니다. 플스 듀얼센스 사서 하세용 개맛도리 인생겜,2025-07-13 16:34:05
25,True,굿,2025-07-13 16:00:23
26,True,그저 갓겜,2025-07-13 15:55:07
27,True,재밌음,2025-07-13 15:35:29
28,True,너무 재밌게 하고있습니다,2025-07-13 13:24:22
29,True,갓겜,2025-07-13 13:19:16
30,True,이 게임은 홍련 얼굴 모드를 설치함으로써 비로소 완성된다.,2025-07-13 12:54:33
31,True,소울류 처음 해보는데 개재밋음 ㅇㅇ,2025-07-13 12:51:04
32,True,다 좋은데 수영 조작감 상호작용을 정해진 위치에서만 하는거만 빼면 아주 좋습니다,2025-07-13 12:41:25
33,True,나만 전투만 생각하면서 한거야?,2025-07-13 12:37:53
34,True,재밌어요!,2025-07-13 12:37:12
35,True,재밌네요. 처음에는 소울류 게임인줄 알고 빠르게 환불하려 했으나 난이도 스토리모드로 돌리니까 생각보다 패링이나 회피 타이밍에 줌 땡겨서 타이밍 알려주고 난이도가 크게 어렵진 않습니다. 또한 스토리모드로 할꺼면 탄알을 아끼지 마세요. 생각보다 금방 채울수 있기도 하고 원거리에서 쏘는 맛이 있습니다,2025-07-13 12:30:05
36,True,이제 해봤는데 개재밌네 굿굿,2025-07-13 12:21:29
37,True,안녕하세요,2025-07-13 11:42:04
38,True,잼씀!,2025-07-13 11:41:14
39,True,비주얼 bb 게임성 bb,2025-07-13 11:35:40
40,True,갓겜,2025-07-13 10:54:49
41,True,그냥 최고 네요~,2025-07-13 10:52:38
42,True,그냥 재밌다... 몇몇 사람들은 스토리가 조금 빈약하다는 말들이 많던데... 난 솔직히 겜하면서 그런거 잘 모르겠고 충분히 재밌게 즐겼음. 진행하면서 풍부한 액션과 스킬 연출 그리고 수많은 의상들로 인해 눈이 즐겁고 노래도 좋아서 일부러 멈춰서서 노래도 듣고 있을정도로 귀도 즐거움. 처음엔 키보드 마우스로 진행했지만 일부러 이거하려고 ps5 듀얼센스도 따로 구입해서 진행했는데 확실히 키보드 마우스로 느낄수 없는 패드의 재미가 있음. 솔직히 이겜은 pc로 하더라도 패드로 하는걸 강력히 추천한다.,2025-07-13 10:50:38
43,True,재밌어요 ㅎㅎ 즐겁게 눈요기했네요 ㅎ??,2025-07-13 10:12:08
44,True,해. 일단 해봐.,2025-07-13 10:10:06
45,True,"[h1]평점: 9/10[/h1]

[h1]한국 콘솔 시장의 별이 되어준 게임[/h1]

게임성, 액션, 코스튬 룩딸, 캐릭터 등등 종합선물세트 그 자체인데 뭘 고민함? 당장 사셈.

특히 액션은 만점을 받아 마땅함. 스킬, 도구가 많아서 다양한 대처법을 마련할 수 있고, 모션도 다 새로 만들었기 때문에 쓰는 재미가 있기 때문임. 게임이 쉬운데 멋지기까지 하니 나같이 액션 게임을 많이 안해본 사람에게도 선택지를 준 건 잘한 행동임. 그리고 종종 QTE가 뜨거나, 균형 게이지를 다 깎으면 치명상을 줄 기회를 준 것도 장점임. 모션도 멋진데 성능도 좋으니 게이머들이 보상을 받았다고 느끼기 충분하니까.

단지 첫 게임인 만큼 부실한 스토리, 매력없는 서사 등은 아쉬운 점임. 하지만 데뷔작부터 이만한 퀄리티를 뽑아냈으니 차기작도 발전할 가능성이 분명함. 지금쯤이면 이미 개발에 들어갔을테고 인력, 예산, 기술 등등 충분히 확보했을테니까. 당장 이 게임이 2년 안에 완성했으니 후속작도 개발 기간이 크게 다르진 않을 것 같음.

P의 거짓, 데이브 더 다이버에 이어서 이 게임까지 한국 게임 시장에 가능성을 줬으니 잘 된 일이지. 후속작은 전작을 뛰어넘은 게임이 되기를 바라며.",2025-07-13 09:20:14
46,True,섹스,2025-07-13 08:03:36
47,True,내아내임,2025-07-13 07:54:18
48,True,"리뷰쓰는 시점 기준으로 3회차 불타는 자이온끝내고
스킵할 수 없는 오르칼과의 대화를 보면서 쓰는 중

늙어서 이젠 피지컬도 딸리고 어떻게든 소울겜하던 감각으로 잘 버티고 있는데
일단 요즘 개똥쓰레기 게임들과는 다르게 최적화 자체가 잘 되어있으니까 플레이하기 편함

다 필요없고
모든 슈트 모으기랑 모든 엔딩 보기를 하려면 최소 4회차까지는 해야되는데
1회차는 정성스럽게 만든 스토리를 봐주는게 예의이니까 일부 핵심?이 되는 대화 부분은 스킵이 안 되게 막아놓은거 이해는 되는데
솔직히 2회차부터는 처음보는 스토리, 대화가 아니면 그냥 다 스킵할 수 있게 해주면 안 되나요?
스킵이 안 되니까 빠르게 진행해서 수집품들 다 모으고 싶은데 대화도 계속 버튼 연타해야지만 조금이라도 빨리 끊을 수 있는거랑 없는게 존재하고
슈트, 기어, 엑소스파인, 액세서리들 전부 액셀로 정리해서 얻은 거 못 얻은 거 정리하면서 회차플레이하는데
이거 얻으러 다니는 것만으로도 시간이 꽤 걸리는데 n회차넘어가도 스킵 못 하는 거 때문에 시간 더 잡아먹어서 힘드네요
스킵이 안 되는 부분도 꽤 존재하니까 솔직히 말해서 이미 다 아는 것들이여서 답답함

----------------------------------
그래도 게임 정말 재밌어요
1회차는 이브의 개쩌는 몸매를 보면서 헉헉거리기 바빴고
2회차부터는 다른 엔딩과 수집품 열심히 모으기에 집중하기 바빴고

그래서 PC는 크리스마스까지 언제 기다려!
거 N사 게임 마냥 스블 세계관도 남반구여서 서머크리스마스해주세요
크리스마스 수집품들 빨리 얻고 싶어요",2025-07-13 06:34:40
49,True,굿,2025-07-13 06:23:31
50,True,"스토리는 이미 어디선가 본 듯한 내용들을 허술하게 끼워 맞춰놨지만, 전투가 매우 재미있음. 거기다 보기도 좋은 떡이 먹기도 좋다고, 캐릭터들이 예쁘니까 게임할 맛 남.",2025-07-13 06:00:31
51,True,아래가 화나서 게임을 못하겠어요,2025-07-13 03:12:03
52,True,명작은 아니지만 수작정도에 무난한 게임,2025-07-13 02:33:05
53,True,"플스5 초기버전 디스크 합체본에서 하는것보다 그래픽 계단현상도 거의 없고 화질도 선명하고 부드러움.
4k 144hz 모니터에 전체화면으로 플레이중",2025-07-13 02:17:04
54,False,"저는 노잼
국산겜이라고 너무 치켜세우는듯
그냥 옷  야시시하게입고 길찾고 점프하고 메달리는게임
삼류 소설보다 재미없는 스토리
짜증나는 길찾기
재미없는 퍼즐
내가 싫어하는 요소 다들어감
전투는 그나마 할만함
점프 메달리기는 개노잼
전체적인 제평가는
10점 만점에 기본2점 국산게임 추가1점 릴리 귀여워서 추가2점
총5점 드립니다",2025-07-13 01:59:53
55,True,"콘솔 게임 관련 기술도 자원도 인재도 거의 전무하다한 국내 불모지에서 쉬프트업과 김형태 대표의 노력이 느껴지는 기념비적인 게임입니다. 게임성도 좋고 버그도 없으며 아름다운 그래픽, 모델과 음악은 두고두고 기억에 남을 것 같네요.
구매해놓은 게임이 많다보니 보통 1회차만 하고 만족하는 스타일인데 정가에 구매해서  3회차 플레이에 업적 올클은 처음 인것 같 것 같습니다
물론 첫 도전인 만큼 보완해야할 부분도 보입니다. 상호작용 포인트가 직관적이지 않아서 물건 사용이나 점프 착지등에 어려움을 주는데 후속작 예정이라고 하니 개선을 기대해봅니다

참고로 이브 얼굴 텍스쳐 개선 모드와 푸른 눈동자 모드 적용 추천합니다",2025-07-13 01:52:25
56,True,"다른건 몰라도 이건 까야합니다
파쿠르 x같음!",2025-07-12 18:25:19
57,False,"편의성 ㅈ 박고 조작감 븅신같음.
힐링하려고 사서 켰다가 스트레스만 존나받네.
전투도 화려한건 좋은데 세키로 피의거짓 하다가 스블 전투하니까 별로임. 그냥 앞으로 게임은 이렇게 만들거면 만들지말아라.
그나마 의상 모으는 재미로 하는중.",2025-07-12 17:50:01
58,True,오랜만에 밤샘하는 게임이네요..ㅎㅎ 할게많아서 너무 잼납니다,2025-07-12 16:59:21
59,True,형태형 최고,2025-07-12 16:56:59
60,True,게임이 친절하고 엉덩이가 맛있어요.,2025-07-12 16:46:34
61,True,하...정말 너무 재밌다 ㅠㅠ 퇴근하고 매일같이 했네,2025-07-12 16:36:30
62,True,굳,2025-07-12 16:22:46
63,True,스토리 개맛집,2025-07-12 15:31:49
