index,recommend,content,datetime
1,True,"실제로 가본적 있는 명소들이 나오니까 
추억도 되고 너무재미따",2025-07-16 02:36:59
2,False,세일이라 사봤다. 55분 플레이했는데 실제로 플레이한건 야스케로 닌자 깔작 잡아본게 끝이다 동영상 컷신 5초마다 끊김 컷신봐야 맵넘어가지는데 넘어가지지도않고 컷신도 안뜸 겜 껏다켜야 컷신나옴 끊김 바로환불했다 재미를떠나서 끊김좀 해결해라,2025-07-15 12:04:43
3,True,"욕을 그렇게 처먹는것 치고는 아주 재밌음
그리고 최적화가 너무 잘되어있어서 부드럽고 경치 구경하는 맛도 아주 좋음

암살 플레이도 좋고 파쿠르도 좋고 이것저것 다 좋음

근데 야스케로 플레이 하고싶지가 않은 느낌 ... 
좀 더 멋있고 유용한 캐릭터였으면 좋겠는 그런 느낌 ... ? 

그리고 파쿠르 업데이트나 이것저것 업데이트 일정 많던데
그런거 때문에 하다가 묵혀두게 됐음. 언젠간 다시 꺼내먹을거같음. 
(아이템 일일히 선택해서 팔고 업글하고 이건 왜 ... 자꾸 넣었다 뺐따 뭔짓거리인지 잘 모르겠음)

근데 고스트 오브 요테이 나오니까 그거 하고나면 어떻게 될진 모름",2025-07-15 09:52:50
4,True,재밌어용,2025-07-15 08:08:02
5,False,"두 캐릭터로 플레이 가능 하다는건 그렇다 치자.
내가 원하는 캐릭터로 플레이가 가능하면 문제가 없다.
그런데 나오에 육성시키려면 야스케플레이가 강제되는데 너무 불쾌하다.

나오에랑 대비주려고 야스케를 둔하고 느리게 만들어서 플레이가 굉장히 불쾌하다.
타 게임에서 대검 참마도 들고 다는 캐릭터들 플레이 할 때보다 답답하고 느리다.
심지어 젤다식 퍼즐같은 시스템을 도입해놨는데 이걸 둔하고 멍청한 야스케로만 깨야 한다.

그래픽 말고 고스트 오브 쓰시마보다 낫다고 말할 수 있는 부분이 있나?
일본 역사물 게임으로는 로닌보다도 못한 것 같다.

캐릭터 미형으로 안 뽑아놓고 예쁜 옷은 별도 구매하게 하는 건 디아블로VI 에서 배워왔냐
버전 올려가면서 모드까지 꾸역꾸역 막는건 진짜 레전드다.

어세신 크리드는 이제 II, 브라더후드, III 그래픽 리마스터되는 거 아니면 놔줘야 겠다. 못해먹겠다.


-한 3-4 만원까지 세일 하면 찍먹 추천",2025-07-15 03:15:25
6,True,"구매 안하려 했으나 할인하는거보고 구매했는데 재밌었다.

야스케 말고 동양인 남케 주인공에 언플 없었으면 천만장도 팔았을듯

재밌지만 주둥이로 말아먹은 게임",2025-07-14 15:34:31
7,True,"구매 가격 : 59250
플레이 시기 : 25/07
추천 할인율 : 50% 이상
그래픽 너무 이쁘고 날씨 시스템까지 더해져서 맵 돌아다니면서 구경만해도 좋음.
나오에는 신화작 이전의 날렵한 어쌔신 야스케는 신화작 주인공들 같은 무쌍 플레이로 전투도 재미있음.
근데 기본 골조는 하나도 안변해서 산악지형이라 돌아다니기 뭐같아진 유비식 오픈월드임.
항상 그렇듯 맵 탐방도 서브퀘도 메인퀘도 모든게 반복 반복 반복임.
그래도 전작들보다 발전한 부분도 있고 메인만 밀어도 플레이 타임이 어느정도는 나와서 50%정도 할인한다면 구매 추천할만함.
총점 : 50점",2025-07-14 14:58:36
8,True,재미는 있는데 뭔가 손이 안감,2025-07-14 11:24:39
9,True,재밌음,2025-07-14 03:12:14
10,True,재밌는데요?,2025-07-12 14:00:06
11,False,d,2025-07-12 06:12:31
12,False,"나오에 옷은 언제 이쁜거나오냐 
 근데 노잼임 어딜가나 똑같은 플레이",2025-07-11 17:45:05
13,True,"허접한 유비식 오픈월드? 그런건 모르겠고 그냥 존나 잘만들었는데? 그래픽 수려해서 경치 감상할 맛나고, 연출 미장센도 뛰어남. 유비가 만들어서 저평가된 게임. 

아쉬운점은 야스케 스토리 개연성. 왜 굳이 흑인사무라이가 주인공인가? 소재 자체는 신선해서 유저들 관심환기에는 성공하겠지만, 전체 설정상 무리하게 구겨넣은 티가 남.",2025-07-11 13:04:33
14,False,"bgm 최악, 스토리 최악.
할인해서 사도 돈아까움",2025-07-10 22:36:43
15,True,조선시대 배경으로 만들어 주세요,2025-07-10 13:50:09
16,True,"대표 장수 프랜차이즈 AAA 게임으로 부족함이 없는 멋진게임
개인적인 바램인 멋진 오픈월드맵에 생활요소나 상호작용이 좀 더 있으면 좋지않았을까 하는",2025-07-08 09:58:11
17,True,굿 ㅋㅋ,2025-07-07 14:03:06
18,True,"솔직히 억빠 억까 거르고 어크 시리즈 중에 제일 잘 만들었고 제일 재밌긴함. 
다만 나오에로 쭉 몰입하고 싶은 사람들에겐 다소 호불호가 있을듯 싶은데 난 개인적으로 상당히 잘만들었다고 생각함",2025-07-07 11:54:20
19,True,"[h1] 분명히 생각보다 괜찮은데 [/h1]
[h1] 같은 시리즈의 다른 작품과 비교해도 뭔가 이상한 게임 [/h1]

어쌔신 크리드 시리즈의 14번째 작품이자 시리즈 첫번째 동양풍 본가 게임
수많은 논란이 있긴 했지만 생각했던 것보다 잘 만들었다. 시네마틱도 생각보다 괜찮고, 자동으로 다른 언어로 더빙하는 몰입 모드도 좋았고, 다른 작품들에 비하면 확실히 일본스러운 캐릭터 모션들을 넣었다.
다만, 기존 작품들과 비교하면 이해가 되지 않을정도의 단점들이 존재한다.

[b] 1. 그놈의 키 설정 [/b]
어쌔신 크리드 시리즈는 매 시리즈마다 약간씩 키가 바뀐다. WASD가 이동이라거나, F가 암살이라거나, V가 매의 눈이라던가 하는 계속해서 유지되는 키 설정이 있긴 하지만 계속해서 조금씩 키 설정이 바뀐다. 개인적으로 분명 키 설정이 상당히 좋았던 적이 있었다. 신디케이트라던가 오디세이라던가...
뭐가 됐든 이번에 회피키는 ALT다. 파쿠르는 SPACE다. 전에 분명 SHIFT로 통합을 잘 한 적이 있었던 거 같은데 왜 이러는 걸까

[b] 2.뷰 포인트 [/b]
유비식 오픈월드라고 불리는 것 중에 하나인 뷰 포인트
이른바 빠른 이동 시스템인데 이번 시리즈는 위치가 너무 이상하다. 전작들은 적어도 마을의 중심이라던가 주요포인트 주변이라던가 하는 자주 이용될 수 있는 위치들 이었는데 이번 작품은 왜 이런 위치로 잡았나라는 생각밖에 들지 않았다. 마을에서 지나치게 동떨어진 위치야 있을 수 있다고 생각은 하지만, 적지 한가운데에다가 동기화 포인트를 놓은 건 솔직히 이해가 어렵다.
물론, 그동안 성취감이 더 있을수는 있겠지만 나올 때는 빨리 나올 수 있게 해야지. 성 한가운데 있어서 다리만 두 개 건너가야 적지 밖으로 나올 수 있는 건 대체...

[b] 3. 나무가 생각보다 너무 많다. [/b]
어쌔신 크리드 시리즈의 맵은 진짜 늘 엄청 넓다. 이번 작품은 33000km²가 넘는 간사이 지역을 축소해서 만들었다. 게임 시스템 상 말을 제공하기도 하고, 없으면 진행이 너무 힘들었을 건데 이 말을 정상적으로 타고다니기가 힘들다. 전작들은 거리가 멀면 산을 가로질러 가고, 그것도 안되면 파쿠르로 건물 위를 지나다녔다.
그런데 이번 작품은 생각보다 초반 구역에 나무나 대나무 같은 게 너무 많다. 말이 계속 나무에 걸려서 편히 지나가질 못한다. 보통 다른 게임들도 어느정도 돌아서 가는 경우가 많긴 하지만, 정도가 좀 심한 편이다.",2025-07-07 10:09:29
20,True,"나름 할만함
고스트오브쓰시마를 좋아하면 ....",2025-07-06 23:26:02
