index,recommend,content,datetime
1,True,터널턴 하쉴?,2025-07-06 05:21:02
2,False,"일반, 랭크든 코발트든 혼자서 열심히 돌리는 게 제일 재미없다.
시즌 초에는 괴물들이 많아서 재미없고 시즌말은 그냥 재미없다.
한 실험체 장인이 되겠다고 한 우물만 파는 것보다
친구랑 조합짜서 0티어 사기 챔피언 3개 골라서 양전(납득이 가는 좋은 전투)하는게 훨씬 재밌다.
머리 싸매면서 운영빡빡하게 해도 전투한번에 게임흐름이 바뀐다.
진짜 혼자서 무작정 돌리는거 비추임",2025-06-23 06:55:14
3,True,머리 벅벅 긁으면서 풀테안경 ㅈ돼지 년들이 할만한 게임이네 ㅋㅋ 일단 난 재밌다 ㅇㅇ,2025-03-25 07:28:43
4,True,쇼이치 너프좀 쳐해라,2025-02-21 10:42:40
5,True,재밌자자너~,2024-09-24 01:47:11
6,True,"망겜임,,",2024-03-14 04:10:53
7,False,"얘네들은 스킬딜러한테 템으로 쿨감 30퍼 뽑고 쿨타임 5,6초 이딴식으로 주는데 어떻게 평타원딜이 메리트가 있을까
밸런싱이 다 이런식으로 근딜은 육각형떡칠하고 지맘대로임 그냥
얼액시절에도 동접 결사대 꾸려서 썩은 동앗줄 타고있던놈들이 바뀌질않는데 게임이 잘 될리가 없지",2023-11-22 08:21:06
8,True,갓겜,2023-11-13 06:14:00
9,True,하면 할수록 재밌네요 롤하다 와서 그런지 좀 복잡하긴 하지만 적응 하면 재밌음 ㅇㅇ,2023-11-05 12:08:59
10,True,"""오타쿠롤""",2023-10-31 12:40:08
11,True,편의성이 좋아져서 배우기가 쉬워짐 꿀잼,2023-10-15 07:56:41
12,True,굿,2023-09-28 16:09:29
