index,recommend,content,datetime
1,True,개추요 할인 안하면 솔직히 안사는게 맞고 지금 처럼 할인 빡세게 할 때 사는게 답임,2025-07-16 15:11:24
2,True,qudtlsrpa,2025-07-15 19:01:04
3,True,짱룡최고 멋있다,2025-07-15 17:54:13
4,True,실탄 줘 시발,2025-07-15 17:21:37
5,True,"6시간 정도 했는데 할인해서 3천원에 즐겨본다면 괜찮은거 같아요. 공룡도 초식, 육식, 익룡, 해룡 다양하게 있고 1인칭, 차량 등 꾸며놓은 공룡들을 감상할 수 있는 수단도 다양하게 있어요. 다만, 제가 못찾은건지 다른 건설류 게임들에 있는 벽이나 길 건물 같은걸 깔끔하게 정렬해주는 기능(?)은 없어서 좋게본다면 자연스러운 테마파크만들기 안좋게본다면 좀 우후죽순으로 만들어 지는 느낌. 그외에는 기능들도 몇번 눌러보다 보면 그렇게 어렵지 않게 할수있네요. 할만해여",2025-07-15 16:53:23
6,True,공룡 좋아하면 살만함,2025-07-15 13:43:09
7,False,존나 튕기네 진짜,2025-07-15 10:14:48
8,True,공룡이잖아,2025-07-15 07:19:10
9,True,"사면 후회 안 할것, 이전 작품은 그냥 틀에 갇히고 어디서 공룡을 구하는 방법은 유일하게 화석 발굴인데
물련 이후 작품도 그 시스템이 존재하나, 없는 건 단 하나
공원 밖 경계면 지역을 나가 야생 공룡을 포획하거나 돌아다니기가 가능한 개쌉 오픈월드형 공원 경형 게임이 된 것이다.
나는 이 부분에서 매우 높히 평가 할 수 있다고 자부할 정도거든요, 절대로 지금 이 가격에 사도 후회는 1절 없을겁니다.
세일 끝난다면 당신이 정말 팬심 아니면 10만원 넘게 써야 할껍니다....",2025-07-14 13:04:11
10,True,rmfjtwjfjr,2025-07-14 07:34:31
11,True,최적화에 약간의 문제가 있어보이지만 즐겁게 즐기고 있는 컨텐츠입니다.,2025-07-14 03:36:40
12,True,길바닥에 육식공룡 냅다 풀어보고 싶은 충동이 드는 게임,2025-07-13 19:35:49
