index,recommend,content,datetime
1,True,꿀잼,2023-12-01 15:00:44
2,True,게임은 잘 만들어 놓고 운영을 진짜 못합니다.,2023-09-25 12:00:34
3,True,짱개게임 최고아웃풋,2022-07-17 10:00:16
4,True,개꿀잼입니다.  롤 디아 리니지 합쳐놓은거같네요,2021-11-14 00:53:31
5,False,안되네요. 내 43140원..,2021-11-13 10:09:56
6,True,"액션전략 군사을 통솔하고 적진을 공격및 방어가 재미있습니다><
전략.군사.중세.액션.전쟁.멸티등이 있습니다
죽인뒤에 후퇴하는 병종들이 거점쪽으로 퇴각하는 데 적군쪽으로 퇴각하는 건 전아니라고 생각합니다 
제가 들어와있는 가문은 매우친절하고 좋습니다",2021-09-24 12:08:54
7,False,키워주는 길드없으면 초보는 그냥 고기방패입니다. 이미 고인물과 갭이너무 벌어져서 현질 쏟아 부어도 따라잡기 힘듬.,2021-08-11 23:14:27
8,True,"저 는 중국 유저 입 니 다.소 비 했 습 니 다.인민폐 12 만 위안 이 있다.중국 서버 에서스 톰 에 왔 습 니 다.어느 나라 의 게이머 든.너희들 더 이상 불평 하지 마라.중국 서버 에 와 서 해 보 세 요.중국 서버 는 지옥 환경 이다.왜 중국 유 저 는 몇 차례 우승 할 수 있 습 니까?돈 을 쓰 지 않 는 유 저 는 나 처럼 2 천만 원 가까이 소비 한 유 저 를 상대 해 야 하기 때문이다.이 서버 의 유저,당신들 은 행복 합 니 다.다음은 중국 서버 사이트 입 니 다.https://z.163.com/#/ 저 는 중국 에서 이 게임 을 위해 6 년 동안 테스트 를 했 습 니 다.중국 에서 개발 한 것 은 아 복,유럽 복 에서 중국 복 까지 입 었 습 니 다.
我是一位中国玩家，消费了。有十二万人民币。在中国服务器上。来到了steam，不管是哪一个国家的玩家。你们别在抱怨。你们来中国服务器试一试。中国服务器是地狱环境了。为什么中国玩家能拿好几届冠军？因为不花钱的玩家要面对像我这种消费了将近2000万韩元的玩家。在这个服务器的玩家，你们是幸福的。下面是中国服务器网站https://z.163.com/#/
我是一中國玩家，消費了。有十二萬人民幣。在中國服務器上。來到了steam，不管是哪一個國家的玩家。你們別在抱怨。你們來中國大陆服務器試一試。中國服務器是地獄環境了。為什麼中國玩家能拿好幾届冠軍？因為不花錢的玩家要面對像我這種消費了將近2000萬韓元的玩家。在這個服務器的玩家，你們是幸福的。下面是中国服务器网站https://z.163.com/#/
我在中国为这个游戏测试了6年，中国开发的，从亚服，欧服，到中国服。
私は中国のプレイヤーです。消費しました。12万元あります。中国のサーバーにいます。steamに来ました。どの国のプレイヤーでも。文句を言ってはいけません。中国のサーバーに来てみてください。中国サーバーは地獄環境です。なぜ中国のプレイヤーは何回も優勝しますか？お金を使わないプレイヤーは私のように2000万ウォン近くを消費したプレイヤーに直面するからです。このサーバーでのプレイヤーは、あなたたちが幸せです。以下は中国サーバーのサイトです。https://z.163.com/#/ 私は中国でこのゲームのために6年間テストしました。中国で開発されたのはアジア服、ヨーロッパ服から中国服までです。
I'm a Chinese player. I'm a consumer. It's 120000 yuan. On the Chinese server. Come to steam, no matter which country players. Don't complain. You come to China to have a try. Chinese servers are hell environment. Why can Chinese players win several championships? Because players who don't spend money have to face players like me who spend nearly 20 million won. Players on this server, you are happy.Here is the Chinese server website https://z.163.com/#/.I've been testing this game in China for six years. It's developed in China, from Asian service, European service to Chinese service",2021-07-17 05:13:34
9,True,대체 불가능한 전쟁 게임,2021-03-21 08:09:46
10,True,asd,2021-02-04 04:03:45
11,True,2,2021-01-24 13:48:20
12,True,good!,2020-12-23 09:50:53
13,True,"무기에따른 상성과 무기와 병과의 조합 맞추는 재미, 전략
개인의 피지컬이 좋으면 캐릭 육성으로 무쌍을
전략성을 좋아하면 병과 업글과 상성 대응으로 진행할 수 있어 꽤 괜찮다.

한글화까지 되어서 앞으로가 더 기대되는 게임",2020-12-22 07:02:51
14,True,무료화와 지속적인 벨런스 패치가 잘 이루어 지고 최근에는 초보자들에게 엄청 후하게 재화와 아이템 돈 등을 뿌리고 있습니다. 게다가 우리나라 플레이어도 많아서 얼마든지 그들과 교류하면서 도움을 받을 수 있어서 개인적으로 즐겨하고 있습니다.,2020-11-26 10:23:34
15,True,"계속지더라도 열받아서 계속하게 되고 이기게 되더라도 다음승리를 위해서 계속하게 되네요
마운트&블레이드 느낌이 너무 많이 나서 그쪽장르를 좋아한다면 계속하게 됩니다.

그리고 다굴당할때 탈출할수 있는 긴급기가 하나 마련되었으면 좋겠구요
원거리 공격 무기좀 너프해주셈 개짜증  물론 원거리 공격무기 가진 장수들은 싫어하겠지 ㅋㅋ",2020-09-27 03:20:51
16,False,"해머 납치는 성능 문제이전에 너무 불쾌하게 만들어 놓음 QTE같은거도 없이 할수있는게 없고 즉사인데 쓸데없이 시간오래걸려서 멍때리게 한다는점에서

밸런스 문제로 들어가면 할말도 정말 많고

국가단위 pvp 대전(영지전)이 이뤄지더보니 강제 국뽕화 되는 분위기도 있고

그런 헤비 컨텐츠를 하지 않는다고 쳐서 일반 공성전이나 이벤트전만 한다고 쳐도

제한된시간에 한정적으로 오픈하는 이벤트전을 마냥 기다리기도 힘들고, 사기 유닛을 뽑으려고 온갖 고생을 해야하고 신규유저는 가볍게 pay to joy가 되기도 하고

어느 서버를 가도 이 차이는 극심한편, 한달 최소 반나절이상+수십만의 현질을 해야 겨우 비슷해질까 하는데 사실 그거도 비슷한건 아님

개발진의 운영은 어썸하기로 소문이 났는데 단순한 패치 같은게 아니라 버그, 핵 등 민감한 요소까지도 마찬가지.

특히나 버그같은건 아예 안쓰면 호구되는 운영으로 건즈급으로 버그성 플레이로 게임을 해야만 고수가 되는(하스스톤으로 치면 사기치는급으로 차이가 난다) 현상을 볼수있고, 핑문제든 판정문제든 이해할수 없는 판정들과 결과도 심한편이고

자체적으로도 게임 최적화가 상당히 구려서 좋은컴을 써도 프레임을 뽑지못하며 단순한 전체화면이나 기본적인 수직 동기화 off(기본 강제ON) 조차 없다.

모션은 포아너에서 빼박으로 가져온 급이고 그외 노가다 요소는 하늘을 뚫을 지경이며 재미라기 보단 안하면 못쓰는 정도다

안쓰는 유닛은 영원히 안쓴다고 보면되고(너프는 있을지언정 버프는 잘못본거같다)

밸런스패치라는게 정상적인걸 망치기도 하고

순수 게임에 대한 정이나 커뮤니티, 하루 루틴 같은거로 하고있었는데

이게임을 플레이하는사람들도 그럼 그렇지. 게임도 정상이 아닌데 유저도 정상일리가


게임하고도 사투를 벌여야 하지만 유저들과의 사투까지 벌여야한다.

굳이 해야할까?",2020-09-07 13:40:46
17,False,"아 괜히 이딴겜 38000원주고 샀네ㄹㅇㅋㅋㅋ

유럽병종이랑 짱개병종 혼종인데
심각한건 유럽병종중에 방패들고 다니는 ""고티어"" 보병이 적다.

원정대 돌리는데 개매너 엄청많은데
공지를 스팀이나 공식홈페이지에 안하고 중국 스트리머한테 넘기니 말 다함.
들어올 늒네들아 도망가라!
이게임사 재대로된 공지조차 쓸줄 몰라!",2020-07-27 19:05:05
18,True,난 시발 이걸 3만원주고삿다 꺄르르륵,2020-07-20 12:34:07
19,False,슈벌 제값주고 샀는데 무료화라니...내가 흑우라니...내가 흑우라니!!!!!,2020-06-17 05:33:30
20,False,no.,2020-05-28 22:54:14
21,True,하세요.,2020-05-27 12:19:29
22,True,"평가글들 보면 중국 중국 그러는데.
중국 양산 게임 느낌이 나긴하지만 충분히 재밌습니다.
차라리 돈만 밝히는 국산 게임이나 가챠에 쩌든 게임들보다는 훨씬 좋다고 봅니다.


장점은
1. 매주 2회 실시하는 영토전(삼국지처럼 땅따먹기 게임)
2. 하루 1회 실시하는 데스매치/프리배틀
3. 15대 15의 대규모 공성전
4. 동서양의 다양한 병종
5. 채집요소, 병종 레벨업 요소 등
6. 현질요소가 거의 필요 없음
7. 운영진의 빠른 피드백

단점은
1. 병종간 밸런스(그리고 동양쪽이 좋은게 많아요)
2. 병종 레벨업 노가다의 지루함(원정대라는 컨텐츠를 열심히 뛰어야 합니다)
3. 가끔 다양한 버그가 존재
4. 얼리 억세스부터 시작한 유저와 신규 유저간의 격차
5. 중국어를 그대로 갖다가 번역한것 같은 안좋은 번역 퀄리티",2020-05-17 20:02:22
23,False,"3~4성 개싸움이 가장 재미있던 게임
말만 전략게임 유닛이 똑같은것만 사용하고 전략따윈 없음 남이 먼저들어가서 죽는거 아니면 먼저 들어가려고안함
영토전 시스템을 최종 컨텐츠라 생각하지만 그마저도 어뷰징으로 인해 제대로된 영토전을 진행을 못함
이걸 운영진이 다 알고있으나 고칠 생각이 없음
밸런스,시스템,겜유저 삼위일체로 지랄난 상황",2020-05-08 05:52:51
