index,recommend,content,datetime
3,True,7 + 1 kings 인데 왜 사기침???,2025-07-16 21:32:30
5,True,재미는있는데 많이 할것 같지 않음 투석기 풀강이 진리다,2025-07-16 14:20:18
7,True,아직 9개국 다 나오지않아서 그런지 업적 다찍어도 플레이타임은 짧음 초기세팅으로 성장가능한 시스템때문에 쓰던 건물만 쓰게되는 느낌 모드로 좀더 다양한 제약들이 나와야 재미있어질듯,2025-07-16 12:51:28
10,True,시간 잘 감,2025-07-16 05:33:08
11,True,자연왕이 개사기네,2025-07-15 20:24:05
12,True,시간순삭... 재밌습니다.,2025-07-15 16:31:42
13,True,왕국마다 특정 빌드가 너무 강력해서 정해진 길을 따라가는게 좀 있지만 그 빌드를 만들어 나가는 과정이 상당히 꿀잼,2025-07-15 10:01:32
16,True,단순한데 시간순삭,2025-07-14 17:53:48
19,False,성의없는게임... 이게 재밌는건지 재미없는건지 애매모호한 게임......도트도 너무 못뽑음 ㅋㅋ,2025-07-14 12:25:10
21,True,재미는 확실히 있음 아직은 근데 그 재미가 짧게 금방 끝남,2025-07-14 08:11:41
23,False,쓸만한 빌드가 너무 적고 게임 자체가 금방 물림,2025-07-13 13:19:55
26,True,"아니 ""유닛의 첫 타격은 항상 중요합니다.""가 무슨효관데",2025-07-13 07:42:26
27,True,재밌는 타워디펜스겜 근데 특정 몹들이 너무 쎄서 결국 메타가 하나로 통일된다,2025-07-13 05:35:37
28,True,재밌음 시간 잘녹고 뽕맛있음. 근데 카드간 밸런스가 아쉬워서 딱봐도 좋은게보임,2025-07-13 04:49:59
29,True,잼다! 왕까지 금방 열 수 있음!,2025-07-13 01:38:41
30,True,최적화 덜됨 83층에서 팅겨서 강종함 정식출시때 최적화 보고 사셈 아직은 미완성겜,2025-07-12 16:49:16
31,True,쥐새끼+모선으로 200층에서 더하다가 컴퓨터 상할까봐 멈춤,2025-07-12 14:16:23
33,True,아직 번역이 완벽하지 않지만 싱글플레이 오토배틀러의 장점을 잘 살린 게임인듯,2025-07-12 07:32:00
34,True,아ㅋㅋ 피해2000에 공속 1.8+10E인 터렛 10개를 너희가 뚫을 수 있냐고ㅋㅋ,2025-07-12 07:22:25
36,True,"다른건 모르겠고 쥐 600랩쯤되면 터짐, 그거만드는맛",2025-07-11 15:08:10
37,True,왕 9세 IX 까지 다 깸 재밌는데 왕 2개 언제 나옴? 모드까지 추가되면 갓겜일듯,2025-07-11 12:06:17
38,True,재밌게 했어요. 다만 왕 난이도 이후로는 신규 퍽 얻는거외에는 변화하는게 없어서 그냥 왕난이도 까지만 즐겨도 될것같아요.,2025-07-11 10:13:03
42,True,ㅁㅊ 시간 녹는다 이거,2025-07-10 20:17:48
