index,recommend,content,datetime
1,True,배틀로얄 GOAT,2025-04-08 11:20:26
2,False,"유저의견 무시, 이해안되는 패치방향, 이벤트도 매일하던 스킨팔이 및 예전모드 돌려먹기하고 그나마 남아있던 정도 다 털리게 만드는 갓겜",2024-07-20 05:26:10
3,False,"컨버터, 핵 이문제만 없었더라면...",2024-06-02 16:58:26
5,False,서버관리도 못하는 망게임,2023-05-30 14:06:57
7,False,서버 병신겜 그래도 재밌어..,2023-02-22 15:19:28
8,False,이거 패드유저 아니면 하지마셈,2023-01-28 17:18:31
9,True,저는 FPS 고자입니다 그래도 재밌습니다 ㅠㅜ...,2023-01-04 11:03:01
10,True,국밥은 늘 맛있죠,2022-12-25 11:24:31
12,False,sb重生乱封号,2022-09-14 17:42:51
13,True,아니 씨발아,2022-08-27 14:55:34
14,True,에이x스! 야스보다 좋다,2022-08-12 13:50:04
15,True,이 게임을 이제서야 알았다니... 배그와 옵치의 장점을 합쳐놓은 것 같음,2022-07-03 16:39:45
18,False,아니 게임 해보지도못하고 실행이 안되서 환불해달라니까 개씹네 뒤질래 ?????,2022-05-03 20:29:58
19,True,고인물은 많지만 그래도 뭐,2022-03-27 01:29:14
22,False,12월 8일 업뎃 이후로 무한로딩걸리는 개병신겜,2022-01-17 09:46:11
23,True,모짬삐크 히어!!!! 모짬삐크 히어!!!!! FFFFFFFFFFFFFFFFF,2022-01-13 15:43:34
24,True,Ape Legend,2021-10-12 14:25:32
25,True,게임은 재밌는데 쓰러지자 마자 쳐나가는 개민폐 플레이어들이 너무 많음. 중간에 탈주하면 불이익을 주는 시스템이 필요할듯,2021-08-20 02:35:35
26,True,처음 시작 하는데 Apex 레전드™ - 챔피언 에디션 44000 짜리 풀랙스 했습니다 이거 잘 한건가요??,2021-07-22 15:31:31
27,True,재밌습니다,2021-06-24 13:16:05
28,True,재밌습니다.,2021-06-08 07:39:35
30,True,레알 꿀잼.,2020-12-22 03:00:36
