index,recommend,content,datetime
1,True,스듀 테라리아 마크 같은 게임 좋아하면 추천 ㅎ.ㅎ,2025-07-15 21:25:52
4,True,게임 볼륨이 졸라 커요. 너무 배불러서 먹기 힘들 정도,2025-07-15 11:45:02
5,True,어우 컨텐츠 많아,2025-07-15 11:44:42
6,True,중독성 역대급 최고!,2025-07-14 23:29:36
7,True,친구가 돌만 캡니다,2025-07-14 16:16:03
10,True,친구들과 같이하기 좋은 파밍생존게임,2025-07-14 08:53:42
13,True,친구들이랑 같이 하니 재밌네용,2025-07-13 06:48:25
14,True,보통 평가는 잘 안쓰는데 아직까진 갓겜 냄새가 난다 킁킁 이런 취향 아닌거 같았는데 직접 해보니 생각보다 재밌음 트라이 해볼만한 가치는 충분히 있다고 봄 가격도 저렴,2025-07-12 11:39:17
15,True,굿굿 재밌음,2025-07-12 07:52:01
16,True,혼자해도 재밌고 친구들이랑 하면 더 재밌음,2025-07-12 07:28:00
18,True,겁나 갓게임입니다 ㅇㅇ,2025-07-12 06:00:41
19,True,재미가 없는건 아닌데 뭐라해야되나 좀 슴슴하다라고 해야하나..,2025-07-12 04:27:40
20,True,진짜 엄청 재밌네요 한가지 아쉬운점은 맵을 열어보면 가장자리 안열린 부분이 아직 업데이트가 안되었다는 점 정도인거 같습니다 게임이 완성되면 정말 재밌을꺼 같아요,2025-07-12 02:33:51
21,True,난 재밌던데,2025-07-11 17:54:13
23,True,재밌긴한데 하다보면 졸림,2025-07-11 15:47:47
24,True,혼자보단 여러명이 더 재미있을거 같지만 난 계속 혼자했다고....,2025-07-11 07:28:22
28,True,존잼인디 근데 따로 안 찾아보면 막히는곳이 넘 많음,2025-07-10 08:41:15
29,True,테라리아 스듀 그리고 코어키퍼.,2025-07-09 12:12:24
30,True,스타듀밸리에서 광질과 전투가 가장 재밌었다면 매우매우 강력추천하는 게임. 멀티하기 조아용,2025-07-08 17:35:02
34,True,너무 재밌어요 시간순삭!!,2025-07-08 11:32:33
35,True,레전드 갓겜,2025-07-08 09:26:46
36,True,아 .. 댕꿀잼 .. 출근까지 4시간 남음 ..나는 조저따,2025-07-08 07:08:14
37,True,생존 게임 하고 싶은데 2D 도트 괜찮으면 그냥 이거 해라,2025-07-08 05:14:32
38,True,코어키퍼라길래 코어를 지키는 게임인가 싶었는데 알고보니 코어랑 맞짱까는 게임 ㄷㄷ,2025-07-07 22:09:37
40,True,재밌어요 Its very good game,2025-07-07 12:44:52
41,True,일주일 밤새면서 할수있을거같음,2025-07-07 12:06:47
42,True,겁나 재미있음,2025-07-07 08:34:29
43,True,good game,2025-07-06 15:50:01
44,True,비슷한 경쟁작들이 많은데 코어키퍼만의 매력을 잘살린것 같음,2025-07-06 14:36:39
45,True,정말 할게 많은 시간부자들한텐 최고의 게임.,2025-07-06 12:04:37
47,True,처음 보스 3마리 잡을 때 까지는 쉬움 그 후는 뭘 해야될지 찾기가 어려웠음 컨텐츠양이 크고 게임자체 난이도는 어렵지않아서 재밌었음.,2025-07-06 11:38:47
48,True,휼룡한 RPG 게임,2025-07-06 10:09:43
49,True,노가다 + 꾸미기 + 수집 좋아하면 재밌게 할 수 있는 게임. (도전과제는 하지 마),2025-07-06 09:11:07
51,True,재밌어용!,2025-07-05 18:27:06
52,True,살짝 귀찮고 픽하면 죽기는 하는데 겁내재밌음 추천,2025-07-05 17:13:42
55,True,난이도 낮은 탑뷰 테라리아,2025-07-05 11:13:45
56,True,아주 재미있음! 완전 강추!!,2025-07-05 08:29:57
57,True,진짜 재밌게 했습니다. 제가 할때는 주머니도 없고 했는데 2d 로그라이크 + 이런 생활 관련 내용 있는 분들 좋아하실거 같아요,2025-07-05 07:44:21
60,True,픽셀도 귀엽고 즐길 것도 많네요 최근에 나온 게임이라 발전 가능성도 무궁무진해서 매우매우 추천합니다.,2025-07-04 11:21:43
61,True,단순노동 노가다 좋아하는 사람에게 최고의 게임,2025-07-04 06:25:55
63,True,ㅈㄴ재밌음,2025-07-03 22:50:26
64,True,친구들이 늘어날 수록 더 재밌습니다.,2025-07-03 19:02:25
66,True,"친구랑 시간가는줄 모르고 재밌게 즐겼고, 엔딩을 미뤄서 라도 할 수 있는건 가능한 다 해보고 싶어서 이것 저것 찾아서 한 게임",2025-07-03 13:46:31
67,True,잠깐 켜서 하고나니까 막 하루가 끝나있음,2025-07-03 06:52:57
69,True,디테일 좋고 할거 많아요,2025-07-02 16:43:32
70,True,할꺼 없을때 잠깐 하다보면 시간 잘 지나감 멀티로 하면 더더욱 추천 ( 무엇보다 업뎃 꾸준히 해서 컨텐츠가 계속 추가되다보니 질리지가 않음 ),2025-07-02 14:18:11
71,True,진짜진짜 재밌습니다 무조건 압긍입니다 도트 그래픽을 안좋아하는데 엄청재밌네요,2025-07-02 04:14:27
73,True,"손이 많이 가는 게임, 친구랑 할 수록 컨텐츠 소모율이 매우 빠르니 주의가 필요합니다. 하지만 재미도 2배이니 나쁘지는 않아요 !",2025-07-01 11:29:52
77,True,누가 나 좀 말려봐..,2025-07-01 06:08:43
78,True,봄버맨 할거면 꼭 멀티로 해봐라,2025-07-01 05:52:56
79,True,간만에 새벽까지 게임했네,2025-06-30 16:53:19
81,True,어우 할게 너무 많아,2025-06-30 13:19:19
82,True,할거없을때 하면 재밌음,2025-06-30 10:13:03
83,True,이봐 제작자 난 혼자서 테라리아를 600시간 넘게한 사람이라네. 그러니까 콘텐츠 더 줘야겠지? 업데이트 빨리 해야겠지? 추신 - 처음보는 가축을 절대 죽이지 마시오.,2025-06-29 12:19:21
84,True,"노가다 너무 심한데 재미 있음, 후반 갈수록 더 귀찮스러운 듯",2025-06-29 11:55:50
85,True,아이템 드랍 확률이 JOAT긴 한데 전체적으로 할게 많아서 좋음,2025-06-29 09:10:26
86,True,나는 개똥벌레 친구가 없네..ㅠ,2025-06-28 15:13:05
87,True,진짜 2만원 안 아까운 게임,2025-06-28 06:39:19
90,True,스타듀 0.2 +테라리아 0.1 +마크 0.7,2025-06-26 15:03:04
92,True,모드가 다양하게 없는게 조금 아쉽다 근데 본겜 자체도 크게 불편하거나 불쾌한건 없는듯,2025-06-26 14:29:51
94,True,굉장히 재밌게 즐긴 게임 친구들이랑 같이 했는데 혼자 해도 잼씀 얼마 안 해도 보스 금방 잡아서 겜 못하는 사람들도 재밌어할만함,2025-06-24 19:44:20
95,True,꿀잼 스타듀가 사냥이 갑갑한느낌이었다면 여긴 학살하는맛이있음,2025-06-24 13:00:38
96,True,★★★★☆,2025-06-24 05:33:27
97,True,개추합니다,2025-06-22 15:44:57
98,True,지역확장 한 10번더 늘려주세요,2025-06-22 14:42:53
