index,recommend,content,datetime
1,False,"""게임을 켠 순간, 나는 이미 B를 향해 달리고 있었다.""",2025-07-15 06:49:19
3,True,good game,2025-07-14 07:50:03
4,False,xzgdgg,2025-07-14 03:38:33
5,False,핵쟁이 존나많음 걍 접으셈 사설서버가서 겜해야함 사설서버가서 겜할거면 하셈 벨브가 핵안잡음 매우긍정적도 솔직히 주작이다,2025-07-13 02:32:08
6,True,게임을 시작하면 웬 앵무새같은 머리를 한 선글라스 낀 녀석이 우리를 원탭을 내버립니다.,2025-07-12 08:23:15
7,False,걍 서든하러가련다,2025-07-12 06:41:19
8,False,좆같은 핵,2025-07-12 06:09:31
9,True,걍 고트임 ㅇㅇ 이 게임은 근본 있어서 프라임 안 사고 다들 한번씩 해보시길,2025-07-11 23:50:53
10,True,한국인만 피해라,2025-07-11 19:11:39
11,False,존나 뭐만하면 vac 걸림 미친 게임 핵도 못잡으면서,2025-07-11 18:36:22
14,True,뭔프라임하나에이마넌이나하냐사랑해요밸브,2025-07-11 07:32:19
15,False,짱깨들 작업소임,2025-07-10 14:32:49
17,False,noooooob,2025-07-10 06:05:38
18,True,good game,2025-07-08 16:42:36
19,True,꾸준히 발전해라,2025-07-08 12:33:55
20,True,대굴빡쏘는 그 쾌감을 잊지를못해서 계속하는중,2025-07-07 11:15:22
22,True,https://steamcommunity.com/id/fallencs/inventory/#730_2_5991964375,2025-07-06 11:01:44
23,True,러시아어와 중국어를 공부할수있다.,2025-07-06 02:56:15
24,True,fdsds,2025-07-05 23:23:59
25,True,good luck & have fun,2025-07-05 19:16:12
26,True,NOT BAD NOT GOOD,2025-07-05 12:31:28
27,False,전에는 핵 잘 잡더니 해이해져서 핵쟁이 실시간으로 안잡냐? 다같이 신고해도 먹히지도 않네 망겜,2025-07-05 09:40:57
29,True,hjhjhjhjhjhjhjhjhjhj,2025-07-05 05:07:18
30,True,무료로 즐기기 좋은 게임,2025-07-04 14:37:23
31,True,아 눈 앞에서 삥 까지 말라고 ㅡㅡ,2025-07-04 08:43:09
32,False,매칭 되는 것 마다 전부다 작업장에 추방 하고 싶어도 겜을 할 수가 없네 망겜,2025-07-04 04:32:47
34,False,중궈런들좀 통제해라 잡히는매칭90%가 작업장이네,2025-07-03 08:18:13
36,False,짱깨들이 이거하려고 해킹 ㅈㄴ함,2025-07-03 02:37:37
37,True,아마 스팀 게임 중에서 도전과제 깨기 제일 쉬운 게임이 아닐까싶다,2025-07-02 15:50:33
39,True,나는 공산당이 싫어요!,2025-07-02 07:29:03
40,True,ㄱㄱㄱㄱㄱ,2025-07-02 04:55:32
41,True,Cyka R U S H BEEEEEEEEEEE,2025-07-01 14:42:09
42,True,이 게임 하는 사람들 거의 다 러시아인 같음 ㅋㅋ 그래도 게임은 재밌어요,2025-07-01 10:13:34
44,False,핵이나 잡아,2025-07-01 09:47:54
45,True,10000시간만 하면 러시아어 중국어 자동 습득하는 게임,2025-06-30 23:58:25
47,False,cheater ahh game ☠️☠️☠️,2025-06-30 06:53:52
48,True,4년째 배치중 시발새끼들아,2025-06-30 01:09:14
49,False,cyka blyet,2025-06-29 08:18:50
50,True,good game,2025-06-29 04:33:21
51,False,"+시원한 전개, 에임에 도움됨 -대놓고 핵안잡음",2025-06-29 02:54:29
52,True,good game,2025-06-28 11:13:16
53,True,설명이 필요없음 타격감 좋고 재밌게햇던게임 good,2025-06-28 09:01:23
54,True,핵 좀 쳐 잡아라. 아니면 중국인들 따로 서버 만들고 격리시켜서 지들끼리 핵전쟁하라고 해라.,2025-06-28 02:14:19
55,False,If you are an asian GG so many cheaters,2025-06-28 01:41:33
57,True,상자 팔고 게임 사야지~,2025-06-27 09:57:47
58,True,존나 갓 겜,2025-06-26 11:37:03
60,True,00000,2025-06-26 02:23:04
62,True,세계 각국의 욕설과 가정환경의 중요성을 배울 수 있는 교육적인 게임,2025-06-25 07:12:34
63,False,짱깨새끼들 ㅈㄴ 핵 처 써대는데 심지어 캐쥬얼에서도 핵을 대놓고 씀 TAIWAN NO. 1 핵 아니면 게임 못하는 짱개 종족 어휴,2025-06-25 05:19:16
65,True,erhgdrhrdeherherhaerh,2025-06-24 08:19:49
67,True,ugyuk,2025-06-24 06:13:39
68,True,핵빼고 재밌는 근본 fps 겜,2025-06-23 06:05:19
70,True,awb ry 4q r ntWB b3 w,2025-06-21 20:23:03
71,False,핵이 진짜 많은데 잡지를 않음. 그냥 핵에 고통 받고 싶으면 하는 게임,2025-06-21 16:05:59
72,False,핵잡아 씨발련들아,2025-06-21 14:35:20
73,False,어뷰징 하는 중국 놈들 해결 못하면 이런 망겜 누가 해 개발자들은 일 안하냐? 게임을 이따위로 하게 만들어 놨어,2025-06-21 10:44:00
74,True,재밌음 ㅋ,2025-06-20 13:23:30
75,True,goooooooooooooooooooooooooooooooooooooooooooooooooood,2025-06-20 10:36:07
77,True,VAC차단 하고싶으면 신고 195번 밖으면 됨,2025-06-19 13:39:12
79,True,발로하다 오면 밴달 스프레이가 얼마나 잡기 쉬운지 알수있는 게임 9한마디로 카스 크프레이 잡기 여러움 <초보만>),2025-06-19 09:40:04
80,True,뇌 비우고 하기 좋음,2025-06-18 19:02:29
81,True,접다가 다시 하면 잼있고 반복함,2025-06-18 16:39:47
83,False,서버마다 중국인들이 트월킹하면서 아무것도 안하네 ㅅㅂ,2025-06-18 07:35:30
85,True,하고 싶다면 지금 당장 해야합니다. 당신의 피지컬은 지금이 가장 젊습니다.,2025-06-17 16:58:54
87,True,Best global FPS game,2025-06-17 06:06:20
88,False,핵을 못잡아서 돈내고 하는데 스트레스 받는 개같은 게임,2025-06-16 12:06:37
89,True,일단 죽었다 본인 탓임 게임 탓 팀 탓 ㄴㄴ 근데 팀삥이나 팀 수류탄이나 몰리 맞으면 그거는 약간 팀 잘못이 있는데 결국엔 죽은 건 본인 탓이 무조건 있음,2025-06-16 09:39:02
90,True,this game is sexy. sexy game,2025-06-16 02:46:29
93,False,"Except casual, every modes are impossible to play from Specific RED Flagged country hackers.",2025-06-15 13:08:19
94,False,샷건 앞에 모두가 평등하다,2025-06-15 05:17:03
95,True,It good game,2025-06-14 12:10:39
96,True,nice good job men,2025-06-14 05:30:47
97,True,God game,2025-06-13 15:50:39
100,False,오랜만에 들어간 글옵은 1시간이 넘도록 매칭에 핵들뿐이였다 or 작업장만 있을뿐 다시 할려고 하는 사람이 있다면 그닥 추천하고 싶지 않다.,2025-06-13 02:47:04
