index,recommend,content,datetime
1,True,디줴이뭭스,2025-07-16 20:19:59
3,True,제게 리듬게임의 재미를 알려준 게임입니다 강추,2025-07-16 13:34:24
4,True,늙었어.. 가면갈수록 실력 퇴화..,2025-07-16 13:11:57
5,True,곡 끝나고 쭐어콘 좀 안 나오게 해 주세요,2025-07-16 11:28:53
6,True,uit867rtyety7etysdtyh,2025-07-16 08:05:13
7,True,Dj subatomic supernova,2025-07-16 05:41:47
9,True,가볍게 즐기기 좋습니다. 리듬게임중 제일 무난한것 같습니다.,2025-07-15 12:55:50
11,True,네???????? PUPA (xi Remix)요??????????? 네????????,2025-07-14 14:28:59
12,True,리겜 좋아하는 유저로써 재밌게 했습니당,2025-07-14 12:11:52
13,True,키보드로 플레이하는 건반 리듬게임 중 가장 메이져하면서 현대적인 시스템이 잘 갖춰져있는 게임이 아닐까 싶네요.,2025-07-14 03:06:02
14,True,약간 리겜의 정석 느낌 ps. dlc 너무 많아요 ㅠ,2025-07-13 16:55:36
15,True,리겜에 재능이 없어 그런지 난이도는 어렵게 느껴지지만 노래도 좋고 bga도 퀄리티 높게 나와서 재미있게 플레이하는중 할인기간에는 80퍼까지 할인하니까 할인시즌떄 사는걸 추천,2025-07-13 16:05:19
16,True,꼴리고 재밌다,2025-07-13 15:19:36
18,True,디맥 좋아,2025-07-13 12:47:02
19,True,woaldlTdma,2025-07-13 12:24:57
20,True,멀티 도중에 점수 보지 마세요,2025-07-13 10:40:42
21,True,후 재밌다...,2025-07-13 10:23:02
23,True,디제이 맥스 화이팅,2025-07-13 08:51:15
25,True,틈틈이 하기에 좋음,2025-07-12 11:52:56
27,True,"""공연은 즐거우셨나요, 여러분?""",2025-07-12 09:26:42
28,True,재밌어요~!,2025-07-12 07:59:50
30,True,박시율같은 친구가 하면 되는 게임,2025-07-12 04:42:38
31,True,디맥 존나 재밌다 리듬게임 뉴비들 할만함,2025-07-12 03:15:12
33,True,운영좀 잘하자....,2025-07-11 13:00:53
34,True,어...라...?내3시간이...?,2025-07-11 12:49:05
36,True,해본거 중에 제일 좋음,2025-07-11 11:29:01
38,True,dlc를 사야하긴 하지만 돈 아깝지 않은 게임,2025-07-10 12:39:05
39,True,앙 기모띠 재밌띠,2025-07-10 09:16:34
40,True,내가 살면서 여태까지 본 게임 중에 정말 최고로 운영을 잘 하는 게임이라고 생각함 유저들의 의견을 적극 반영하기 힘든데 그걸 해냄,2025-07-10 08:38:45
41,True,아 눌렀다고,2025-07-10 07:26:35
42,True,곡도 많고 판정도 옆동네에 비하면 널널해서 저같은 초보도 하기 편한거 같습니다. 일단 커마도 할게 많고 업적깨기도 할만합니다.,2025-07-10 02:30:57
45,True,플스판은 분명 클래지콰이까지 포함이였던거 같은데 스팀판은 없음 근데 어떻게 참아 DLC 다 사야지,2025-07-09 16:30:09
46,True,노래가 다양하고 8키가 재밌어요 굴단들은 이런거 못해봐서 집단극화로 무지성거인됐지만 게임이 흥하고있으니 기쁘긴 합니다,2025-07-09 12:04:04
47,True,평가글 안남기는 편인데 굴단 테러때문에 남김,2025-07-09 10:57:35
48,True,어라 왜 dlc가 안 나오지...,2025-07-09 10:45:59
49,True,일단 해본지 얼마 되지 않았지만 재밌습니다.,2025-07-09 10:39:53
50,True,일러도 이쁘고 캐릭터들도 귀엽고 UI도 깔끔하고 브금도 너무 좋아요!,2025-07-09 02:59:30
51,True,본격 전완근 운동 게임,2025-07-08 19:08:52
53,True,먹을만한 씹덕 리듬겜 dlc가 비싼게 단점,2025-07-08 14:53:25
54,True,DLC사야 칠곡이 생길거같아요,2025-07-08 13:49:04
55,True,이거 못하면 사람 아님ㅋ,2025-07-08 12:24:40
56,True,리듬게임 재밌다!,2025-07-08 11:29:53
57,True,벌써 30시간이 다되간다고?,2025-07-08 11:11:52
58,True,PC리듬 게임의 GOAT 여러 콜라보를 통한 다양한 음악 파격적인 세일 폭 DLC가 강제 되지만 그 DLC들 마저 파격적으로 할인한다 안할 이유가 있는가?,2025-07-08 07:02:58
59,True,사이드 노트만 나오면 너도나도 말랑말랑 두뇌교실 스타트,2025-07-07 22:27:25
63,True,대-로키의 노로바이러스 정 상 화,2025-07-07 14:04:38
65,True,굴단대척결 다섯글자에 환호성,2025-07-07 12:26:31
66,True,내가 바로 광안리 리듬 게임 고수.,2025-07-07 11:37:54
67,True,아 재밌다 이대로만 갑시다!!,2025-07-07 09:25:39
70,False,디엘씨너무비싸용,2025-07-06 17:06:48
71,True,그저 갓겜,2025-07-06 15:22:46
73,True,게임이 맛있고 여아들이 재밌어요,2025-07-06 14:08:19
74,True,굴단척결대 응원합니다,2025-07-06 12:12:44
75,True,4키로 먼저 시작하는 것 보다는 더 다양한 키로 연습하는게 더 좋습니다,2025-07-06 11:42:41
76,True,완죤 내스따일~~~~!!,2025-07-06 11:38:38
77,True,내 손가락 관절 다 망가지겟네,2025-07-06 06:59:57
78,True,4키인데 왜 6개인가오,2025-07-06 05:41:28
