index,recommend,content,datetime
1,True,FPS잘 하다보니 사슬총 쏘는데 쏘는 족족 잡히는게 짜릿함(?),2025-07-16 17:32:37
2,True,정가에 사도 될 만큼의 갓겜입니다. 핵도 없고 매우 클린해요,2025-07-16 12:56:45
3,False,핵쟁이에 치이고 고인물에 치이고 밸런스에 치이고 처음에는 재밌고 실력 올리려고 별짓 다해보는데 치이는게 너무 많아 수시로 꺽임 뉴비들에 대한 장벽도 높고 공용퍽도 먹을때까지 투자해야하고 블포라는 재화는 이벤트등으로 퍼주지만 그걸로 때우려는게 보임 mmr문제도 있긴한데 이벤트쪽은 mmr없다보니 게임이 극단적일때가 많음 다른 사람들과의 실력차가 보일때마다 하기 싫어지고 핵인지 아닌지 판별할 수 없는 판이 많아 하면 할 수록 정이 떨어짐 25년까지 운영된다는게 놀랍고 대단하지만 25년인데도 없는 기능들이 보여 답답한 부분들도 있음 게임을 하면 할 수록 징징기가 되어가는 내가 보인다...,2025-07-16 08:29:21
4,True,최고의 술래잡기 게임,2025-07-16 06:51:01
5,True,말이필요한가요,2025-07-15 10:06:07
6,True,술래가 고통받는 게임,2025-07-15 04:17:29
8,False,9주년인데도 했던 이벤트로 돌려막기 아직까지도 버그가 넘쳐나는 게임,2025-07-13 22:38:09
9,True,와 시123발 존1나 갓겜 이건 꼭해야됨 제발 와 옺,2025-07-13 16:33:36
11,True,알.알알알 알. 알알알알알,2025-07-13 06:06:26
12,False,"....................../´¯/) ....................,/¯../ .................../..../ ............./´¯/'...'/´¯¯`·¸ ........../'/.../..../......./¨¯\ ........('(...´...´.... ¯~/'...') .........\.................'...../ ..........''...\.......... _.·´ ............\..............( ..............\.............\..",2025-07-13 04:55:12
14,True,정말 재미있네요. 혼자해도 재밌고 친구들이랑 하면 더 재밌는것 갔아요. 인생게임을 찾은것 갔습니다.,2025-07-12 12:44:08
18,False,정말 좋은 게임이 맞고^^ 뉴비 살인마에게 참으로 좋은거 가르치는 생존자 고인물들 ^^ 아주 게임이 개 같이 좋아요 ^^,2025-07-12 02:48:16
19,True,왜 나냐고 씨발새끼들아 맨날 밥쳐먹고 이것만 하는 새끼들 그만 나만 죽이라고 씨발 BMI 35넘어가는 지구 중력 많이받는 새끼들아,2025-07-11 18:19:44
22,False,"이 병신겜은 핵을 끝까지 쳐 안잡고, 핵나와서 강종하면 매치 메이킹 패널티를 왜 내가 쳐받아야됨?",2025-07-11 04:40:30
23,False,baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaad..,2025-07-11 03:55:58
24,True,나는 이 게임을 정가주고 산 것을 후회한다.,2025-07-10 14:45:49
25,True,공포장르를 좋아하십니까? 공포물 매니아 이십니까? 그렇다면 당장 구매하세요! 유명한 공포물 캐릭터들을 직접 플레이 할 수 있는 기회입니다. 단점은 킬러로 어리버리한 플레이를 할 시 곧바로 생존자들에게 다구리 및 왕따체험을 할 수 있습니다. 그 외엔 모든게 다 완벽합니다.,2025-07-10 11:36:36
27,True,최고의 코미디 게임,2025-07-10 05:45:28
28,True,"재밌음 ㄹㅇ 추천겜 공포,피지컬 겜 좋아하면 하세요",2025-07-09 12:48:59
29,True,이 게임 정.말.재.밌.습.니.다 꼭한번씩 해보세요씨ㅣㅣㅣㅣㅣㅣㅣㅣ발,2025-07-09 10:12:03
30,True,사이버 고아원,2025-07-09 08:12:06
31,True,이 게임을 하면 욕이 늘어요 스트레스 받으면서도 놓지 못하는 존망겜^^,2025-07-09 03:42:55
32,True,I wish the yellow rabbit had a mask.,2025-07-08 15:31:53
33,True,정말 재밌어요 따봉따봉,2025-07-08 15:08:44
34,True,good~~~~,2025-07-08 14:38:56
35,True,다인큐가 ㄹㅇ재밌는듯 친구없으면 인겜에서 만난 한국인들한테 무작정 친구 거세요,2025-07-08 13:31:57
36,True,"뉴비 분들은 어렵겠지만 충분히 재미있음 (주의:티배깅이 매우 많음,1,000시간 되면 님 인생 가치 하락)",2025-07-08 13:00:43
38,False,즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.즐거움의 정원.,2025-07-08 09:49:51
39,False,"진입 장벽이 너무 크고, 단순히 즐기기엔 스트레스를 받습니다. 4가지 퍽을 장착해서 게임을 즐길 수가 있는데, 퍽 모으기까지 너무 오래 걸립니다. 생존자는 상대적으로 퍽 선택이 가능한데, 살인마는 퍽이 고정되어 있어서 재미가 없어요. 그리고 이따금 서버 렉 때문에 게임 결과에 영향이 가서 불쾌한 상황이 자주 발생합니다.",2025-07-08 06:50:59
40,False,앰 병 개발자 ㅆ벌럼들 겜 ㅈ같은건알지만 카네키부터는 진짜 싸대기존나마렵다 판자 따라서 바로 능력으로 넘어오는건 그렇다쳐도 왜 판자 넘어오는거가지고 평타모션도없이 넘어오자마자 바로 쳐 죽는건 뭔 ㅈ버그같은걸 쳐넣어놨어 근손판정을 왜 쳐넣어놔 병신개발자새끼들아 가지도못하게 붙잡으면서 판자 쳐넘어오는것도 얼탱이가없는데 충돌 근손걸리면서 뒤지는건 진짜 대가리 깨진새끼가 돈벌려고 쳐만든 킬러 진짜 이 병신들은 돈벌생각밖에없네,2025-07-07 17:02:52
41,True,재밌어요 양학좀 하게 뉴비좀 많이 들어오시길!,2025-07-06 16:31:26
43,True,살인자 왕따 시키는 겜,2025-07-06 11:43:56
44,False,"다인큐 몰아주기형 패치, 생존자에게만 유리한 패치(추격 ui 등)으로 인한 노잼. 루인 전성기 시절에는 게임을 장기전으로 끌고갈 수 있어서 트래퍼같은 캐릭도 나름 쓸만한 살인마였는데 루인 하나를 대체하기 위해서 원깜, 차단스위치에 퍽 몇칸을 낭비하는거임?",2025-07-06 08:47:46
45,False,개병신 쓰레기겜,2025-07-06 08:39:17
