index,recommend,content,datetime
1,True,아주 재밌음 지인들과 코옵위주 플레이를 추천함,2025-07-16 02:03:50
4,True,재밌는데 겜하다가 네트워크 오류 뜨면서 팅기는거 좀 고쳐라 프롬색기들아 막 보스 문앞에서 갑자기 네트워크 입구컷 하면 어캐하노,2025-07-15 22:26:03
5,True,daily dopamine,2025-07-15 19:55:20
8,True,겜 어떻게 돌아가는지 좀 적응하면 할만함,2025-07-15 14:56:09
9,True,구경만하지 말고 살려줘 개새끼들아,2025-07-15 12:26:57
11,True,방울 사냥꾼 방울 두쪽에 전회갈기고싶다,2025-07-15 08:12:22
22,True,2인모드 깔아서 했는데 재밌음,2025-07-13 19:50:29
24,True,도전과제까지 다 깻으니 따봉드림 알차게 즐겼다,2025-07-13 15:46:18
26,True,본편보다 가볍게 하기 좋음,2025-07-13 15:22:12
27,True,남들도 한입만 해봤으면 좋겠다,2025-07-13 12:46:28
29,True,밸런스 패치만 잘 된다면 더 재밌었을 텐데...,2025-07-13 05:06:21
30,False,제발 나도 공격좀 하자 가만히 있어봐,2025-07-13 02:19:58
31,True,기본 보스는 원트에 가능 아주 적절한 난이도 따봉,2025-07-12 19:31:49
32,True,최종보스 원트 컷,2025-07-12 19:31:16
34,True,친구들이랑 하면 정말 재밌음,2025-07-12 14:07:18
35,False,개 븅-신같은 게임이 서버 튕기는것도 하루 이틀이어야지,2025-07-12 13:28:35
37,True,오늘 못깨면 죽음뿐임,2025-07-12 11:43:38
40,True,정말 정말 재밌는 게임 파밍하는 맛 보스 잡는 맛 협동하는 맛 다 있음 준비물: 40+@의 시간동안 같이 재밌게 즐길 수 있는 소울류 짬밥찬 친구들 넷정도,2025-07-12 05:55:58
41,True,not bad,2025-07-12 04:03:24
45,True,해라 그냥 사서 해라,2025-07-11 18:25:48
46,True,일주일에 한판씩,2025-07-11 17:55:09
48,True,김피탕 알지? 그런거임,2025-07-11 15:45:22
49,True,친구 없으면 쫌 별론데 친구랑 하면 강추,2025-07-11 09:42:56
50,True,메이랑 같이 밤을 사냥할래?,2025-07-10 16:56:13
51,True,아오 ㅋㅋ 유튜브 렉카 새끼들을 믿었던 내 잘못이지 존나 재밌기만 하네 ㅋㅋㅋ,2025-07-10 14:26:14
52,True,솔플로도 할만함,2025-07-10 13:07:58
54,True,랜덤팀원이랑 같이하면 좆같음,2025-07-10 09:27:13
55,True,밤의 비 타이머만 넣어줘..,2025-07-10 08:40:00
58,True,똥인지 된장인지 햇갈려서 계속 먹는 게임.,2025-07-10 03:17:18
60,True,처음엔 적응 안되서 어려웠는데 계속 하다 보니까 재미있어서 순식간에 20시간 채워버림,2025-07-09 11:20:24
64,True,난이도는 중상 정도... 다크소울 입문으로는 너무 힘든게임... 차라리 본편을 먼저해서 키조작을 익숙해진다음 트라이 추천 적응하면 너무 재미있는 게임,2025-07-09 01:50:58
66,True,이게 게임이다,2025-07-08 16:10:56
67,True,아이엠 통치자에요,2025-07-08 15:37:37
68,True,난 재밌음,2025-07-08 15:13:12
69,True,처음엔 똥인줄 알았으나 먹어보니 고급 카레였다.,2025-07-08 13:37:23
70,True,멀티전용 엘든링이 이렇게 재밌게 나올줄은ㅋㅋㅋ,2025-07-08 12:06:03
71,True,제일 좋아하던 엘든링의 후속작은 아니지만 뭐 먹을만은 했다(25시간이 지나면 조금 쓴맛남)_,2025-07-08 11:54:38
73,True,세키로2나 쳐 내라,2025-07-08 08:30:27
76,True,재밋긴한데 컨텐츠가 조금 적은느낌입니다,2025-07-08 03:15:56
77,True,재미없어야 하는데 이상하게 재밌음,2025-07-08 03:07:57
79,True,어디보자 소울라이크랑 자기장이 익숙해지면 할만해유 보스난이도는높지않고 할만합니당!,2025-07-07 18:07:52
80,True,뭐하는 게임이냐고 욕했는데 왜 계속 하고있지........,2025-07-07 14:55:13
81,True,친구랑 하니 너무 재미있어요,2025-07-07 11:55:27
83,True,더주세요 더주세요 더주세요 더주세요 더주세요,2025-07-06 19:28:32
85,True,으하하 잼있따,2025-07-06 13:43:03
86,True,TLqkf,2025-07-06 13:32:59
87,True,재미있다요,2025-07-06 12:08:08
88,True,업뎃 빨리 더 안하면 바지에 똥쌈,2025-07-06 10:43:33
89,False,버그좀 고쳐라 ㅆㅂ 강화몹을 내봤자 뭐해 버그때문에 못잡는데,2025-07-06 07:37:02
90,True,재미 없어도 끄지마셈 계속하면 재밌어짐,2025-07-06 06:53:40
93,False,정말 돈 아까워요. 최적화도 최악이도 재미도 없음. 나중에 할인할때 사세요.,2025-07-06 02:38:48
94,True,초반 설명이 부족해서 박으면서 배워야 하지만 일단 배우고나면 겁나 재밌음.. 부담없이 아무때나 재미있게 할 수 있는 게임,2025-07-06 02:18:47
96,True,은둔자가 예쁘고 게임이 친절해요,2025-07-05 14:43:10
97,True,이건 고일수록 꿀잼이다,2025-07-05 14:31:49
98,True,랜덤성이 좀 부족한게 아쉽지만 나쁘지 않음. 가끔 보스 억까가 좀 있는 편.,2025-07-05 12:04:05
99,True,결정이다.,2025-07-05 11:31:42
100,True,익숙해지면 재밌음,2025-07-05 11:06:58
