index,recommend,content,datetime
1,True,오빠차 뽑았다,2025-07-16 14:17:06
2,True,조그만한 승용차들이 귀여워 보이는 게임.,2025-07-16 04:58:10
3,True,잘만든 게임지만 호불호가 심하게 갈리는 게임 요즘 같이 도파민 뿜뿜 터지는 게임이 아니고 잔잔하게 트럭 운전수의 삶을 체험 하는 게임입니다. 아차 레이싱 패드는 필수에요!,2025-07-14 09:25:03
4,True,하다보면 졸린데 계속 하게됨,2025-07-13 14:19:44
5,True,진짜 이건 dlc가 필수임ㅋㅋ dlc가 없어도 꿀잼인데 dlc가 있으니까 진짜 재미있음 dlc없어도 되니까 한 번 세일할 때 사는게 좋을 것 같음,2025-07-13 11:49:48
6,True,버스모드 버스 비싼데 재미있음,2025-07-13 02:03:21
7,True,vmfpdla rhksflaks wkfgkaus djacjd whgtmqs;el!,2025-07-12 06:34:54
9,False,nojam,2025-07-11 13:43:23
10,True,이거 하려고 휠에 백만원을 태울 줄이야,2025-07-11 09:05:17
11,True,트럭 운전 재밌습니다. 휠이 없어도 재밌습니다. 패드로 충분합니다.,2025-07-10 13:00:14
12,True,나름 인생 힐링게임,2025-07-10 02:23:23
13,True,할만한데 취향이 약간 아재들이 좋아할 맛임.. 레이싱휠인가 그거 있어야지 재밌을듯,2025-07-09 17:13:38
14,True,돈 만 있으면 장비 까지 사서 하고 싶네요.,2025-07-09 03:53:46
15,True,김홍남 플리 틀고 유럽을 달려보아요,2025-07-08 10:35:19
17,True,졸음운전과 음주운전이 왜 위험한지 알려주는 갓게임,2025-07-07 16:51:24
18,True,휠 있으면 무조건 사셈 없어도 산 다음에 휠을 사셈,2025-07-07 16:42:58
19,True,여긴 과적으로 갑질하는 화주가 없다 난폭운전자만 있을 뿐,2025-07-07 15:43:56
22,True,안전운전은 개나 주도록 하자,2025-07-06 06:16:08
25,True,힐링과 공포 그 사이,2025-07-05 11:54:59
26,True,저장공간 때문에 못할 수 밖이 없는 게임 ㅠㅠㅠ,2025-07-05 03:18:23
29,False,허구한날 업데이트하면 팅긴다음 실행도안되고 고치지도 않고 돈쓴게 아까울지경이네요,2025-07-04 08:56:04
31,True,솔직히 운전하면 왜 줄린게 이해가 안돼는데 이겜 해보니까 바로 이해했습니다,2025-07-03 09:36:53
34,True,아무 생각 없이 멍때리고 싶을 때 최고의 게임입니다. G29 휠셋으로 플레이하면 더욱 좋습니다.,2025-07-02 05:00:39
35,True,뭐 400 500유로? 내지 뭐 이새끼들이 어딜 끼어들어 대황트럭 지나가는데,2025-07-01 18:31:46
38,True,스팀덱으로하니까. 꿀잼이네요.. ㅎ,2025-06-30 11:47:45
39,True,퀄리티 unrecord 뺨침,2025-06-28 13:59:28
40,True,묘하게 재미있음,2025-06-27 23:05:39
41,False,"게임패드로 즐기기엔 조작감도 별로고, 조작키가 너무 적음",2025-06-27 10:45:14
42,True,실제로 차타고 여행다니는 느낌도 들고 트럭 운전사 체험도 해볼 수 있으니 괜찮네요.,2025-06-27 06:30:11
43,True,힐링겜 ㄹㅈㄷㄷ(졸음운전 주의!!!!!!!!),2025-06-26 16:53:12
45,True,매우 즐겁게 게임할수 있습니다.,2025-06-25 06:01:48
47,True,이거 할라고 100만원 주고 수동 휠 샀는데 운전이 이렇게 어려운건지 몰랐다...,2025-06-23 14:37:06
48,True,휠 필수!,2025-06-23 11:47:45
49,True,왜 내가 속도 위반 안 할때는 안 오고 내가 과속하면 오냐고~~~,2025-06-22 14:26:59
50,True,하다가 잠깐 졸았더니 차가 누워서 쉬고있더라고요,2025-06-22 09:09:43
51,True,대체 대출은 언제 갚을까..,2025-06-22 05:43:51
52,True,아재처럼 노래들으면서 운전하다가 차 박아서 파산함. 너희들은 안전운전해라,2025-06-21 12:43:32
53,True,Life Could Be A Dream,2025-06-21 08:17:47
55,True,멍때리며 하기 좋은 게임 길막충 나타날때 흥분하지 말자,2025-06-19 02:08:12
56,True,이렇게 시간 잘가고 재밌고 현생에 도움되는 게임을 왜 다들 안하는거지?,2025-06-16 14:46:26
62,False,TLQKF ROQUDTLSRKXDMS RPDLA,2025-06-14 10:31:50
63,True,운전연습이라고 생각하지마세요 ㅋㅋ,2025-06-13 08:50:22
64,True,운전면허따는거보다 유로트럭 돈 안떼이고 옮기는게 더 어려움. 하다보면 시간 후딱감,2025-06-12 18:46:54
65,True,수동 차량 기어 변경이랑 도로 주행 연습하기 좋음. 대신 트럭회사 키우는 게임인지라 초반에 돈번다고 여기저기 계속 운전만 하다보면 쉽게 지루해질 수 있음.,2025-06-12 07:34:04
67,True,어허 이 댓글 봤다면 꼭사라 아 근데 가끔 할인하는데 꼭 사라 후회 하지말고,2025-06-10 12:24:02
69,True,학교 다녀오고 나서 또 집밖 사회생활에 던져지는 게임 이 게임은 이미 택틱이 야무지기 때문에 추천 ㄱㄴ 핸들 없이 하긴 했는데 나쁘진 않음,2025-06-10 09:35:16
70,True,너무 재밌다,2025-06-09 05:57:46
71,True,very nice game,2025-06-08 14:54:36
72,True,드라이브 좋아하는데 너무 재밌네요.. 하루만에 12시간 플레이했어요. 버스 버전도 있으면 좋겠다.,2025-06-08 06:36:25
73,True,존나 재밌음ㅇㅇ,2025-06-07 08:17:31
74,True,휠 써서 플레이 해보삼 ㄹㅇ루 개잼있음 ㄹㅇㄹㅇㄹㅇ 개추박는다 ㅋ,2025-06-07 04:23:53
75,True,왜 이게임이 24000원인지 알게 되었다,2025-06-07 02:24:23
76,True,운전 느낌이 든다,2025-06-06 12:38:10
78,True,나의 본능을 일깨우려면 GTA. 나의 본능을 잠재우려면 ETS.,2025-06-04 21:08:50
81,True,fhnhmm n,2025-06-02 00:56:20
83,True,재미있어요~ 아이도 어른도 즐기기 좋아요!,2025-06-01 10:31:22
84,True,키보드로 하기조음,2025-06-01 09:10:01
86,True,재밌고 퀄 높아용 굿굯,2025-05-31 13:00:01
87,True,유로트럭을 했다 시민차를 박았다 돈이 나갔다 빡쳐서 트럭을 박살넀다 돈을 안준다,2025-05-31 12:15:05
88,True,완벽한 게임. 근데 최적화가 덜된?,2025-05-31 08:21:42
89,True,재밌다 그냥 ~ 다른 말이 필요없어,2025-05-31 02:37:46
90,True,dfdgdgfdgdg,2025-05-30 10:26:35
91,True,친구랑 같이하면 시간가는줄 모르는 게임,2025-05-29 12:33:02
92,True,이건 새로운 인생이야,2025-05-29 03:40:35
93,True,이 게임 덕에 볼보 트럭커가 되고 싶습니다요,2025-05-28 14:31:11
