index,recommend,content,datetime
2,True,사세요. 두번 사세요,2025-07-14 17:30:04
3,True,"언더스티어가 좀 강하지만 DRS의 마지막과 멕라렌 듀오의 원투피니쉬, 베르스타펜의 3위, ‘페라리’ 헤밀턴의 4위, 르끌레르의 모나코 폴투윈을 보고 이 게임을 안산다? 흠…",2025-07-14 12:45:18
4,True,재밌습니다.,2025-07-14 11:28:51
5,True,"대존잼이고!! 내가 소니 헤이스가 돼서 베르스타펜랑 해밀턴 알론소 르끌라레 이런 애들 제낄 때마다 너무 좋고 조작감 좋구요 사운드 좋고 아주 할 맛 좋아요! 스토리 모드의 스토리 시간은 약 7시간으로 가격대비 조금 적지만 스토리모드는 잘 구성했고 연출도 잘했고 아주 재밌습니다 그 외에 커리어 모드라든지 등등 컨텐츠들은 풍부하고요 또한 게임성도 매~우 뛰어나요 영화를 보셨든 레이싱게임을 좋아하든 F1을 좋아하든 ""적극 추천""합니다! 게임 덕분에 F1을 이해하고 입문 하는 데에 매우 발판이 됐습니다. 할인이 없어서 지금은 풀 프라이스라 쪼~ 금 비싸긴 한데 그래도 추천합니다 ea 게임 할인 자주 하고 출시한지 1년 안돼서 곧 나중에 30프로 이상 하니까 세일 하면 해보세요! 하는 데에 영어는 딱히 크게 지장은 없습니다 살짝 막히는 부분만 gpt 힘 빌리면 됩니다. 그리고 스토리 모드 빡 집중해서 이해 할려다보니 덕분에 리스닝 실력 많이 늘었습니다.",2025-07-14 07:22:04
6,True,하찮은 동양인이라 죄송합니다만 한글 번역 추가해주세요ㅠㅠ,2025-07-14 05:50:38
7,True,"전작보다 그래픽, 물리엔진 맛있음",2025-07-13 14:32:15
8,True,f1카를 모는 재미가 있어요,2025-07-13 11:40:01
9,False,겜 실행안됨 로딩 튕김.,2025-07-13 00:26:38
10,True,이걸 해보고 f1 운전이 보는것 처럼 만만치 않다는것을 느꼈다. f1 영화는 반드시 보고와야 이 게임을 더 재미있게 할 수 있다. 처음으로 정가주고 샀는데 돈이 안아까운 게임. 반드시 아이트레킹 프로그램도 같이 구동해서 하시길.,2025-07-12 14:23:36
11,True,"그래픽도 타 겜들에 비해 준수하게 평타는 치는 편. 조작도 무난, 하지만 한글 지원 안돼서 영어 모르는 나는 몰입이 안되는 탓에 환불때림, 진짜 좋은 게임인건 확실하다.",2025-07-12 11:43:43
