index,recommend,content,datetime
1,True,매 패치마다 지옥을 넘나드는 겜,2025-07-16 17:05:10
3,True,혼자해도 재밌고 힘들면 공방 돌려도 친절하게 도와주고 고인물들이 내편인게 좋네요,2025-07-15 14:39:00
4,False,버그좀 작작내 업데이트 할때마다 게임을 새로 밀어서 다시깔아야하냐? 끼새신병들아,2025-07-15 13:07:46
5,True,킬링타임으로는 최고,2025-07-15 07:18:43
6,True,밀덕이면 일단 후회는 안함,2025-07-15 03:32:51
8,False,게임을 쳐만들다 말았음,2025-07-14 11:26:27
9,True,게임은 참 재미있는데 최적화가 너무 나쁘다,2025-07-13 01:48:43
10,True,초반에 버그 소통 문제가 있긴했지만 게임만큼은 재밌슴,2025-07-12 07:28:08
12,True,나는 언제까지 같은 무기로 싸워야하는가 돈 안쓴다는 기준에서 무기 얻기 개빣[ㅔㅁ시발,2025-07-11 14:55:42
13,True,죽는 것 조차 재밌던 게임은 이게임이 유일한듯,2025-07-11 14:54:08
14,True,Democracy,2025-07-11 11:41:34
15,True,민주주의 만세,2025-07-11 08:52:17
16,False,내 살다살다 게임 팅기는걸로 스트레스 받는 게임은 처음이네,2025-07-10 15:23:44
17,True,[ 여기에 적절한 ↓↑←↓↑→↓↑ 입력 ],2025-07-10 09:46:33
18,True,아오 지뢰 무ㅓ냐고,2025-07-10 03:19:53
19,True,재밌다 ㅋ,2025-07-09 06:24:38
20,True,[반역죄를 위반하여 검열된 글입니다.],2025-07-09 02:35:07
21,False,zzz qt game cpu gpu 70 80 ℃,2025-07-08 22:37:30
23,True,d이거 미쳤어요 개재밌어요,2025-07-08 13:50:05
27,True,"망설이지말고, 구경하지말고 어서 입대하라 아쎄이!",2025-07-08 09:08:44
28,True,기대 안 하고 샀는데 굉장히 재밌는 게임,2025-07-06 17:51:29
29,False,벌레 존나마늠,2025-07-06 13:23:12
30,True,개재밌음 민주주의 짱,2025-07-06 12:58:20
31,True,민.주.주.의,2025-07-06 10:10:49
32,True,버그는 많지만 ㅋㅋ 진짜 잘 만들었넹,2025-07-06 05:15:31
33,True,여보 미안해. 이번주말은 몸살이라 집에서 쉬어야 겠어.,2025-07-05 19:46:09
34,False,흥미롭고 재밌음.,2025-07-04 13:57:38
35,True,ㄱㄱㄱㄱㄱ,2025-07-04 12:52:28
36,True,최고의 코옵 게임,2025-07-04 12:40:28
38,False,많이 실망스러운 운영,2025-07-03 13:46:55
39,False,아직도 정신못차리고 유저들하고 기싸움하는 멍청한 게임,2025-07-03 13:13:57
40,True,그냥 뻔한 게임이 될뻔했지만 샘플이라는 것을 넣음으로써 긴장감을 추가시키고 폭발 효과들이 정말 멋집니다. 왜 인기가 있었는지 이해가 가게되는 게임플레이!,2025-07-03 03:25:03
41,True,4명에서 같이 하기 딱 좋은 게임,2025-07-02 19:54:27
42,True,반역죄 처단까지 걸리는시간 단 10초,2025-07-02 11:57:08
45,True,분명 민주주의 국가인데 중국말하는 간첩들이 있어서 궤도 정밀 타격으로 민주주의 주입 해줌 ^^,2025-07-02 07:14:41
46,True,firepower,2025-07-02 00:46:12
47,True,살면서 한 번쯤은 꼭 해보면 좋을만한 게임,2025-07-01 18:29:33
48,True,뉴비는 정신이 나갈거같아요,2025-07-01 14:01:35
49,True,HELLDIVERS™ 2 8/10 황제폐하를 위하여! 그 게임 아니라고요? 어쩌라고요 감사합니다.,2025-07-01 13:52:14
52,True,초보라면 강하하고 강하하고 강하하고 또 강하하고 강하하고 강하하고 강하하십시요,2025-07-01 05:48:11
58,True,게임은 잘만들고 운영은 잣같이 하고 유저랑 기싸움 하는 씹로우헤드 클라스 ㄷㄷ,2025-06-29 10:13:34
59,True,지옥으로 같이가자,2025-06-29 08:35:33
60,True,나는 버려졌다 분명... 같이 하자고 했는데...,2025-06-29 06:32:03
62,True,개꿀잼 무친게임,2025-06-28 09:35:13
63,True,아주 재있어,2025-06-28 03:39:25
66,True,SWEET LIBERTY!!!!!!!!!!,2025-06-27 09:06:04
67,True,재밋어용.,2025-06-27 06:41:03
68,True,여럿이서 함께할때 빛나는 민주주의,2025-06-27 06:18:11
69,False,개쓰레기 병신게임 패치마다 키 안눌리는게 그때그때 달림 catl이랑 shiift 안눌리는건 뭔 개병신 패치냐? 게임 못하는 병신 패치 1위,2025-06-26 18:14:45
71,False,"유저랑 기싸움하면서 월급은 따박따박 받아먹고, 휴일보장하는 갓 스웨디시 웰메이드 게임",2025-06-25 16:34:30
72,False,버그좀 고쳐라 새끼들아 먼 주미션에 버그가 터져서 못하는게 한두번도 아니고 채권팔시간에 버그 고치는게 더 이득이겠다 시발럼들,2025-06-25 14:19:31
74,True,헬다이버에 합류하라 슈퍼지구는 당신을 필요로한다,2025-06-25 06:40:01
75,True,Good game,2025-06-24 10:10:53
76,True,폭발은 예술이다,2025-06-23 06:21:26
77,True,친구랑 하면 너무 재밌다.,2025-06-23 04:18:09
78,True,준비물 : 슈퍼지구를 구할 의지가 충만하고 두려움이 없으며 포화속에서 살아남아줄 친구 '들',2025-06-23 03:21:56
79,True,폭발이 연출이 아닌게임. 32:9 완벽지원. 4.5만원에 라이트하게 부담없이 즐기기 정말 좋음. 다만 치명적인 단점이 있는데 이것때문에 다른게임이 눈에 안들어온다는 것.,2025-06-22 17:35:08
80,False,Hell.. cpu,2025-06-22 15:00:28
81,True,"저는 [검열 삭제]인데, 이건 스토어 센터에서 제가 가장 좋아하는 제품이에요!",2025-06-21 16:05:22
82,True,팩트는 헬다이버가 우리나라 군인보다 대우가 좋다는거임 ㅋㅋ 여긴 적어도 시민들이 집지키는 개 취급은 안하잖슴~,2025-06-21 01:07:22
84,True,방어구 와 기본 장비 셋팅 프리셋으로 바로 불러올 수 있게끔 하자 ^^ 별 거지 같은 편의성이랍시고 삽질하지 말고,2025-06-20 14:26:20
86,True,세상에 둘도 없는 게임,2025-06-20 02:40:08
91,True,몰입감이 개쩐다 혼자 마이크 끄고 솔플하다가 엄마한테 시끄럽다고 욕먹었다. 민주주의를 위하여,2025-06-18 12:23:33
92,True,[Web발신] 고객님의 상품이 배송 완료되었습니다. 보내는분 : 슈퍼지구 상품명 : 민주주의 인수자(위탁장소) : C드라이브 운송장번호 : 00000000000,2025-06-18 09:03:09
94,True,모두가 재밌어하던 때 하고 접었던 게임 게임의 컨셉도 확실해서 좋았는데 운영이 문제였음 일루미나티 나오고 한 번 해봤는데 아직은 그저 쏘쏘한 느낌,2025-06-17 17:43:24
98,False,뭐하는겜이냐이게 3시간하고 바로환불 내용이없네 데가에 비하면 ㅈ망겜임 할인하면 사라 아니면 스팀게임무료 피시방가서해라 딱 그정도다 노래만 ㅈㄴ웅장함,2025-06-16 17:55:05
99,True,JOiN ThE hELlDiVeRS! 반드시! 결단코!,2025-06-16 14:20:21
