index,recommend,content,datetime
2,True,싸이버 유격훈련,2025-07-16 03:29:52
3,True,"밀치기 기능 있으면 더 재미있을것 같음, 재미있습니다.",2025-07-15 16:50:47
4,True,하 ㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 진짜... 개어려웠음... 그런데 지인들이랑 같이 완등하고 나니까 엄청... 뿌듯하고 기분이 좋았음..,2025-07-15 16:49:01
5,True,4명이서 엔딩까지 달렸는데 갓겜임 꼭사라...,2025-07-15 16:06:02
6,True,내가 떨어지면 누군가 혼자두고 사라져서 슬프고 같이 있던 사람이 떨어져서 안보이면 함께하던 사람이 없어졌다는 느낌에 슬프다,2025-07-15 15:53:18
7,True,절대로 라이온킹 본 사람하고 하지말것,2025-07-15 15:53:10
8,True,왜 자꾸 멈추는지 모르겟슴! 재밌을만하면 멈춰서 강종해야댐 ㅠ,2025-07-15 14:22:58
9,True,멀미나요 토하기 직전,2025-07-15 13:35:57
11,False,재미가...없음....,2025-07-15 12:11:03
13,True,아씨 한번만 더 하면 정상 갈거 같은데,2025-07-15 11:29:47
14,True,무야호 그 잡채,2025-07-15 09:33:51
15,True,[h1] 고난의 행군 [/h1] 랜덤으로 생성되는 개같은 지형을 오르는 개같은 게임 동료들과 정상 하나하나 클리어 했을 때 그 느낌은 정말 가슴이 벅차오르지만 혼자 했을 때 이만큼 고독스럽고 현타오는 게임이 따로 없다. 진짜 친구들이랑 해야된다. 혼자하면 정신병걸릴거같고세상이원망스럽고개발자도원망스럽고이걸하면서시간버린내자신이정말원망스러움. 하루마다 초기화되는 랜덤 시드로 하루하루 다른 느낌의 재미를 추구하지만 일부 레벨이 괴랄하기 짝이없다. 3스테이지 알파인: 일정시간마다 랜덤한 방향으로 쳐부는 눈보라는 플레이어가 바람을 막아주는 지형세 몸을 숨겨도 판정 문제인지 디버프가 쌓이는 경우가 있다. 아새끼 대가리 사이즈 문제인지 몰라도 판정이 너무 빡빡해서 불쾌하게 느껴진다. 5스테이지 킬른화산: 이건 산부의과 의사가 받는 거 실수해서 한 번 떨궈져 박살난 본인의 얼굴을 투영한건지 지형이 시발 글리칭에 의존해야 될 때가 존나게 많다. 마지막 스테이지라고 해도 산양새끼마냥 179도 절벽에 매달려서 스테미나 채우는게 맞나 싶다. 그래도 저 두 개는 친구들이랑 하면 극복가능하다. 절대 혼자하지 마.,2025-07-15 08:37:33
16,True,실족사 방지 캠페인,2025-07-15 04:45:19
17,True,난 틀렸어... 날 업고가..,2025-07-15 03:46:09
18,True,https://www.youtube.com/watch?v=0gc_pq3Vwjg&t=4545s 1:15:45 이거만 버그 수정하자,2025-07-14 18:32:56
19,True,친구랑 돈독해지기 좋은 게임,2025-07-14 16:40:39
20,True,멀티로 플레이하는 항아리게임,2025-07-14 15:50:46
