index,recommend,content,datetime
1,True,일단 재밌어요 근데 4만원은 좀..,2025-07-16 02:35:23
2,True,"PUMP IT UP RISE를 해봤는데 학창시절 친구들이랑 오락실에서 뛰던 기억이 자연스럽게 떠오르더라고요. PUMP IT UP 해봤던 분들이라면 한 번쯤 해보면 좋을 것 같습니다. 추억도 떠오르고, 충분히 재밌어요.",2025-07-16 02:23:17
3,True,"게임 베이스가 있으니 재미는 있습니다. 그리고 곡들 저작료까지 생각하면 가격이 부담은 좀 되도 언젠가 할인은 할 테니까 충분히 추천은 할 수 있을 듯 합니다. 지금 이 게임 UI가 가장 큰 논란인데 투박하고 불편한 것도 맞습니다. 이를테면 곡들을 찾기 위해 범주를 바꾸려 하면, 마우스나 방향키로 안되고 Q, E키 같이 뜬금없는 이상한 키를 눌러야 합니다. 화면에 표시가 되어있긴 해서 키 뭐 눌러야 하는지 찾기는 쉽습니다. 그리고 메인 게임UI는, 투박한 게 다 이유가 있더라구요. 설정화면 다들 한번씩 찾아 들어가보셔요. 이 겜, 노트 모양은 물론, 체력바, 판정 표시까지 전부 스킨을 선택하게 되어있습니다. 지금은 하나씩밖에 없고요, 분명 나중에 출시되는 DLC를 사면 추가가 되겠죠. 즉, 지금UI가 꼴보기 싫으면 DLC를 사라 라는 거죠. 뭐 여하튼 겜 자체는 재밌으니까",2025-07-16 01:55:16
4,True,"현재 얼리엑세스와 비슷한 사례로 디맥이랑 이지투온이 있겠네요 디맥은.. 리스펙트는 잘 모르고 리스펙트V나올때.. 탭소닉 볼드 유기하냐!! 하고.. 저 볼드도 샀는데 ㅠㅠ ASIO도 없었고 불통의문제.. 싱크밀림, 이식작인데 왜 얼엑? 이런 의견도 많았고 이지투온이 얼리엑세스때 가장 심각했었죠. 2019부터 질질끌다가 결국 21년에 공개하고 23시59분사태하며.. (저는 그래도 샀습니다 ㅎ) 사실 두 게임의 얼리엑세스보다 현행하는 펌프잇업이 조금 더 나은환경이라고 생각합니다. ASIO부터 시작해서 짜잘하게 신경을 쓴 부분들이 보여요 문제는 이제.. 구린UI는 그럴수 있어요. 이걸 컨셉으로 잡으면 별수 없는거니까? 세세한 불친절함이 보입니다. 메뉴는 왜 Q와 E로 이동 해야하며 패턴들을 6키 컨트롤러(스팀덱같은)로 뭉개버려서 좀 펌프만의 개성이 사라진 느낌 전용 컨트롤러 시연까지 했으면서 왜 같이 팔지 않는건지 컨트롤러 번들에다가 게임을 끼워주면 조금 더 팔리지 않았을까? 싶습니다. 진짜 키보드로 하면 한없이 노잼입니다. 컨트롤러 설정시에 키보드와 혼용해서 쓰면 컨트롤러가 먹통 되는 버그도 있구요 (이거때문에 진짜... 한참을 헤맸습니다 ㅠ) 어차피 얼리엑세스때 이러한 점들을 잡으려고 하는거니 대다수의 유저들은 이러한 점들이 개선 되고 할인될때 구매하겠죠? 그런데 초반에 평가가 박아버리면 복구가 많이 힘들더라구요. 4.49만원정도면 그냥저냥인 가격이라고 생각합니다 곡 볼륨만 따지고보면요. 디테일한 퀄리티는 개선이 필요하다고 봅니다. 컨트롤러로 재밌게 즐기고 있다가 이 패턴을 키보드로 하면? 하고 재미가 없어져서 글 한번 작성해봅니다. 아직은 펌프 유저들한테도 ""같이 스팀펌프 하쉴?"" 하는게 부담스럽긴하네요.",2025-07-16 01:36:02
5,False,얼리액서스지만 너무 미완성이고 약 6개월뒤에 정식출시 한다고 적혀있는데 가능할지 의문임 일부 패턴이 수정된걸로 확인 되는데 수정이 안된 버전의 패턴도 같이 넣어줬으면 하는 바램이 있음 가정용 발판으로 돌아보고 싶음 은근 이상한 곳에서 아케이드 고증이 지켜져 있는게 확인됨 여래아 13렙 배속 기믹은 그대로 들어가 있음 아무튼 지금 당장 사는거는 비추함,2025-07-15 22:09:33
6,False,펌프M이 그립다~ 플레이 영상보고 기대치를 최대한 낮췄는데 ㅋㅋㅋ,2025-07-15 19:28:29
7,True,"1) 지금 필요하다 생각되는 사항들 1. 미스 시 로우패스 걸리는 효과를 켜고 끌 수 있으면 좋겠습니다. 고레벨 노미스를 노리는 입장에서는 판단이 쉬워 좋겠지만 편하게 게임하는 입장에서는 거슬리는 부분이 있습니다. 2. 기본 오프셋이 오프셋 설정 가능 범위에 비해서 상당히 어긋나있습니다. 판정 타이밍을 최소치인 -30까지 끌어써야 겨우 맞는 수준입니다. 판정을 재조정 하거나 오프셋 최대/최소 범위를 늘리는 등의 방안이 필요하다 생각합니다. 2) 있으면 좋겠다고 생각되는 부분들 3. 카테고리 선택 시 Q/E 고정보다는 양쪽 쉬프트가 더 편할 것 같습니다. 기존 아케이드를 의식해서인지 기본 싱글 배치의 빨간 발판 위치를 택한 것 같은데 PC 리듬게임이라는 특성 상 유저들에게 익숙하지 않습니다. 4. 잠겨있는 곡의 해금조건을 알 수 있었으면 좋겠습니다. ""레벨을 올려 곡을 해금하세요""는 조금 불친절한 것 같습니다. 5. 잠겨있는 곡이 아닌 현재 플레이 가능한 곡들만 모여있는 Playable 같은 카테고리도 있었으면 좋겠습니다. 현재 어떤 곡을 플레이 할 수 있는지 모아 볼 수 있으면 게임 중 더 편할 것 같습니다. 6. 마우스 조작이 있으면 좋겠습니다. 최소한 마우스 휠로 선곡 목록을 돌아볼 수 있으면 좋겠습니다. 7. 빠른 재시작 키가 있으면 좋겠습니다. 리듬게임 플레이어로써 있으면 굉장히 좋은 편의 기능입니다. 8. 기존 아케이드에 있던 리믹스/풀송/숏컷 악곡의 추가도 추후 있으면 좋겠습니다. 적어도 업데이트마다 한 시리즈에 있는 정도로 차후에 플레이 할 수 있다면 좋겠습니다. 이상 챌린지 모드를 전부 클리어 하고 디비전 모드 몇 판 플레이 해본 소감입니다. 참고 해주시면 감사하겠습니다.",2025-07-15 18:40:58
8,False,키보드로 하니까 터치 버그가 있네요 판정버그 도 있고 버그 고쳐주세요,2025-07-15 18:17:47
9,True,펌프 수록곡들을 아케이드가 아닌 집에서 할 수 있는 메리트가 있고 여러 입력장치 환경에 맞추기 위해 바뀐 채보들은 다소 위화감이 있긴 한데 하다보면 꽤 재밌음 다른것보다 펌프 모바일 처음 나왔을때 생각하면 진짜 라이즈가 오조억배 나음,2025-07-15 17:45:36
10,True,"확실히 UI는 조금 그렇긴 함.. 그래도 얼엑인 만큼 발전 가능성이 있을 것이라고 믿고 있고(제발), 게임 재미 자체는 본가에서 느끼던 것 그대로 즐길 수 있어서 만족스럽게 플레이하고 있습니다.",2025-07-15 16:58:09
11,True,"아케이드에서 했었던 옛정 생각해서 그냥 구입했고 긍정은 주겠다만 얼액 게임이 다 그렇긴해도 첫인상은 실망이 약간 더 큼. 게임 처음 들어갔을 때 감상은 다른 리듬게임들 스팀 출시할 때마다 느꼈던거지만 그냥 ""아 왔어요? 이런거 할줄아시죠?"" 식으로 던져놓은 느낌을 역시나 이번에도 받았음. 마치 다른 리듬게임의(특히 아케이드) 불친절한 진행 방식에 익숙해진 유저들이 알아서 잘 찾아서 하니까 '뭐 이번에도 알아서 잘 하겠지?' 하고 안내데스크를 안 만들어버린것같은 느낌임. PC게임이 아니라 게임하는법을 게임 밖에서 배워와야하는 오락실 게임 같음. 그래서 펌프 시리즈 처음 접하는 유저들은 감잡기 꽤 어려울 듯함. 얼리액세스라고 거창하게 말해도 까놓고말해서 미완성 게임 돈받고 팔고싶은거 모르는거아니고 다른 게임들도 다 하는짓거리니까 그냥 속아준 셈치고 샀긴 했는데 그걸 감안해도 당장 이건 아니다싶은게 몇가지 있음. [h2]빠르게 개선해야한다고 느낀 부분[/h2] [b]인터페이스 [/b] 진짜 어쩌자는건지 감이 안 잡힘. 마우스를 못쓰게 한건 백번양보해서 그렇다 쳐도 도데체 메뉴를 F1으로 여는 건 어느 프로그램에서 이렇게 하는건지 처음 보는 초식임. 그리고 노트 상승하는걸 다른 리듬게임처럼 낙하방식으로 바꾸는거 찾는 사람 많을 텐데, 그게 ‘DIRECTION’ 옵션인것도 직관성 떨어진다고 생각함. '브레이크 타임'은 왜 최근 플레이기록 확인이나 BGA 감상 메뉴인지 이유를 모르겠고, 왜 챌린지 모드에서 아마추어 이상 찍어야 열리는지도 모르겠는데 설명조차도 없음. [b]클리어 여부/점수 저장 [/b] 분명 곡을 클리어했는데 클리어 마크도 안 보이고 점수 저장이 지금 안되는건지 내가 못찾았은건지 모르겠지만 어느쪽이든 리듬게임에서 이게 바로 안 보인다는 건 말이 안됨. [h3][u]최소 이 두 가지는 얼액이고뭐고 빠르게 개선했으면함.[/u][/h3] [h2]차차 개선됐으면 하는 부분[/h2] [b]가격 정책[/b] 다른 스팀 리듬게임들처럼 DLC로 곡 팔 생각이면 본편 가격 제발 신경썼으면 좋겠음. 정가 45,000원은 이미 발매해버렸으니 어쩔수없다쳐도 얼액끝나면 인상 계획 있다는것도 좀... 지금 출시 할인해서 4천원 할인받은 가격도 솔직히 숨막히는데 나중에 DLC 주렁주렁 많아지면 더 어지러워짐. [b]게임 난이도 자체 [/b] 채보난이도 말하는게 아님. 게임자체의 난이도가 매운느낌임. 노트 몇개만 흘려도 게이지 우수수 떨어지는데 노트 상승방식이 안익숙한것과 시너지 일으켜서 굉장히 어렵게 느껴짐. 게이지 얘기가 나온김에, 게이지 표시도 오락실용 펌프 기반이라 그런지 게이지 다 떨어진 것처럼 보여도 게임오버 바로 안 뜨는 구조도 직관적이지 않음. 아케이드에서 할때도 이해 안 됐는데 이걸 개선한다면 좋을거같음. 또한 이 게임의 근본은 발판게임이지만 결국 스팀 런칭이면 절대다수가 키보드로 하는 유저일텐데, 발판유저와의 간극을 어떻게 메꿀 건지도 궁금함. [b]K-POP 수록[/b] 이건 개인적인 욕심이긴 하지만, 라이센스 문제를 극복 가능하다면 과거 유행했던 K-POP도 넣어줬으면 좋겠음. 친구들이랑 오락실가서 펌프하면 다 빅뱅노래 카라노래 EXID 위아래 등등 그시절 유행하던 노래들 같이 재밌게 플레이해봤던 기억이 있을것임. [h2]좋았던 점[/h2] 그래도 인게임 실제 연주 화면 자체는 생각보다 잘 만들었음. 이러니저러니 해도 리듬게임은 결국 연주하는부분이 주로 평가받는법인데, 일부 곡 BGA가 눈아프게 번쩍이는게 너무 많다는걸 제외하면 이부분만큼은 아주 양호함. 유니티 기반이라 프레임 드랍 걱정했지만, 4K 120fps로 한 시간 약간 넘게 플레이했는데도 다행히 그런건 전혀 안느껴졌음. 싱크밀림이나 판정 튀는현상도 없었고, 최적화는 아주 양호함. 다른 스팀 리듬게임들 처음나올때 이런 이슈 많아서 부정적인 인상 생겼던거 생각하면 최적화 부분에서만큼은 아주 좋음. 사실 위의 부정적인 인상때문에 굳이 리뷰 안 쓰려다가, 인게임이 생각보다 부드럽게 잘 돌아가는게 맘에들어서 시간 내서 리뷰 썼음. 인터페이스나 게임난이도 조정같은건 싱크밀림이나 프레임드랍 고치는것마냥 기술적으로 까다로운 문제도 아니라서, 개발진이 소통 잘하고 성실하게 개선해나간다면 충분히 좋은 게임이 될것이라고 봄. [i]이 리뷰는 어디까지나 개인적인 관점에서 쓴 거라 틀린 부분도 있을 수 있음. 재미로만 봐주시고, 구매 고민 중이라면 본 리뷰보다는 다양한 유저 리뷰 참고하시길 추천함. [/i]",2025-07-15 16:36:03
12,True,4만원 처음에는 부담된다고 생각해보니 해보니까 4만원값 한다고 생각합니다. 10키 더블모드랑 온라인으로 다같이 할 수 있는 기능이 생기면 좋을 것 같습니다. 다만 롱노트 판정이 단노트 판정이랑 차이가 좀 난다는 것이 아쉽습니다. 여러모로 처음 생각보다 더 재밌게 했다고 생각합니다.,2025-07-15 16:21:34
13,True,풀더블이랑 온라인만 나오면 될듯,2025-07-15 15:52:08
