,index,recommend,content,datetime
0,1,True,일하랬더니 잠을쳐자노 일 다 못했으면 다하고자라고,2025-07-16 01:20:02
1,2,True,애 아빠가 애 재우고 5시간 밖에 못자는데 하고 있음.,2025-07-15 14:51:43
2,3,True,진짜 갓겜임 진짜로 퀄리티 장난 아니고 팰 잡는 맛이 진짜로 개 맛있다 꼭 해보셈,2025-07-15 12:00:25
5,6,True,팰들이귀엽다,2025-07-15 08:10:52
6,7,True,재밌었음 온갖 게임을 짬뽕 해놓은 느낌이랄까 이것저것 다 있어서 재밌는 것 같음 스토리는 개뿔 아직 아무것도 없는데 그냥 이것저것 다 있어서 바쁨 개인적으로는 새로운 거점 만들 때 지지대 건축하는게 재밌었음 이 게임 유일하게 짜증났던 점은 쿠룰리스? 수집임 스펙업 요소중에 쿠룰리스? 조각상같은거 모으는게 있는데 이건 그냥 30~40개 모았으면 안하는게 건강에 좋을 듯 함 위쳐나 어크 맵표시 지우는 맛으로 하곤 했었는데 이건 맵 지형이 그지같은 산골짜기가 겁나 많아서 찾는데도 짜증만 남 찾아도 '이딴 곳에 있었네 배치한 놈 제정신인가' 생각밖에 안듬 -게임에 탈것이 있어서 날아다니면서 찾으면 되지않을까 하고 생각하는건 어리석은 생각임 날것 타고 돌아니다보면 20분 정도 하면 멀미나기 시작해서 실제로 구역질이 남 실제로 모으다가 멀미하고 구역질나서 저녁 굶었음 -모드깔고 지도보면서 모으면 되지않을까 하고 생각하는 것도 어리석은 생각임 걍 표시되어있는 숫자만 봐도 토가 나옴 대충 검색해보니까 총 4백개 언저리 있다고 하는데 업적이 300개인데도 50개만 모아도 토나옴 -모드깔고 몇 개 모으다가 해당지역에 가도 안보이고 10분 20분 찾아봐도 안보여서 검색해보니까 실제로 모드 아니면 들어갈 수 도 없는 곳에 배치되어 있는 게 몇 개 있다고 함 이 게임 쿠룰리스 저거 수집만 시작 안했으면 기분좋게 끝내고 다음 패치때 왔을텐데 ㅅㅂ 저게 다 망침,2025-07-15 08:02:52
8,9,True,건의합니다. 팻 작업 광석및 지속적으로 심부름 기능 가방 최대 400칸 기능및 넣주세요. 팻당 400칸 개인 기능 필요합니다.. 건물및 크기 고층빌딩및 비슷하게 제한없서지면좋겠습니다..,2025-07-14 04:21:39
9,10,True,멀티하면 개꿀잼,2025-07-13 23:50:02
10,11,True,마호 으흐흐,2025-07-13 19:12:52
11,12,True,짭캣몬이라 했지만 잘 쓰까놓은 마라탕,2025-07-13 13:57:49
12,13,False,노잼 단순 노동 재밌을 줄 알고 삿는데 별로 노잼,2025-07-13 13:03:34
13,14,True,신규 컨텐츠 빨리 내놔!!!!!!!!,2025-07-13 09:45:16
14,15,True,zzzzzzzzzzzzzzz,2025-07-13 09:26:24
15,16,True,왠진 모르겠으나 저장에서 오류가 계속 발생함 친구와 같이 멀티로 즐길 사람들은 백업 데이터 항상 어딘가에 다운해놔야 하고 만약 안해놓는다면 그날 해놓은 모든 게 날아가고 다시 캐릭 커마를 하고 있는 날 발견할 수 있음 게임 초반은 할게 많아서 즐겁게 할 수 있으나 결국 노가다로 들어가는 순간 시간을 계속 박아야 한다는게 단점,2025-07-12 17:00:29
17,18,True,친구랑 하기 좋음,2025-07-12 12:56:06
18,19,True,꾸준한 업데이트로 새롭게 접하는 것도 많아졌고 오픈베타 시기 때 부터 재밌게 즐겨왔습니다 포켓몬 쪽 좋아하시는 분들이면 재밌게 할 수 있을거 같아요,2025-07-12 10:00:07
19,20,True,"마크, 포켓몬, 젤다를 합친것같지만 팔월드만에 매력이 있음. 최근에 손가락 부러졌는데 이 게임은 꼭함 ㅋㅋㅋ",2025-07-12 08:43:40
20,21,True,절대 모드에서 성인태그를 포함하고 검색하지마.,2025-07-12 06:18:10
21,22,True,"게임패스에서 열심히 하다가 스팀에서 다시 하는 중인데, 이 게임 개쩔어요. 진짜 재밌는 게임 오랜만임ㅋㅋㅋ",2025-07-12 05:41:59
23,24,True,스팀에서 처음 산 게임인데 한번 빠지면 못나오니까 조절 잘하셈,2025-07-11 15:39:56
24,25,True,도로롱아 미안하다..,2025-07-11 14:31:15
25,26,True,너무재밌음 업데이트를해서도 재밌고_ 항상 도르마무마냥 1랩부터 다시키워도 존잼... 한달만에 300시간넘게 해버림... 재밌어요 강추..!,2025-07-11 14:19:12
26,27,True,난 포켓몬이 이렇게 PC로 나오길 바랬어... 디자인들이 대놓고 베낀거같아서 그냥 웃김,2025-07-11 13:13:53
27,28,True,재미있습니다,2025-07-10 20:06:22
28,29,True,업데이트가 꾸준해서 좋음,2025-07-10 16:14:42
