index,recommend,content,datetime
1,True,진짜 졸라 재밌음,2025-07-16 05:13:41
2,False,게임 서버를 개 조져놓은 흔한 망겜 유튜브아니었으면 이미 진작에 없어졌을 게임,2025-07-16 02:38:17
5,True,빵쿠르트 내 더블점프 먹지말라고,2025-07-15 13:45:27
7,True,진짜 재밌어요,2025-07-15 13:10:14
9,True,good game,2025-07-15 11:36:10
10,True,아가리 쩌어어어억,2025-07-15 07:48:25
11,True,아이템 모으는 맛이 있음 애들 성장하는 거 보는게 매우 즐거움,2025-07-15 03:50:37
12,True,겜알못친구들과도 하기 좋은 게임,2025-07-15 02:36:11
13,True,모드를 깔아서 하면 더 재미있고 친구들이랑 할거없을때 시간 때우기 용 으로 좋음,2025-07-14 16:16:22
14,True,찐따면 사지마라,2025-07-14 16:14:52
15,True,오픈 채팅방 들어가서 디코방 사람들이랑 해보세요 진짜 재미있어요.. 공개방에 KR 해두고 공개방 모집해도 제미 있습니다,2025-07-14 15:40:32
16,True,"혼자 하면 공포겜, 셋 이상이 하면 스파링 겜",2025-07-14 13:23:52
18,True,리썰 상위호환,2025-07-14 10:10:39
19,True,도자기 (였던 것) 컴퓨터 (였던 것) 접시 (였던 것) 피아노 (였던 것) 슈거글라스가 너네보다 튼튼하겠어,2025-07-14 04:26:42
20,True,친구랑 같이하면 재밌고 혼자하면 ㄹㅇ 공포겜 됨,2025-07-14 00:01:51
21,True,같이 할 친구는 없지만 혼자서도 재미있어요........,2025-07-13 17:16:54
22,True,설치하고 그자리에서 친구들이랑 4시간 이상 박아버림;; ㅈㄴ재밌음 친구들이랑 소통하면서 놀고 공포게임요소가 가끔튀어나오는게 ㅈ잼,2025-07-13 13:13:50
24,True,친구랑 할때 중요한 점은 내가 물건을 들고있음을 어필하는것이다 내 친구를 도자기로 만들어 버릴순 없기 때문,2025-07-13 09:49:19
26,True,2025년 최고의선택.,2025-07-13 08:08:29
27,True,무서운데 재밌는데 또 많이 싸우는 게임,2025-07-13 07:54:25
30,True,경주년 대가리 들고 살리는게임,2025-07-13 06:40:17
31,True,패치이후로 핑이 200이상 나옵니다....,2025-07-13 06:39:46
33,True,이게 짜릿해요 느껴보세요 ㅋㅋ,2025-07-13 05:46:32
34,True,일단 친구들이랑 하면 재미있음,2025-07-13 05:15:48
35,True,앞으로도 이대로만 갔으면 좋겠음 게임 진짜 개잘만들었다ㅋㅋㅋㅋ,2025-07-13 04:48:05
36,True,친구랑 할 때 재밌는 게임 혼자하면 그냥 폐지줍는 게임 그래도 할만함 무섭진 않음 그래서 더 좋은듯,2025-07-13 01:39:38
37,True,very good,2025-07-13 01:23:14
38,True,어이 거기 김씨 그만 떠들고 일로와서 이거 같이 좀 옮겨.,2025-07-13 00:11:16
40,True,003210032032023030320231651610230,2025-07-12 15:52:03
41,True,깽그랑! -2500$,2025-07-12 15:44:58
43,True,와장창 쨍그랑 아시발,2025-07-12 13:55:41
44,True,공포게임 주제에 캐릭터가 귀여워서 친구 보고 힐링되는 게임 강해지면 배틀물 됨 공포게임 중에선 제일 오래 했음... 재밌음...,2025-07-12 11:59:48
