index,recommend,content,datetime
1,True,내 인생을 아서에게 갈아 넣었다.,2025-07-16 04:32:12
2,True,약 133시간동안 내 세상은 오직 레데리였다. 강추. 다른말이 필요없음,2025-07-16 04:03:38
6,True,분명 1시간 할려했는데 10시간 해버렸습니다,2025-07-15 12:16:17
7,True,락스타 겜은 무조건 하지 ㅅㅅ,2025-07-15 11:39:18
8,True,퀄리티 ㅈㄴ좋음,2025-07-15 11:30:33
9,True,아서 모건 의를 위해 굶주리 목마른 자는 복이 있나니,2025-07-15 11:10:11
11,True,와우 인생게임,2025-07-15 06:20:15
12,True,인성테스트 게임,2025-07-14 16:29:06
13,True,핵쟁이들땜에 온라인 계속팅기는거아니면 재밌음,2025-07-14 13:06:29
14,True,"최곱니다. 그래픽, 스토리, 자유도, 캐릭터의 매력...어느 하나 빠지는 게 없는 명작이에요.",2025-07-14 12:57:45
15,True,시간 살살 녹는다잉,2025-07-14 12:36:47
16,True,나는 분명히 30분만에 챕터1 다 한거같은데 시계를 보니 세시간이 지나있다.,2025-07-14 08:36:04
19,True,광광우럭따,2025-07-13 15:29:10
20,True,아서 죽지마ㅠㅠㅠ,2025-07-13 14:59:48
22,False,처음엔 재밌게했으나 나중엔 그냥 결말보려고 함,2025-07-13 12:48:39
23,True,★★★★★,2025-07-13 12:23:17
25,True,"""That's The Way It Is""",2025-07-13 10:11:08
26,True,인생 최고의 게임,2025-07-13 08:20:30
28,True,이 게임을 한 기억을 없애고 다시 하고싶다,2025-07-13 05:59:16
29,True,좀 지루한 부분이 있는데 할만함,2025-07-13 02:13:36
30,True,내 인생 최고의 갓겜,2025-07-12 15:46:45
31,True,명작이라고 부르는건 다 이유가 있다,2025-07-12 15:26:05
32,True,뭐 말이필요합니까,2025-07-12 14:24:37
33,True,인생 최고의 게임 중 하나입니다. 온라인은 좀 하자가 있는 것 같습니다. 싱글 스토리만 생각하고 구매한다면 추천입니다.,2025-07-12 13:35:25
34,True,아서.... 죽지마...,2025-07-12 13:20:04
35,True,Good game,2025-07-12 13:12:55
36,True,서부시대에 직접 들어갔다 나온 느낌 첫 엔딩을 봤을 때 너무 여운이 남아 한동안 아무것도 못했음,2025-07-12 12:16:00
37,True,애터미진 더치 마이카,2025-07-12 10:38:36
38,True,이게임하고 서부시대 뽕차서 한동안 리볼버만 찾음,2025-07-12 08:01:14
39,True,게임이 너무 루즈하고 템포가 느려서 지루함 자꾸 몰입이 되려다가 말아서 못하겠음.. 갓겜 인생겜이라길래 해봤는데 아무래도 사람마다 다른게 맞긴 한듯 그래도 중간중간 재밌게는 함,2025-07-12 07:43:26
41,False,내 기준 레데리2 <<< GTA5,2025-07-12 05:36:09
42,True,4.9/5 명작. 충격적.,2025-07-12 04:36:06
43,True,아서 모건 어디있는거니,2025-07-12 04:27:23
44,True,처음엔 배경이 어색해 웬지모를 거부감 한 10시간정도부터 게임이 자꾸 생각나는 중독성있음,2025-07-12 02:57:06
46,True,"아이 헤브 어 깟 똄 플랜 아서! 남자의 심금을 울리는 갓겜. 사랑했다, 아서 모건...",2025-07-11 16:03:13
47,True,형은 다 계획이 있구나,2025-07-11 10:52:53
48,True,저한테는 gta 5보다 재밌음,2025-07-11 10:25:02
51,True,느릿한 조작때매 멀미로 고생하면서도 너무 재밌어서 엔딩을 본 게임.. 디테일이 상당해서 진짜 그 시대에 살고 있는 기분이 들어요 추천~~~,2025-07-11 05:39:49
52,True,두남자의 인생속 기쁨과 고통을 담은 이야기,2025-07-10 13:11:06
53,True,서부 총잡이의 삶을 직간접적으로 경험을 해볼 수 있음,2025-07-10 12:26:40
54,True,"내 인생게임, 단 이 게임 이후로 게임불감증에 걸려버림",2025-07-09 22:47:05
56,True,온라인 말고 스토리가 진짜임,2025-07-09 17:13:25
59,True,마이카 ㅅㅂ년아,2025-07-09 06:46:41
62,True,락스타 나쁜련들 슬슬 애착생기니깐 죽여버리네.. 돌려내 시발련들아..,2025-07-08 19:45:09
65,True,자유도가 높고 진짜 서부 영화 보는느낌이라 재밌다,2025-07-08 16:51:49
66,True,다른말이 필요없다 그냥 명작.,2025-07-08 12:48:58
69,True,"19세기 후반 GTA입니다. 그래픽, 스토리, 디테일 등 모든 부분이 완벽한 게임입니다. 또한 정가로 주고 사도 절대로 아깝지 않은 게임이죠. 구매 강추드립니다.",2025-07-07 15:19:10
70,True,이건 게임이아니다 영화다 아니 예술작품이다 초갓겜,2025-07-07 13:33:42
71,True,인생 게임..,2025-07-07 12:40:12
