index,recommend,content,datetime
2,True,림보다 좋은 것은 메카뿐이다.,2025-07-02 08:12:42
3,True,"DLC 중에서 가장 많은 콘텐츠가 추가 되었어요. 육아, 다른 인종, 메카를 조종할 수 있으니 DLC를 하나만 산다면 추천해요.",2025-06-27 05:54:18
4,True,림월드 DLC중 가장 잘 뽑힌 DLC,2025-06-23 12:20:35
5,True,이 dlc는 림월드를 즐기는데 있어서 '필수'입니다. 본편만 있어도 재밌긴 하지만 다른건 몰라도 이 dlc는 무조건 구매하세요,2025-06-22 12:14:15
6,True,그냥 6만원짜리 게임이라고 생각하고 처음부터 바이오테크 사세요 대박임,2025-06-13 20:35:41
7,True,퍼리가 있다는거부터 합격입니다.,2025-06-12 19:25:08
11,True,갓갓갓 dlc 본편하고나면 제일 먼저 깔아야 할 dlc,2025-05-15 15:45:25
12,True,2만 7천원으로 하이메이트와 미연시를 해보세요.,2025-02-19 22:42:00
13,True,시간 가는 줄 모르고 하게 됨,2024-12-20 11:08:44
14,True,종족추가와 유전자 추가로 개꿀잼 dlc 다른 dlc랑 해도 좋은 dlc임,2024-11-28 09:07:33
15,True,"림월드 필구 DLC 메카노이드, 유전자 조작 전부 재미도 있고 성능도 ㅈ사기다",2024-10-20 11:44:56
16,True,5일동안 방문하는거면 씨@#발련들아 정신결속 쳐걸고 도망가지 말라고,2024-07-16 09:23:37
18,True,GOAT DLC,2024-07-04 08:54:52
19,True,바텍이랑 이데올로기로 성노예 아기공장 돌린 내가 너무 ㅈ같다,2024-06-23 10:21:14
20,True,일단 지르고 생각할게요,2024-05-27 16:18:33
22,False,방사성 폐기물,2024-05-07 03:02:07
24,True,이거 사서 부부+애기로 시작하면 과몰입 오짐,2024-04-21 04:21:09
26,True,기존 dlc 가격 대비 25% 더 많은 가격으로 dlc 두개 어치의 콘텐츠를 즐겨보세요!,2024-03-12 08:00:13
27,True,쓰레기를 함부로 버리면 안 되는구나!,2024-02-12 04:22:13
28,True,"""너네는 강인함 피의갈망 네안데르탈인 어린이가 곤붕들고 쳐들어봐도 그러러니 해라""",2024-02-02 19:06:54
29,True,돈값은 못하지만.... 만족....한....다,2024-01-21 11:07:40
30,True,림월드 처음할때 적용해도 괜찮을거같을정도로 괜찮은 DLC,2023-12-15 17:14:10
31,True,이게 게임이지~,2023-11-06 12:58:48
32,True,감당 안되면 수송포트로 날리라고 한 평가가 있던데 ... 고맙다.,2023-10-31 18:06:33
33,True,아이를 낳고 감당이 안되면 수송포드에 날려 보내자 발로 코딩했는지 무드 안까임 ㅋㅋ,2023-10-06 13:13:06
34,True,DLC를 산다면 바이오테크는 필수구매,2023-09-28 14:21:24
35,True,오리지널을 즐기려면 같이 기본적으로 사야할 추가컨텐츠. 사실 이거까지 포함해서 오리지날이라고 하는 것이 맞다. 필수.,2023-08-26 09:12:20
36,True,이거 왜삼 ㅋㅋ,2023-08-09 15:40:56
37,True,이 dlc 덕분에 죄수를 임신시킨뒤에 출산한 아이를 길러 제국에 팔아 신임장 수급이 원할해졌어요 가격이 좀 쌘데 알빠노? 컨텐츠 수준도 높고 dlc 2개 분량급임,2023-07-10 09:51:15
38,True,수많은 게임을 갖고있지만 dlc에 평가를 적는건 처음이다. 타이난. 할 수 있었자나!! 너무재밌음.,2023-07-08 03:42:19
40,True,탈것을 내놓던가. 아님 지하나 옥상에서 총좀쏘게 2를 내놓을떄 되지않았나요 젭알.,2023-06-22 21:32:12
41,True,존나 재밌음 다른 디엘씨보다 더 이게 재밌음,2023-05-13 13:03:45
45,True,필수 이제 식량과 노예를 찍어낼수 있음,2023-04-07 20:58:34
46,True,존나 비싼데 일단 샀다 ㅅㅂ,2023-04-04 08:27:08
47,True,포로들은 이제 장기까지 뜯기다 못해 하다하다 유전자와 피 정신까지 뜯기게 됩니다,2023-01-24 18:38:04
49,True,조온나 재밌어요 절대 하세요 벨런스가... 너무 맞고 ^^..... 절대 사세요!! 이상 대깨림 유저였습니다,2022-12-29 11:53:33
51,True,"아이때문에 몰입감이 전보다 강해져서 '이 아이는 살려야한다', '아이가 희망이다' 등등 각오를 했지만 림월드의 현실은 냉정했다.",2022-12-13 09:40:03
52,True,타이난 미친놈아 뭘 만든거야 내 시간 어디갔어요 로봇청소기 그는 신인가? 퍼리 그는 신인가?,2022-12-11 22:46:14
53,True,타이난 그는 신이야,2022-12-03 15:00:51
54,True,내돈울 가져가요!!!!,2022-12-02 20:39:06
55,True,타이난 이 씹새끼 이렇게 만들 수 있는데 지금까지 안만들었다니 괘씸하다... 전지전능 할수있는데 안하는것 신이 원망스러운 거랑 똑같다,2022-11-22 16:39:53
56,True,윤리와 사상 읽을 시간에 습격 하나라도 정착민 한 명이라도 더 살리시죠,2022-11-21 03:26:59
57,True,타이난 그는 신인가?,2022-11-17 19:29:58
58,True,와! 싸이버 뱀파이어! 와! 로봇 청소기!,2022-11-16 03:11:11
59,True,아이의 눈앞에서 부모를 도축해 그 가죽으로 옷을 만들어 아이에게 입혀주는게 가능함,2022-11-13 23:42:33
60,True,아 시간가는줄 모르겠네.,2022-11-04 11:01:11
62,True,알러뷰 타이난 마맨,2022-11-02 11:50:41
63,True,한패가 아직 안댔긴한데 창작마당 번역모드가 상당히 좋다,2022-11-01 17:52:02
64,True,모드의 맛이 느껴지지만 그래도 재밌게 했습니다 뱀파이어 ui만 패치해줬으면 좋겠네요 FU CK ING VAMPIRE UI Patch please,2022-11-01 17:04:54
65,True,솔직히 림월드 계속할거면 이거 사야지 적게 잡아서 500시간만 해도 시간당 54원인데 이걸 안사? 국밥 3그릇 먹을 돈 아껴서 바이오테크 사는게 이득이다,2022-10-31 16:22:40
66,True,야 너네들도 아직도 하고있었냐 ㅋㅋㅋㅋㅋㅋ,2022-10-31 09:46:24
68,True,림 월드 DLC 나오기전에 사서 해온 플레이어인데 다른 DLC는 별로라 안 샀는데 이건 보자마자 기달려서 바로삼 써보니까 꿀맛임 ^^,2022-10-29 14:47:38
69,True,시발 색기들아 빨리 한글화 해주라고.,2022-10-29 10:58:20
70,True,이 게임 그래픽이 조금만 더 발전했어도 타이난은 지금쯤 감옥에서 생활중일지도 모름,2022-10-29 06:52:37
72,True,자고로 '신앙' 이란..!! '신앙'을 잃는것은 죽음을 의미하는 법이며..!!,2022-10-26 03:16:10
73,True,ㅋㅋㅋㅋㅋ 당장 안할건데 일단 샀음,2022-10-26 01:42:44
74,True,"지금 이해가 잘 안 되시나 본데 대형 인기 모드 3개 합본이 호환성, 성능 확실한 공식이라니까?",2022-10-25 21:17:46
75,True,나는 생각이라곤 없는 것일까. 1초의 고민도 없이 구매함.,2022-10-25 07:01:59
76,True,매우 재밌다 림월드에 익숙해진 사람이라면 바로 사는 것을 강추!,2022-10-25 03:35:27
78,True,50몇 메가바이트에 27000원 ㅎㅎ 뭔가 할게 더 많아짐,2022-10-24 05:04:31
79,True,인간은 선택하고 흑우는 구매한다,2022-10-24 03:18:38
80,True,랙이 너무걸리네 DLC 3개나 하고있어서그런가? 뭐때문에 랙이이리걸려,2022-10-24 00:06:10
83,True,이건 뭐 안살수가 없자너~,2022-10-23 14:08:34
84,True,즉 시 구 매,2022-10-23 13:53:49
85,True,타이난 그는 신 입니다.,2022-10-23 11:13:16
93,True,고민을 한다고? 일단 사서 실험해봐야지!,2022-10-22 06:35:38
94,True,응애 나 애기... 다들 왜 그런눈으로 바? 저리가!! 엄마! 살려죠! 이 사람들이 나 대료가!!! 엄마!!!! 그렇게 그 아기의 행방은 묘연해졌다랄까나~,2022-10-22 06:31:11
95,True,타이난께서 다시 머리를 후려치고 계십니다.,2022-10-22 06:09:44
97,True,원래 스팀러는 언어를 몰라도 사는거다.,2022-10-22 05:49:24
99,True,재밌다! 재밌다! 재밌다! 재밌다! 재밌다! 재밌다!,2022-10-22 01:25:18
100,True,우리는 윤리에 얽매이지 않는다.,2022-10-22 00:34:33
