index,recommend,content,datetime
2,True,타이난 그는 신인가?,2025-07-16 03:51:40
3,True,갓겜의 갓DLC임 말도안됨,2025-07-15 17:46:15
4,True,이건 바닐라임,2025-07-15 16:07:08
5,True,타이난 그는 신이야!!!!!,2025-07-15 15:52:45
7,True,"갓 DLC 나왔네~ 지금까지 DLC들이 그지 같았던건 오딧세이를 위한 컨셉바탕이었을 뿐 중세 우주선, 정신병자 우주선, 시체우주선 뭐든 되네",2025-07-15 13:27:28
8,True,어디선가 먹어본 맛들인데 더 깔끔해진 느낌,2025-07-15 13:24:28
9,True,"진짜 림월드 최고의 dlc다. 한 기지 10년쯤 넘어가면 슬슬 질리고 새지구 가고 싶으넫, 10년이 넘어가도 계속 하고 싶을정도로 재밌따 꼭 사라 두번사라",2025-07-15 13:04:10
10,True,일단 사라 게임이 달라진다,2025-07-15 12:18:18
13,True,다 해줬잖아,2025-07-15 08:42:31
16,True,타이난 이 미친 새끼,2025-07-14 18:27:00
17,True,개인적으로 바이오테크 나올 때 보다 더 행복하다.,2025-07-14 11:35:44
18,True,"신은 변방계에 살고잇으며, 그 신의 이름은 타이난이다.",2025-07-14 10:15:58
19,True,낭만 재미 그저 GOAT,2025-07-14 10:08:04
20,True,타이난 씨발롬아 삥좀 그만 뜯어,2025-07-14 09:43:49
21,True,타이난 그는 신인가 타이난 그는 신인가 타이난 그는 신인가 타이난 그는 신인가,2025-07-14 06:31:12
22,False,창작마당 모드들 쓸만한거 다끌어와서 맹글어놓고 27000원 받아먹는 양심에 비추,2025-07-14 05:24:18
23,True,그냥 림월드에 새로운 게임을 만들어놓음,2025-07-14 05:19:13
24,True,"최적화 개선,, 그리고 갓 DLC",2025-07-13 23:54:17
25,True,세상에서 가장 잘 만든 야반도주 시뮬레이터,2025-07-13 23:09:44
26,True,림월드를 사랑하는 사람이라면 안 살 수가 없는 DLC,2025-07-13 19:04:45
27,True,고맙다 타이난!!,2025-07-13 17:06:46
