index,recommend,content,datetime
1,True,항성군주 습격 방어 개빡쏏다... 초대하기 전에 방비 단단히 할껄 메카나이트 보호막 전초기지 씨!@발,2025-07-07 13:13:33
2,True,"마법, 귀족, 메카 전초기지, 새로운 장비들로 충분한 가치를 가졌다",2025-07-04 17:53:18
4,True,낫베드인 dlc 초능력도 재밌고 작위 따내는것도 재밌음,2025-05-15 15:46:05
5,True,마법 너무 재밌음,2025-05-09 19:40:10
6,True,2만원으로 단분자검을 구매해보세요.,2025-02-19 22:41:08
9,True,제국이랑 ㅈ목하는거랑 초능력 쓰는게 재밌는데 메카노이드 전초기지는 좀,2024-10-20 11:45:59
11,True,와! 초능력! 와! 단분자검!,2024-05-21 00:35:59
12,False,방사성 폐기물,2024-05-07 03:01:36
14,True,내 스팀 게임은 200개가 넘으며 이름 있는 게임이 넘쳐흐른다. 하지만 빛을 내는 것은 한가지 밖에 없으니 그것이 타이난이다.,2024-04-22 11:20:39
15,True,노래나 만들어라 그냥,2024-04-12 11:47:22
17,True,바이오테크에 만족했다면 고려해볼만 한 DLC입니다 이거 먼저샀으면 후회했을거 같음,2023-12-15 17:12:33
18,True,This game is trash.,2023-11-06 10:33:26
19,True,전능하신 황제시여,2023-06-10 08:06:26
21,True,단분자검! 단분자검! 단분자검!,2023-05-01 15:18:55
22,False,개인적으로는 별로 신경쓸건 많아지는데 그만큼 효과가 좋냐하면 그건 아닌듯함,2023-04-07 20:54:31
23,True,단분자검 개사기,2023-04-01 14:15:02
24,True,솔직히 컨텐츠 제대로 써본적 없음,2023-01-24 10:35:31
30,True,"제우스 망치, 단분자 검 최고야",2021-08-21 21:33:57
31,True,결속 제우스망치 단분자검 만세,2021-08-14 12:22:06
32,False,씨이이이이이이바ㅏ아아아아아아아라 게임을 몇번을 재설치해도 로열티는 목록에만 뜨고 설치가 안된다 좇같네,2021-08-13 01:38:52
33,True,난 왕이 되고 싶단 말이오 귀족말고!!!..ㅠㅠ,2021-08-04 20:56:26
34,True,게임이 쉬워지는 마법~,2021-07-22 21:14:11
35,True,안 사도 되요. + 2021. 08. 사세요. 유로 DLC 무기로 다음 DLC의 불합리한 습격을 막는데 잘 쓰여요.,2021-07-21 13:54:20
37,True,"추천합니다. 가성비가 좀 안맞아보이는 느낌이 아직까지 남아있긴 하고 뜬금없다 싶은 요소들이 좀 보이지만, 퀘스트 보상 선택지같은 요소들이 게임을 좀 더 다채롭게 만들어줍니다.",2021-07-20 12:47:08
38,True,그냥 호환성확실한 대형모드팩1. 이걸 보니 창작마당에도 유료모드 시스템이 도입되어야한다고 생각함,2021-07-12 08:03:42
40,True,솔직히 말하자면 정말 애매모호한 dlc 근데 점프팩은 못참지,2021-07-06 03:00:22
41,True,새 dlc 나온다고 해서 리뷰 씁니다. 로얄티 200시간 정도 한거 같은데 뭐가 달라진거죠?,2021-07-06 03:00:03
42,True,거터아저씨가 쓰래서 쓰는 리뷰 돈값은 안하는데 그냥사줫다,2021-07-06 02:59:48
43,True,거터 바보,2021-07-06 02:58:30
44,False,다음 DLC가 나온단다. 이거 왜 샀냐?,2021-07-06 02:57:47
45,True,아니 수여식 받는데 왜 수여자가 90살넘는 분이오셔서 신경쇠약걸려고 대채이런분은 왜보내는거여ㅋㅋㅋㅋㅋㅋㅋㅋ,2021-06-30 13:12:40
46,True,"구매할까 고민하는데 걸린 시간 단 ""5분""",2021-05-10 07:12:06
48,False,그러니까 왜 적용이 안되는건데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2021-02-06 11:35:51
49,True,몇몇 컨텐츠 추가 모드들보다 내용물이 그렇데 알차지 않다. 그래도 우주선 한번 날려봤다면 구매하자,2021-01-13 17:28:02
50,True,"일부 조건 미션이 추가되었을 뿐인데, 난이도 급상승! (바닐라 기준) 물론 모드를 이미 해먹을대로 해먹었다면, 그냥 그런가보다.",2021-01-04 11:36:03
51,True,영혼나무랑 음악이 별로임,2021-01-01 05:43:27
54,True,"메카노이드 전초기지, 초능력, 새로운 퀘스트 대거 추가, 점프팩, 아름다운 OST 나는 만족한다.",2020-11-06 13:11:19
56,True,윙가르디움 레비오우사 소파가되어라 아바다케다브라,2020-09-16 10:56:49
57,True,림월드로 몇 백 시간 꿀 빨았으면 이 정도는 질러 줘야한다고 본다. 이상,2020-08-23 06:27:23
58,False,"재미없는 dlc입니다. 모드중에 이걸 요구하는게 많아서 구매하게 되지만, 그게 이 dlc가 재밌어서는 아닙니다.",2020-08-13 04:06:57
59,False,가격에 비해서 컨테츠가 많이 부족한 편;; 별로 추천은 못 할 거 같네요,2020-07-20 12:31:02
60,True,타이난님이 급전이 필요하시다던데 바쳐야지 ㅋㅋ 멍멍꿀꿀,2020-06-28 05:22:23
61,False,추가된 컨텐츠 진짜 줫도없는데 비싸기만함 토탈워좀 보고 배워라 씨ㅡ발,2020-05-23 03:57:36
62,True,니가 와라 하와이!,2020-05-13 09:20:55
64,True,20500원은 비싸게 느껴지지만.. 여전히 재미는 있다는거. 단일 림의 정교한 컨트롤을 더욱 요구함.,2020-04-19 14:54:15
65,True,한글화 팀입니다. 곧 한글화가 완료됩니다. (현재 95%) 본편에도 적어놨지만 이게임을 플레이함으로써 도덕적 가치관이 변할 수 있습니다.,2020-04-18 04:09:25
66,False,귀족 참피 키우기,2020-03-30 04:18:25
67,False,귀족이 이리 혐오스러울수가 혁명이 필요하다,2020-03-19 15:26:31
68,True,타이난 열심히하는건 좋은데 버그테스트는 하고 만들었냐 물른 버그있는거 안다는건 흑우라는 소리입니다,2020-03-17 10:46:38
70,False,그냥 대형모드같음,2020-03-14 12:13:06
72,True,후우...이번만입니다...,2020-03-08 05:04:44
75,True,wa! 용량 32메가! 대박이야!,2020-03-03 05:07:02
76,False,다른 무료 모드들만 깔아도 이것보다는 컨텐츠가 많아보임 아직 많이 부족함,2020-03-02 08:10:06
77,True,썩은물들 행복사,2020-02-29 18:20:54
80,True,"동영상의 셔틀 보고 구매 했는데 왜, 셔틀 개발이 연구에 없어요. 뭐야, 내 셔틀 돌려 줘요.",2020-02-28 06:26:16
81,True,nice contents,2020-02-27 20:52:38
83,True,짐이 호구라서 32MB를 사주지만 다음번에도 이러면 안사겠소 이것은 과인에 대한 모욕이오! 타이난군,2020-02-27 03:43:35
84,False,정으로 사준다,2020-02-26 08:52:15
87,True,앞으로도 좋은 업뎃 기대한다. 2.0 ㄱ,2020-02-25 05:57:14
88,True,ㅋㅋㅋㅋ 이게 나오네 엌ㅋㅋㅋㅋ,2020-02-25 01:29:14
89,True,"뉴비에다 영어라서 잘 모르겠지만, 귀족의 종노릇 한다는건 확실하다. 귀족님의 펫 돌봄서비스 가즈아~",2020-02-24 17:50:55
90,True,왜 갑자기 타이난이 1.1 베타 시작했나 했더니..,2020-02-24 14:21:42
91,True,후.... 타이난이니깐 사준다.,2020-02-24 13:31:17
92,True,타이난이 급전이 필요했나봄 하.... 이번에도 속아준다....,2020-02-24 12:14:49
95,True,일단 사고본다 흡,2020-02-24 10:40:51
96,True,코로나땜에 못 나가는 군인이지만 단 1초의 고민도 없이 산 저는 병신입니다,2020-02-24 10:26:36
97,True,여러분 림월드가 DCL가 나왔어요!! 가격이 중요합니까! 림.월.드. 좋.아,2020-02-24 10:09:02
98,True,안해봤지만 암튼 갓 DLC일거임.,2020-02-24 09:33:46
99,True,이제 DLC도 냈으니 할인도 해줄거라 믿음,2020-02-24 09:25:05
100,True,It's got pretty good with multiple updates.,2020-02-24 09:07:10
