index,recommend,content,datetime
3,True,god game,2025-07-16 03:25:29
4,True,"진짜 적응하기 힘든게임이다. 아무리 유투브 검색해서 해본다해도 정말 힘든게임이다. 추락 말고 알몸 최고 난이도 정말 멘탈 안터지려고 정말 한땀 한땀 전진해가면서 적응해본다 직접해보니 유투브들 무조건 따라하면 망한다...상황에 따라 수동으로 컨트롤해야 한다.. 한순간 멘탈 나가면 끝난다,,문명5 이후로 정말 중독성 있는 게임이다 물론 친절하지 않기 때문에 적응하기 힘들다... 5090 astral 림월드 하려고 산게 아닌데 ㅠㅠ",2025-07-15 18:34:03
5,True,이런 장르 별로 안좋아하는데도 대 꿀 잼 ㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-15 17:41:01
6,True,방금 사서 한 시간 정도 해 봤는데 재밌는 것 같아요,2025-07-15 13:27:30
7,True,잠깐 했는데 벌써 25년이네,2025-07-15 08:41:59
8,True,참 재미있네요,2025-07-15 07:28:51
9,True,가히 스팀에서 내 인생작 반열에 든다고 볼수있다 진짜 자유도가 미쳤음 너무 재밌다,2025-07-15 07:06:23
11,True,키자마자 16시간 그냥 달림.. 악마의 게임이다,2025-07-15 03:58:23
13,True,살까말까 매일 고민하다가 지른 게임. 후회 없고 너무 재밌다. 자고 일어나도 하고 싶은 게임이 요새 없었는데 오랜만에 찾아서 너무 즐겁고 빨리 퇴근하구 자기 전까지 하고 싶다....!!!! 최근 스트리머들이 하기 전에두 고민했는데 하는 거 보니 더 하고 싶어진듯. 미친 갓겜 이제야 알아봐서 미안해...,2025-07-15 00:41:18
14,True,야요야요야요야요 야!요! 고주스로 가버렸 이히ㅣㅣㅣ히히ㅣㅣ히ㅣㅣㅣ,2025-07-14 19:49:19
15,True,창작 마당 모드들이 이게임 1000배 재미있게 할수있게 만듬 강추 합니다,2025-07-14 17:25:31
16,True,DLC를 구매하지 않고 900시간 동안 본편만 플레이 하여 타이난에게 경제보복을 성공적으로 이뤄냈음을 알리세요!,2025-07-14 16:33:07
17,True,"높은 자유도, 확장성 높은 모드들, 지속적인 DLC(?) 업데이트 서사시 생성기 좋아요",2025-07-14 14:06:06
18,True,고민하면 늦어요 바로 시작하십쇼!,2025-07-14 10:33:03
19,True,좀보이드에서 넘어왔습니다 잠깐 해보려고했는데 하루만에 20시간찍었네 아나 혹시 좀보이드냐 림월드냐 하시는분은 그냥 림월드사세요 이것도 만시간넘게 할게같음. 꼭하셈,2025-07-14 08:59:17
20,True,이야기 시뮬레이터,2025-07-14 05:45:09
