index,recommend,content,datetime
2,True,갓 고인물겜,2025-07-15 19:42:17
4,True,아오 하루만 늦게 구매할걸 재밌어보여서 구매하니 다음날 바로 할인때리네 ㅅㅂ,2025-07-15 13:45:44
5,True,일단 근무시간보단 많이함,2025-07-15 06:25:51
6,True,시간이 많으면 하세요.,2025-07-14 18:20:50
7,True,정말 재밌는게임 흔히 '공장'겜을 처음해봤는데 미친듯이 달렸네요 2회차 요소가 없는게 아쉬울정도로 재밌습니다 진짜 강추...,2025-07-14 06:03:26
10,True,젠장대체이공장겜은뭐냐완전3D팩토리오잖냐!!!!!!!!!!!!!!,2025-07-12 07:51:37
11,True,이제 좀 공장 만들 준비가 된것같네요 강추,2025-07-11 13:28:26
12,True,이제야 튜토리얼끝낸기분,2025-07-09 18:34:12
13,True,인생 갓겜,2025-07-08 14:38:11
15,True,아. 성적 평가 못했다,2025-07-07 06:23:26
16,True,대학원생 필수 게임,2025-07-06 14:39:23
17,True,갓게임 개꿀잼임,2025-07-06 13:31:20
19,True,스파게티 공장으로 클리어를 했는데 번듯한 공장이 짓고싶다.,2025-07-05 06:07:21
20,True,같이할사람이업서요,2025-07-04 17:22:23
21,True,시간 잡아먹는괴물,2025-07-04 09:03:11
22,True,장점 : 시간이 잘감 단점 : 시간이 잘감,2025-07-03 12:22:51
24,True,친구들이랑 하셈,2025-07-02 13:45:46
26,True,이 게임 아직 별로 많이 안했지만 재미있어요!,2025-07-02 11:39:36
27,True,초미래 장비와 원시인의 설계,2025-07-02 10:00:50
29,True,쉽지않다 공장장이의 길,2025-07-01 02:05:21
31,True,모든걸 다 뜯어내고 새로 만들 각오만 있다면 뭐든 만들 수 있는게임 난 그 각오가 모자라서 지금 죽겠음,2025-06-30 15:42:38
32,True,0000000000000000000000000000,2025-06-30 13:16:27
33,True,너무 재밌어요 같이할사람,2025-06-30 12:07:13
34,True,자동화 오픈월드중에 최고의 게임입니다!!! 후회 안합니다,2025-06-30 11:44:09
