index,recommend,content,datetime
1,False,장기예프 씨발 어매뒤짐?,2025-07-13 10:21:15
2,True,컴까기만 해도 재밌음 워낙 튜토리얼도 잘 되어있어서 격겜 모르는 사람도 쉽게 입문 가능,2025-07-13 06:51:19
3,True,춘리는 언제쯤 안이쁠까,2025-07-12 13:12:41
5,False,글카 바꾸고 다른거 다되는데 이겜만 실행이 안됨,2025-07-08 13:44:16
6,True,재미있어요. 하지만 나이먹고 떨어진 반응속도 때문에 남들처럼 대시 연속이 넣는 건 너무 어렵네요. ㅋ 가끔 메세지로 욕하는 짱깨색끼들 개팬다.,2025-07-06 10:09:28
7,True,컴까기만 하는데 잼슴,2025-07-04 07:20:24
8,True,늙인이도 할수 있는 모던 개꿀잼,2025-07-03 08:18:00
9,True,취향만 맞으면 인생게임임 강추합니다. 이기고 지는것은 운도 따르니 너무 억까라고 생각하지 말고 즐겜 !!!,2025-07-03 07:20:43
10,True,"매칭 ㄱ잘잡힘 , 티어 ㄱ빠르게 올라감 격겜 하면서 시간 삭제 당한건 처음이였음 모던 장기에프 ㄱ같음 하는 놈들 게이",2025-07-03 07:06:29
11,True,역사상 최고의 격투게임 GOAT,2025-07-01 13:34:09
12,True,캐릭터 이속은 겁나 느릿느릿한데 겜 템포는 개빠르다 기술들이 빨리 나가서 그런가 모던 때문에 격겜치고 입문하기는 쉽지만 역시 잘해지기는 어렵긴 함 ㅋㅋ,2025-06-27 15:30:17
13,True,내가 왜 환불했지,2025-06-26 11:35:10
14,False,찍기의 대중화 !! 전작과 차별화된 무뇌한 공격루트는 사람을 환장하게 만든다 초보는 고수를 이겨선안돼 !!,2025-06-26 03:08:08
16,False,"이것도 얼마 안 남은 것 같음 재미는 있는데 자꾸 옆 집의 향기가 느껴지는 건 기분탓인가 곧 나란히 길을 묵묵히 걸어갈 것 같어,,,",2025-06-24 21:46:36
18,False,솔직히 거의 다 좋은것 같은데 키보드 한개로 1p 2p 키 설정해서 할수없는게 너무 아쉬웠던것 같습니다 시스템 추가 꼭 부탁드립니다,2025-06-23 07:16:03
