index,recommend,content,datetime
1,True,시간낭비가 컨텐츤데 돈쓰면 시간낭비를 못함,2024-01-20 12:25:23
2,True,good~,2022-11-17 01:41:49
3,False,계정을 한번 잃어버리면 찾을방도가 없음;,2022-04-18 05:28:51
6,True,난 오버워치보다 이게 재미있음.,2017-02-28 04:13:31
7,True,심각한 노가다에 그만 정신을 잃고 다시금 정신을 차려보니..,2017-02-27 22:00:25
9,True,평가를 해봅세 이게임은 팀포와 비슷하다 왜냐하면 노가다를하면 엄청난 시간을 낭비하게된다 질릴려면 300시간은해야된다,2017-02-27 02:23:10
10,True,적군 몸이 쪼개질때 나는 소리가 무지 찰짐ㅋㅋ 그것덕에 할맛난다,2017-02-26 15:29:05
11,True,필자는 3D멀미때문에 워프를 접었지만 그런 멀미 없는 분들에게는 인생노가다슈퍼겜 현질 노필요,2017-02-26 05:37:31
12,True,다른사람들에 비해 얼마 안하긴 했지만 정말 재밌는게임 입니다. 모든 rpg게임이 그런듯 노가다가 지루할뿐,2017-02-25 15:40:14
13,True,그래픽은 이미 무료를 뛰어넘었고 적당한 노가다가 있는 게임이다. 이겜은 팀포만큼 재밌다.,2017-02-24 05:25:33
14,True,재.밌.다,2017-02-23 18:26:49
15,False,재밌으나 조작법이어려움,2017-02-23 09:47:04
19,False,로그인 오류 씹오지네,2017-02-22 05:37:13
20,True,많은 시간을 투자하지는 못했지만 재밌어여.,2017-02-21 15:46:03
21,True,this game is wonderful amazing super good god game,2017-02-21 13:36:40
23,False,처음에 워프레임좀 바꿨으면 좋을텐데,2017-02-21 02:54:50
24,True,꽤 재미있는...그리고 한국 게임들을 오징어로 보이게 할 정도의 부분 유료 게임입니다.,2017-02-20 18:59:15
25,False,사이버 펑크 두덕리 온라인...,2017-02-20 15:48:14
26,True,제작 시간으로 고통받긴 했지만 왠만한 템들은 제작가능 하다는 점이 좋습니다,2017-02-20 13:56:46
27,True,목 여드름 극혐,2017-02-20 08:16:32
29,True,ㅋㅋㅋㅋ 이 텐노들은 무료로 해줍니다.,2017-02-19 17:18:29
32,True,이야ㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑㅑ 플래티넘을 질러라!!!!!!!!!!,2017-02-19 07:25:20
33,True,노가다기모띠,2017-02-18 10:50:13
34,True,때리는거 개시원,2017-02-18 09:34:21
35,True,게임이 점점 발전하는 게 느껴진다 가볍게 플레이하기 좋은 게임,2017-02-16 17:32:20
37,True,이게임을 하다가 다른게임 하면 아 캐릭터 왜캐느림? 이럴껍니다 ㅇㅅ...,2017-02-15 08:44:19
38,True,"스페이스 마미와 세팔론, 그리고 우주해적 텐노의 스페이스 모험",2017-02-15 07:01:19
39,True,재미 보려면 시점에 적응해야함,2017-02-15 02:42:39
40,True,api.warframe.com 사이트는 Steam이나 Valve와 연계되게해주새요,2017-02-14 17:27:19
41,True,서든2와 비교해보세요 이건 갓겜 대신 노가다성짙고 스토리부족한건 흠,2017-02-14 04:51:48
42,True,몽환적인 게임 재미는있지만 현질유도가심한게임,2017-02-13 06:50:43
43,True,아주 재밌습니다,2017-02-12 14:37:41
46,True,이게임은 할말이없습니다 그저너무재미있습니다 제인생의 게임중 최고의게임입니다,2017-02-10 11:29:22
47,True,굳 재밌어욤!!,2017-02-10 08:28:03
48,False,일단 게임이 엄청 불친절하고 인터페이스도 드럽고 난잡함 디아블로3도 한수접고 들어가는 미친운빨노가다게임임,2017-02-08 03:44:21
50,True,이 텐노들은 무료로 해줍니다.,2017-02-05 20:17:57
52,True,최고의 그래픽 컨텐츠 모두 완벽합니다,2017-02-05 02:08:44
58,True,개꾸르잼ㄴ,2017-02-03 03:14:03
59,True,정말 잘 만든게임,2017-02-02 18:41:14
60,True,취향만 맞으면 정말 재밌는 워프레임~,2017-02-02 12:53:31
61,False,내가아무리 닌자액션을좋아해도 이건 나개알던 닌자가아니야......,2017-02-02 12:17:50
64,False,정으로 하던 게임인데 워위딘 이후로 정떨어짐,2017-02-02 03:52:31
66,False,쪼금 해봤는데 재미없음,2017-02-01 05:49:35
67,True,과금하면 편하다,2017-01-31 08:35:56
