,index,recommend,content,datetime
0,1,True,수직동기화 버그 너무 힘드네요,2025-07-07 03:14:23
1,2,False,구간마다 자동저장됨 수동 저장 불가능 스토리 개씹짜침 전작들의 사지절단 하는 맛이 없음 노드 시스템이 없으니 뭔가 성장한다는 느낌이 없음 노잼임,2025-06-29 10:30:45
2,3,False,버그 ㅈ망겜,2025-05-13 11:24:58
3,4,True,플레이중에 계속 버벅거린다면 그래픽카드 제어판(Nvidia 또는 AMD)에서 데드스페이스3 의 수직동기화를 켜고 인게임내의 그래픽설정에서는 수직동기화를 끄셈.,2025-05-08 00:37:56
4,5,True,데드 스페이스란 이름이 아니였다면 엄청난 호평을 받았을 게임 몇몇 구간 말고는 충분히 코옵으로 재밌게 플레이 할만함 스토리 큰틀은 그럭저럭 괜찮은데 그걸 풀어나가는게 엉망임 무기가 제작으로 바뀌는건 나쁘지 않은거 같은데 자원이 너무 적어서 막상 스토리밀때는 몇종류 못쓴다는것과 몹수와 피통에 비해 느리고 강한 무기들 벨런스가 너무 약하게 설정된게 아닌가 싶음 크리쳐 부위파괴는 여전히 독보적이라 코옵으로 할만한 게임 찾는거면 추천함 데드 스페이스 1 리메이크 해보고 너무 큰기대를 가지고는 사지 말것,2025-05-07 04:38:08
5,6,False,내다버린 12시간,2025-04-29 13:08:38
6,7,True,스토리는 아쉽지만 갓겜,2025-04-28 12:36:36
8,9,True,어릴 적 저는 이 시리즈를 하게 되면서 반성하는 의미로 사두었습니다. 개인적으로 최애 시리즈는 아니지만 잠시 좋아했던 시리즈,2025-04-02 14:37:06
9,10,False,전작의 색깔이 없어져서 매우 아쉬운 게임 스토리의 큰 틀은 나쁘지 않은 것 같은데 그 진행 과정이 너무 별로라서 흡인력이 부족하고 그 때문인지 미션도 은근히 지루하게 느껴짐 새로 추가된 무기조합 시스템은 괜찮지만 이걸 제대로 써먹으려면 자원과 파츠가 어느정도 모여야 하는데 부족한 스토리 라인와 맞물려 초반부엔 재미를 느끼기가 힘든 단점이 있음 귀찮은거 싫어하는 사람에겐 그냥 직관적인 전작의 노드 강화 시스템이 더 나은듯 타이틀을 제외하고 그냥 게임 자체만 놓고 보면 나쁘지 않은 게임인데 애초에 데드스페이스 시리즈가 아니었다면 샀을까? 잘 모르겠다,2025-03-28 17:35:42
10,11,True,코옵하기에 최고의 게임,2025-03-28 03:55:57
11,12,True,전작들에 비해 별로라는 평이 많기는 해도 크리쳐물이 좋은 사람한테는 여전히 재밌는 게임 공포감은 좀 떨어졌을지라도 그만큼 올라간 액션성과 연출이 좋다 특히 무기 조합 시스템은 상당히 재밌고 좋은 시스템이다,2025-03-25 05:54:32
12,13,True,"한 시대를 풍미하며 어쩌면 게임 역사에 한 획을 그은? 비서럴 게임즈의 ""데드 스페이스"" 시리즈 마지막 작품 비록 전작인 1, 2편에 비해 평가가 다소 낮아졌지만 요즘 출시되는 게임들의 수준을 보면 2013년에 발매된 이 게임의 발끝에도 미치지 못하는 작품이 한 트럭은 될듯 하지만 이 게임을 즐기기 전에 전작 데드 스페이스 1, 2편을 먼저 플레이해보는 것을 추천함",2025-03-11 10:28:59
13,14,True,뒤진우주1~2을 3회차 했었고 10년 되서야 뒤진우주3을 하는데 스토리말고는 여전히 재밌다,2025-02-25 18:00:13
14,15,True,엔딩까지 다봤는데..노튼놈 생각만하면 머리 아프네..내탓 아니라고;;;,2025-02-23 15:45:49
15,16,True,데슾2보다 뭔가 퇴화된거 같은데. 그래도 잼게했다.,2025-02-13 11:51:30
17,18,True,"무기개조, 타격감 좋음 스토리 머리아픔",2025-01-27 02:03:24
18,19,False,ㅈㄴ 하품나옴,2025-01-02 19:45:32
19,20,False,"애미뒤진 쓰레기게임, 절대 함부로 '저장하고 나가기' 버튼 누르지 마라 진행사항은 좆도 저장 안해주고 너는 '그지랄을 또 해야 해?' 라고 생각할 거다. 그리고 너는 그 지랄을 또해야 한다. 그래도 사서 할 거라고? 행운을 빈다... ㅋ",2024-12-06 14:01:46
20,21,True,2024/12/3 기준 멀티 개꿀잼 게임 확정 게임의 디테일이나 무기개조등등 시스템 요즘 게임에 전혀 꿀리는 요소가 없고 처음부터 끝까지 멀티하는 와중에 감탄을 금치못함,2024-12-03 12:38:59
21,22,True,2024년 할로윈때 4400원밖에 안하길래 아는 동생하고 코옵하려고 질렀습니다 막상 동생은 20분만에 어지럽다고 안하더군요 ea에서 넘어와서 도전과제가 80%정도는 바로 달성됬는데 나머지 다 딸라고 그냥 달렸습니다 세이브파일은 사라졌지만 뱅뱅이는 살아서 신나게 달렸습니다 근데 dlc는 할인은 안하네요? 11000원인데? 10년이 넘은 게임이지만 그래도 평작이상은 합니다 할인할때 해보세요 Supercharger Awakened: Finish charging the reactor in under 90 seconds. this achievement is bug....,2024-11-15 09:32:06
22,23,True,어느 행성의 위성 절차보단 재밌는 게임입니다.,2024-11-09 05:34:58
23,24,False,네크로모프보다 무서운 전여친에 대한 집착,2024-10-25 04:02:29
24,25,False,개 노 잼,2024-10-22 07:30:26
