,index,recommend,content,datetime
0,1,False,역대 최악! 베타 버전을 출시하다니.....,2021-11-05 09:33:32
1,2,False,됬고 2021 로스터 업데이트나 해주셈,2021-11-05 03:12:58
2,3,False,뭐라 말할 필요도 없이 쓰레기 입니다.,2021-10-17 15:20:34
3,4,False,시발 이딴 쓰레기를 돈받고 판다고?,2021-10-02 11:54:41
4,5,False,일본의 게임 산업이 얼마나 몰락했는지 확실하게 보여주는 처참한 결과물,2021-10-02 00:22:07
5,6,False,전작을 일안하고 우려먹었으면 일을했어야지? 엔진업데이트 ? ㅋㅋ 와 모바일게임을 큰화면으로 하란소린지 정말 몰랐다 전작 아이코닉 보유도 많은데 보상이고 나발이고 환불했다 4만얼마 그돈받고 뭘하란거냐 마스터리그를 추가결제한다고 ㅋ 응 이제 안사고 안함,2021-10-01 19:53:08
6,7,False,돈이 얼마나 없길래 그동안의 역사를 이렇게 끊어버리나... 그나마 2021도 꾸역꾸역 참으면서 했는데 이건 진짜 뭐하자는 짓인지.... 추가) 7개월 만에 뭔가 바뀌었나 해봤다 ㅅㅂ... 똥을 이쁘게 꾸며봐야 똥이지.... 레벨업 시스템은 조금 나아진거 같은데.... 진짜 댓글 알바 부대 돌렸나...,2021-10-01 07:00:22
7,8,False,언제나오냐 22년내에 나오긴하냐?,2021-10-01 05:18:05
8,9,False,내 위닝 돌려죠 ㅜㅜㅜㅜㅜ,2021-10-01 03:57:35
9,10,False,이게 정발이라고?? 어이가없네,2021-09-30 12:41:56
10,11,False,이걸 게임이라고 내놓은거냐? pc최적화는 개적화라서 부족하지 않은 사양에도 겁나 버벅거리고 즐길수있는 모드는 없고 데모도 이거보단 낫겠다. 안녕 이제 피파로 넘어갈게,2021-09-30 06:41:33
11,12,True,키조작이 매우 어려움 바뀌기 전으로 해주세요 제발,2021-09-30 06:33:11
12,13,False,"패치 이후에 발전된 것은 부정할 수 없는 사실이다. 하지만 발전을 했다고 해도 패치 이전은 게임이라고 할 수 없을 수준이였고, 패치 이후인 지금도 여전히 수준이 낮은 게임이다. PES 2021과 eFootball 2022중 고르라고 한다면 고민없이 PES 2021을 선택 할 정도로. 그래픽적인 오류들은 개선을 많이 하였지만, 게임플레이에 영향을 끼치는 요소들 (조작감, 심판판정, 컨텐츠 등등) 은 최악이다. EA피파와 피온, 위닝을 모두 플레이하는 유저로서, 이번작은 위닝이 가장 수준낮은 게임이라 단언할 수 있다. 나름 위닝에 애정을 갖고 있고, 선수단 퀄리티를 높여야 조작감이 좋아지나 싶어서 현질까지 했지만, 의미 없었다. 리뷰들을 보니 재밌다고 하는 사람이 꽤 있던데, 개인의 취향은 존중하지만, 그런 리뷰에 낚이지 않았으면 한다.",2021-09-30 04:39:47
