,index,recommend,content,datetime
0,1,True,준비물 : 같이할 친구 3명 처음엔 기대를 전혀 안했엇는데 충격적으로 재밌었던 게임,2025-07-15 14:54:19
1,2,True,"'멀미가 없는 """"친구""""가 있다면' 재밌습니다",2025-07-13 14:30:25
2,3,True,진짜아아 너어어어무 재밌어서 사람 중독되게함. 캐릭터도 이쁘기만한게 아니라 못생겨서 오히려 정이감. 친구들이 많으면 더 재밌겠지만 혼자서도 씩씩하게 게임을 즐길수 있다는 점이 맘에 너무 들고 그냥 사 제발,2025-07-12 13:53:51
3,4,True,사서 로그인만 해본 뉴비입니다 같이 할사람 구해요 찐따라 슬프네요 ㅠ,2025-07-11 16:59:11
4,5,True,"정말,,재밌읍니다,",2025-07-09 23:51:26
5,6,True,정말 재밌는데 너무 어지럽다... 우욱 우웩 우웩,2025-07-07 15:01:39
6,7,True,팜황백 시발련아 같이하자며,2025-07-07 01:37:32
7,8,True,친구와 해적이 되는경험을 하고싶다면 강추드립니다 스토리 플레이가 재밌고 협동 플레이가 어느정도 필요합니다 할 친구가..있다면...말이죠,2025-07-04 16:46:44
8,9,True,하다보면 질림 (더 할 예정임),2025-07-04 12:03:05
9,10,False,할게 딱히 없다,2025-07-03 18:12:58
10,11,True,캐리비안의 해적을 생각하고 들어갔다가 폐지줍는 해적1 로 바뀌어버린 개인적으론 최소 3명부터 같이 하면 정말 꿀잼,2025-07-03 01:29:33
11,12,True,헤이 헤이~ 프랜들리~ 프랜들리~ 헤이!!!! 프랜들리!!!!!!!!!!!! 끼아아악 도망쳐!!!!! 야야 포각 나오자나 쏴!!! 어어어어 물찬다 물퍼 물퍼!!! 나무로 수리해!!! 어어어어!!! 저샛기들 우리배 올라온다 야야야야! 야이 븅딱아 바가지로 물을 펐으면 밖에다가 버려야지 왜 다시 안에다가 버려 뛰발... 어어어어 야야야 돛 쓰러진다 빨리 당겨! 수리해! 어어어 야 애들이 앵커 내렸다 쒸바... 앵커 올려!!! 야야 올라온놈 컷! 어? 어어어 야야 화약통 터진다 야야야야 끼아아아악!!!! 휴~... 겨우 도망쳤네... 고생했다... 이런 게임입니다 여러분. 정말 재밌어요~,2025-07-01 08:26:14
12,13,True,신규원 내 3만원 처 내놔라,2025-06-28 12:09:09
13,14,True,장건호 전홍석 손민효 이성범 니들이 하자매 시발련들아,2025-06-28 12:08:37
14,15,True,아무생각 없이 혼자 사서 혼자 했다가 내가 찐따라는걸 한번더 느끼게 해준 게임,2025-06-27 17:59:38
15,16,True,나 믿고 헤라,2025-06-25 02:00:10
16,17,True,??? : Captain~!!!! Captain : Ye- Yeah? ??? : LOOOOOOOOOOOK~!!!!!!!!!!!!! Captain : Oh Fㅇㅇㅇ!!!,2025-06-24 10:11:51
17,18,True,태호야 씨123발 배 수리좀 하라고 싸우지 말고,2025-06-21 13:06:01
18,19,True,약탈하러가자~~~~,2025-06-19 18:42:14
19,20,True,태혁진 씨@발아 니가 하자며,2025-06-12 09:23:27
20,21,True,친구들이랑 해적이 되는게임 상당히 할게 많고 재밌습니다,2025-06-07 16:17:03
