,index,recommend,content,datetime
2,3,False,깔지마라. 이딴게 18년 걸려 만들었다는 게임이면 너희들이 먹고싸고자고만 해도 18년을 더욱 값지게 살았다고 볼 수 있을정도로 똥같은 후속작이다.,2024-08-03 10:44:55
3,4,False,사지마세요 싱글게임조차 플레이 안됩니다 서버연결안됨,2024-08-01 19:15:21
5,6,False,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2024-06-21 11:17:47
6,7,False,TLqkf wjrdls 게임,2024-04-13 12:38:35
7,8,False,24년 2월 16일 기준 평가 절대 사지마시오 얼리억세스라고 말하기에도 부끄러운 버전의 게임을 출시해놓고 23년 1월 이후에는 아예 업데이트가 없는 게임임. 내 슈퍼파워2의 좋은 추억때문에 기대를 하고 삿다가 악몽을 남겨준 개쓰레기. 업데이트가 중간 중간에라도 있었으면 나중에는 나아지겠지라는 생각이라도 할텐데 업데이트 자체가 없는 버려진 게임임.,2024-02-15 18:56:41
8,9,True,Good:),2023-10-21 02:35:38
9,10,False,솔직히 욕먹겠네 2보다 어렵다,2023-10-13 10:43:30
10,11,False,다른사람들이 사지말라고 하는데는 다 이유가 있었다......ㅅㅂ,2023-08-24 16:04:33
11,12,False,기본기 자체가 엉망진창 ㅋㅋ,2023-08-12 19:36:17
12,13,False,앞으로 어디 나가서 게임 만든단 소리 하지 마라,2023-07-02 13:32:47
14,15,False,나는 니 같은 게임 라이브러리에 둔 적 읍다 니는 후계작이 아이다 주워 온 자식이다 나가라!,2023-05-17 12:27:24
15,16,False,이게임하지마세요 ㅋㅋ,2023-05-08 05:05:42
16,17,True,woalddfvjsfdvosw,2023-04-30 12:43:25
17,18,False,제가 이렇게 많이플레이한것은 할게임이 이것밖에없어서 였음니다 하지만 다시과거로간다면 그냥 슈퍼파워1을 하는게 더날것같군요...,2023-02-01 12:31:03
18,19,False,개 ㅆㅂ겜이니깐 사지마세요.,2023-01-23 09:11:21
19,20,False,You betrayed Your fans,2023-01-15 04:14:43
20,21,False,앪읿뒳쥚겖,2022-12-24 07:48:23
21,22,False,최소한 1년 뒤에 버그 해결된 뒤에 하세요,2022-12-16 12:00:18
