index,recommend,content,datetime
1,True,아악 내 머리,2025-07-11 08:27:05
8,False,헬스케어 코로나리 베이징 캔서 땅울림 렛츠고,2025-06-21 10:49:56
10,True,시간녹이기 GOTH,2025-06-09 13:33:23
18,True,녀석은 평범한 우주 코뿔소가 아니야 무기도 전혀 나쁘지 않다고~,2025-05-17 09:44:14
19,True,기단을 살려주세요,2025-05-02 19:13:13
20,True,인생 게임 (진짜 이거땜에 인생망함),2025-04-18 12:55:00
22,True,우주 여행 스샷 맛집 이거 때문에 가끔 킴,2025-04-14 12:36:57
23,True,장점 : 대체할게 없다. 단점 : 대체할게 없다.,2025-04-11 18:19:04
24,True,나는 블리자드 서비스 시절부터 지금까지 이르렀다.. 인생의 희노애락을 데스티니와 함께 했다... 그냥 그렇다 시벌,2025-04-02 10:17:00
25,True,워프레임 했던 유저들은 재미있어하실거에요,2025-03-26 14:44:39
28,True,DLC할인할때 구입 차근차근 이전스토리부터 미는데 갓이라는 말이 나오네 아마 멀티하면 개빡칠거같은데 선봉전만 하고 말아야지,2025-03-11 13:33:15
29,False,이제 와서 할만한 게임은 아닌듯,2025-03-10 08:42:33
30,True,인생을 갈아넣은 게임,2025-03-09 12:03:41
31,True,좀 더 해봐야 알수있을거같음,2025-02-25 11:21:33
32,False,이젠 모르겠다.,2025-02-10 09:33:06
33,False,사상 최고와 사상 최악을 함께 달성한 게임 PVP는 여기까지다,2025-02-10 08:14:24
34,False,병신겜 하지마라,2025-02-08 16:12:46
35,False,안하는게 맞다,2025-02-06 11:33:37
36,True,"나는 망자입니다, 보장합니다.",2025-02-04 17:00:14
38,False,루트 슈터 장르를 통째로 먹어치울 수 있었던 잠재력이 '있었던' 게임 내 게임 인생 최고의 추억과 최악의 경험을 모두 주었던 게임 즐거웠다 씨발련아,2025-01-27 14:54:04
39,True,"이러나 저러나 문제도 많고 말도 많지만 그래도 새 확팩, 새 시즌 열리면 찾게 되는 게임. 그래도 pc질은 적당히 했으면 좋겠다.",2025-01-17 04:33:54
42,False,포세이큰때가 그립다,2025-01-03 17:53:06
45,True,방패병 삭제하라고,2024-12-16 05:39:32
46,False,애미 뒤진 게임 ㅇㅇ 아직도 이거 하는 새끼들은 대가리에 문제가 있다고 보면 된다. 신체에 결손이 있거나 고아원 출신이 아닌 이상 하드디스크에 이딴 게임이 있을 수가 없음.,2024-12-13 13:23:12
47,True,추천합니다,2024-12-03 11:33:40
49,False,이 븅신겜은 핵쟁이 차단할 생각도없고 잡을 생각도없음그냥,2024-11-14 08:14:14
50,True,븅신 같은 새기들아 실행좀 누르게 해달라고,2024-11-05 06:51:36
51,True,재미가 미쳤다 이말이지,2024-11-03 03:39:25
52,False,그냥 똥겜,2024-11-02 11:18:33
53,True,고질적인 불친절 친구 없으면 만들어 와야 컨텐츠 3배 PVP는 고인물 천지 시작할 때 전투력에서 +100정도는 되야 pvp 할만함 짧게 해보고 이정도 후기,2024-11-02 09:13:30
54,True,할 것도 많고 재밌음,2024-11-01 18:01:11
55,True,지금 오지마라. 여긴 지금 이야기가 끝났다. 다음 이야기 때 와라.,2024-10-29 15:15:56
56,True,33살먹고 엔딩보고 울었습니다. 존나 쪽팔리네요.,2024-10-29 02:55:48
58,False,확률주작은뭐야씨1발련,2024-10-25 18:42:32
59,False,이딴 게임 진심 왜하는지 모르겠다,2024-10-23 13:04:14
60,True,근본 루트슈터,2024-10-20 13:35:22
62,True,best game ever,2024-10-17 06:37:35
63,False,서버 꼬라지 봐라..,2024-10-16 11:18:55
66,True,하지마세요 그냥 나만 할랑께,2024-10-08 11:30:06
67,False,잠깐 해봤는데 좆같은게임에 병신같은회사임 하지마,2024-10-05 11:24:32
69,True,1300시간을 플레이 했는데 아직도 못하고 모르는게 너무 많다... 한 4천 시간은 해야 아 하고 감 잡을 듯,2024-09-18 11:07:47
71,True,씨발련들 진짜 이게 마지막이다,2024-09-01 12:26:50
72,True,돌고 돌아 데가,2024-09-01 06:26:33
73,True,갓겜!!!!!!!!!!!!!!!!!!!!,2024-08-31 20:09:18
74,False,버그 망겜,2024-08-28 11:30:15
75,False,하지마 병신게임,2024-08-27 13:08:22
76,True,이제 그만해야것다 .. 할겜이없네,2024-08-26 19:12:27
78,True,인생게임. 인생 그 자체?,2024-08-15 10:29:41
79,False,만일 게임에서 pc 축제를 축하하는글이 있다면 거르시오 이 썩을놈에 pc놈들,2024-08-05 08:48:11
80,True,시즌 스토리 시1발,2024-08-05 06:00:38
81,False,버그 많은 게임,2024-08-01 09:04:27
82,True,그래도... 데가 좋아하시죠?,2024-07-31 17:00:17
84,False,"난이도 뇌절, 병신 매칭, 핵+컨버터 콜라보",2024-07-20 01:44:58
85,True,데스웅챠가디언즈 레이드 맛집입니다.,2024-07-06 15:54:32
87,True,진짜 재미있는데... 설명할 방법이 없네...,2024-06-30 14:53:18
88,False,개 똥망겜 친구없음 아무것도 못함,2024-06-24 14:01:37
