index,recommend,content,datetime
1,True,최고 너무잘만듬,2025-07-16 03:26:25
2,True,재미는 있는데 1회성임... 다시해야될 이유를 못느끼겠음,2025-07-15 19:26:22
3,True,코스타니코,2025-07-15 18:26:55
4,False,생각보다 게임이 불편하고 답답함,2025-07-15 14:34:53
6,True,다른 건 좋은데 왜 강제로 여주냐고요,2025-07-15 13:10:56
8,True,겜불감증 치료제,2025-07-15 08:45:12
12,True,"게임 내내 너무 즐거웠습니다. 보는 맛, 듣는 맛, 하는 맛이 다 있는 웰메이드 게임이었습니다. 다만, 퍼즐이나 파쿠르 요소가 제 개인적인 취향엔 잘 안 맞았던 것 같습니다.",2025-07-15 03:52:54
16,True,말이 필요없음 갓겜!!!!!!!!!,2025-07-14 14:19:05
17,True,굿굿 노가다가 있어도 보상을 보고 하니 굿굿,2025-07-14 13:06:13
21,True,다른 아쉬운 부분들이 몇 개 보이지만 눈이 즐거워서 용서가 됨,2025-07-14 01:23:04
23,True,"점프, 상호작용, 스킵 << 이 세가지 때문에 울화통이 터졌던 게임 홍련 보스전은 정말 재밌었습니다",2025-07-13 19:25:16
24,True,이 게임 키보드로 하면 손해입니다. 플스 듀얼센스 사서 하세용 개맛도리 인생겜,2025-07-13 16:34:05
26,True,그저 갓겜,2025-07-13 15:55:07
28,True,너무 재밌게 하고있습니다,2025-07-13 13:24:22
30,True,이 게임은 홍련 얼굴 모드를 설치함으로써 비로소 완성된다.,2025-07-13 12:54:33
31,True,소울류 처음 해보는데 개재밋음 ㅇㅇ,2025-07-13 12:51:04
32,True,다 좋은데 수영 조작감 상호작용을 정해진 위치에서만 하는거만 빼면 아주 좋습니다,2025-07-13 12:41:25
33,True,나만 전투만 생각하면서 한거야?,2025-07-13 12:37:53
34,True,재밌어요!,2025-07-13 12:37:12
36,True,이제 해봤는데 개재밌네 굿굿,2025-07-13 12:21:29
37,True,안녕하세요,2025-07-13 11:42:04
39,True,비주얼 bb 게임성 bb,2025-07-13 11:35:40
41,True,그냥 최고 네요~,2025-07-13 10:52:38
43,True,재밌어요 ㅎㅎ 즐겁게 눈요기했네요 ㅎ??,2025-07-13 10:12:08
44,True,해. 일단 해봐.,2025-07-13 10:10:06
50,True,"스토리는 이미 어디선가 본 듯한 내용들을 허술하게 끼워 맞춰놨지만, 전투가 매우 재미있음. 거기다 보기도 좋은 떡이 먹기도 좋다고, 캐릭터들이 예쁘니까 게임할 맛 남.",2025-07-13 06:00:31
51,True,아래가 화나서 게임을 못하겠어요,2025-07-13 03:12:03
52,True,명작은 아니지만 수작정도에 무난한 게임,2025-07-13 02:33:05
53,True,플스5 초기버전 디스크 합체본에서 하는것보다 그래픽 계단현상도 거의 없고 화질도 선명하고 부드러움. 4k 144hz 모니터에 전체화면으로 플레이중,2025-07-13 02:17:04
56,True,다른건 몰라도 이건 까야합니다 파쿠르 x같음!,2025-07-12 18:25:19
58,True,오랜만에 밤샘하는 게임이네요..ㅎㅎ 할게많아서 너무 잼납니다,2025-07-12 16:59:21
59,True,형태형 최고,2025-07-12 16:56:59
60,True,게임이 친절하고 엉덩이가 맛있어요.,2025-07-12 16:46:34
61,True,하...정말 너무 재밌다 ㅠㅠ 퇴근하고 매일같이 했네,2025-07-12 16:36:30
63,True,스토리 개맛집,2025-07-12 15:31:49
64,True,어후... 주님 이 겜은 너무 파괴적입니다... 소울류 처음이라 어려움으로 시작해서 존나 뒤지고 있는데도 웃으면서 플레이하고 있습니다,2025-07-12 14:13:28
65,True,전투 손맛이 좋음,2025-07-12 13:19:32
66,False,나한테 너무 어려운 난이도인데 키씹힘까지 너무 많이 나오니 진행이안됨,2025-07-12 12:50:44
67,True,재밌다 진짜 재밌따,2025-07-12 12:29:42
68,True,최적화도 잘되 있고 스팀덱도 잘 돌아 가고 정말 재미 있네요,2025-07-12 12:27:38
70,True,결제가 아깝지 않음,2025-07-12 12:14:33
73,True,올해 최고의 게임,2025-07-12 08:20:52
74,True,"훌륭한 모델링, 아쉬운 나머지 - ★★★☆",2025-07-12 08:19:31
75,True,이게 키무라횬타이상의 진심펀치?,2025-07-12 08:10:51
77,True,멀미가 엄청나요,2025-07-12 06:22:02
78,True,그냥 재밌음. 소울류 어려워서 못해서 맨날 아쉬웠는데 스텔라블레이드는 소울같은 느낌이면서 캐쥬얼한? 일단 이브가 너무 이쁘다,2025-07-12 06:15:40
79,True,이걸 왜 안함?,2025-07-12 05:58:19
80,True,흠잡을데가 없다. ㅋ,2025-07-12 04:59:32
81,True,3.9/5 액션과 연출이 훌륭함. 다만 중간에 조작중에 불쾌한 경험 몇몇 있어서 아쉬움.,2025-07-12 04:21:24
82,True,말은 필요없다 사서 해봐,2025-07-12 02:54:35
85,True,이브가 예쁘고 전투는 재밌으나 길치들에게 매우 불친절한 길찾기,2025-07-11 20:38:58
86,True,분명히 두시간만 할라했는데..,2025-07-11 19:30:52
87,True,"그래픽 이쁨, 캐릭터 이쁨, 옷 줜나 많음, 스토리 재밌음, 액션 야무짐 근데 수영할 때만 좀 하자 있음",2025-07-11 18:39:41
89,True,진짜 개재밌음 인생겜임,2025-07-11 17:33:08
92,True,비쥬얼에 끌려서 시작했다가 액션에 몰입하는 게임,2025-07-11 15:29:50
94,False,뜬금 없는 전개와 평범한 액션. 여캐에 관심 없는 나같은 사람한테는 아무런 장점이 없는 게임.,2025-07-11 13:54:32
95,True,시간 가는줄 모르고 하고있네요,2025-07-11 13:15:06
96,True,The funniest,2025-07-11 11:56:49
97,True,엉덩이가 재밌고 게임이 섹시합니다.,2025-07-11 09:04:53
98,True,완전 겜알못에 처음 스팀게임 제대로 해봤는데 난이도도 조절가능하고 액션모션들이 아주 마음에 듭니다. 이브 뒷태는 갓..!,2025-07-11 05:25:21
99,True,키를 눌렀는데 왜 작동을 안하니,2025-07-11 01:50:04
100,True,현존최고의게임,2025-07-11 00:25:51
