index,recommend,content,datetime
1,True,실제로 가본적 있는 명소들이 나오니까 추억도 되고 너무재미따,2025-07-16 02:36:59
6,True,구매 안하려 했으나 할인하는거보고 구매했는데 재밌었다. 야스케 말고 동양인 남케 주인공에 언플 없었으면 천만장도 팔았을듯 재밌지만 주둥이로 말아먹은 게임,2025-07-14 15:34:31
8,True,재미는 있는데 뭔가 손이 안감,2025-07-14 11:24:39
10,True,재밌는데요?,2025-07-12 14:00:06
12,False,나오에 옷은 언제 이쁜거나오냐 근데 노잼임 어딜가나 똑같은 플레이,2025-07-11 17:45:05
14,False,"bgm 최악, 스토리 최악. 할인해서 사도 돈아까움",2025-07-10 22:36:43
15,True,조선시대 배경으로 만들어 주세요,2025-07-10 13:50:09
16,True,대표 장수 프랜차이즈 AAA 게임으로 부족함이 없는 멋진게임 개인적인 바램인 멋진 오픈월드맵에 생활요소나 상호작용이 좀 더 있으면 좋지않았을까 하는,2025-07-08 09:58:11
20,True,나름 할만함 고스트오브쓰시마를 좋아하면 ....,2025-07-06 23:26:02
21,True,재밌는데요? 유비식이라도 암살겜은 내 취향에 딱 맞는듯...,2025-07-06 14:56:45
24,True,존나재미땅.. 우주미친초갓겜 ㄷ G.O.T.Y,2025-07-04 20:34:19
25,True,그냥 그래픽 미쳤음.. 유비식 오픈월드라고 하지만 이번작은 그중에서도 재밌는편,2025-07-04 13:36:54
27,True,"재미, 그래픽, 잠행만큼은 어크 시리즈중에 젤 좋음",2025-07-03 12:25:50
29,False,폭탄세일할때 다시사서 해보겟읍니다,2025-07-02 17:52:47
30,True,저평가된 재밌는 게임이라고 생각합니다,2025-07-01 08:19:20
31,True,어쌔신 크리드 대체적으로 평타 이상인거 같아요,2025-06-30 15:48:45
32,True,이게임을 하겠다고 포맷을 했네 ㅋㅋ 근데 개인적으로 나는 재밌었음,2025-06-30 15:44:46
34,True,"난 좋았어, 잘산것같아. 퇴근하고 집에오면 한시간정도 자유시간이 있어. 이걸 하기위해 하루종일 버텼어. 난 만족해. 지지난해 가봤던 기요미즈데라도 있더라.",2025-06-29 16:14:21
35,True,goog game,2025-06-29 12:45:17
36,True,그냥 ㅈㄴ 재밌음,2025-06-29 09:58:51
37,True,기존 시리즈 대비 크게 빠지는 부분 없이 할만합니다.,2025-06-28 15:20:27
38,True,더 해봐야 알겠지만 일단 재밌고 스토리에 감동도 있어요.,2025-06-28 06:47:54
39,True,존나게 재밌는데 왜 이거 평가가 안 좋냐,2025-06-26 10:02:47
40,True,주인공 논란 있지만 나는 재밌게 했음,2025-06-25 15:21:54
41,False,너무 재미없어요 도전과제 깨려고 꾸역꾸역 하는중,2025-06-23 09:18:22
42,False,최근 어쌔신크리드중에서는 그나마 잘뽑혔지만 유비식 오픈월드의 지루함을 극복하지 못하고 중도하차.,2025-06-22 10:09:25
43,False,반복 반복 반복,2025-06-22 02:19:20
44,False,오류 투성이고 돈이 아깝다 짜증나내,2025-06-21 16:14:09
46,True,어? 왜 재밌지?,2025-06-16 12:20:43
48,True,아니 락음악은 진짜 ㅋㅋ 너 살인을 즐기는구나 나오에!,2025-06-15 14:58:19
