index,recommend,content,datetime
1,True,터널턴 하쉴?,2025-07-06 05:21:02
3,True,머리 벅벅 긁으면서 풀테안경 ㅈ돼지 년들이 할만한 게임이네 ㅋㅋ 일단 난 재밌다 ㅇㅇ,2025-03-25 07:28:43
4,True,쇼이치 너프좀 쳐해라,2025-02-21 10:42:40
5,True,재밌자자너~,2024-09-24 01:47:11
6,True,"망겜임,,",2024-03-14 04:10:53
9,True,하면 할수록 재밌네요 롤하다 와서 그런지 좀 복잡하긴 하지만 적응 하면 재밌음 ㅇㅇ,2023-11-05 12:08:59
10,True,"""오타쿠롤""",2023-10-31 12:40:08
11,True,편의성이 좋아져서 배우기가 쉬워짐 꿀잼,2023-10-15 07:56:41
14,True,롤같은 게임 잘 못하는데도 할만합니다. 재밌네요.,2023-08-25 06:30:34
15,True,정식출시하고 겁나 재밌어짐,2023-08-22 16:56:23
16,False,하지마라.,2023-07-11 15:15:28
18,True,이터널리턴 갓겜입니다.... 떠나지 말아줘요,2023-04-05 07:59:31
19,False,로딩 개선안하냐 ㅈㄴ똥겜이네 ㅆ발,2023-03-20 13:31:10
20,False,병신 억까겜,2023-03-19 05:28:08
21,False,사출 방지 삭제해라,2023-01-11 09:51:55
22,True,게임됫습니다,2022-12-17 09:19:32
23,True,"선일아, 승준아 같이 좀 하자",2022-11-26 15:56:40
24,True,계속죽긴하는데 재밌음,2022-06-09 15:40:47
25,True,같이하면 재밌을것같은데 찐따라서 같이할친구가한명도 읎다.......ㅠ,2022-02-25 14:55:49
26,True,난 잼있으니 성공해라!!!!!!,2022-01-10 13:01:33
27,True,재미있습니다. 상당히,2022-01-09 13:07:19
28,True,진짜 재밌음,2021-12-14 02:03:01
29,True,블랙서바이벌의 자식. 재미있다. 크로니도 하는 갓겜,2021-11-30 02:21:44
32,True,정치 좃망겜,2021-09-05 03:43:41
34,True,하다보면 개빡쳐서 강종하게 되는 게임 그렇게 게임끄고 침대에 누우면 생각나서 또 키게되는 게임 근데 또 플레이버튼 누르기 무서운 게임... 마약이다 마약...,2021-06-30 14:21:21
35,True,지구 역사상 최고의 게?임,2021-06-25 06:20:57
37,True,앙 라이따~,2021-05-09 06:44:49
38,True,롤 + 배틀로얄 + 운빨파밍 = ?,2021-04-07 00:13:10
43,True,음 나름 괜찮은 게임,2021-01-30 07:56:31
44,True,이 갓겜은 무조건 해야됩니다. 롤과 배그의 장점을 섞은 최고의 게임,2021-01-30 06:52:43
45,False,개병신 겜,2021-01-27 04:47:16
46,True,ㄱㅆㅅㅌㅊ,2021-01-23 15:02:04
47,True,재미있어요,2021-01-04 00:17:04
48,True,ㅅㅂ 서버관리 안하냐 왤케 버벅되냐,2021-01-02 13:52:08
50,True,"배틀그라운드,롤의 시스템을 적절히 잘 버무려 기발한 아이디어로 좀 더 새로운것을 만들어냈다. 이런 게임이 성공 했으면 좋겠다,",2020-12-14 12:33:46
51,True,시간가는줄 몰랐네,2020-12-10 12:52:17
52,True,쉬우면서 재밋음,2020-12-10 10:10:23
53,True,줜나 재밌네 롤에서 상처 받은걸 여기에서 치유받는 느낌 듀오 돌릴때 아이템 필요한거 덜궈주면 은근감동느낌 분식집에서는 못느끼는 순한맛...,2020-12-06 11:35:57
55,False,킬을 땄는데 시발 점수가 왜 깎이냐 진짜 병신이네,2020-11-27 20:12:29
56,True,롤 프리시즌보다 재밌음,2020-11-27 16:18:11
57,True,it's better than lol and BattleGround !!!,2020-11-23 11:03:41
58,False,매칭 버그있습니까? 계속 매칭창만 보고 있으니 짜증나네 패치쫌 해요 제발 ㅡㅡ 하 매칭준비안하면 게임패널티나 랜덤으로 골라줘요 제발 게임할수가없네 서버도 계속 안열려있으면서,2020-11-14 21:45:12
60,True,생각보다재밌음,2020-11-06 14:36:09
61,True,생각보다 개꿀잼임,2020-11-06 13:11:50
