index,recommend,content,datetime
2,True,게임은 잘 만들어 놓고 운영을 진짜 못합니다.,2023-09-25 12:00:34
3,True,짱개게임 최고아웃풋,2022-07-17 10:00:16
4,True,개꿀잼입니다. 롤 디아 리니지 합쳐놓은거같네요,2021-11-14 00:53:31
5,False,안되네요. 내 43140원..,2021-11-13 10:09:56
7,False,키워주는 길드없으면 초보는 그냥 고기방패입니다. 이미 고인물과 갭이너무 벌어져서 현질 쏟아 부어도 따라잡기 힘듬.,2021-08-11 23:14:27
9,True,대체 불가능한 전쟁 게임,2021-03-21 08:09:46
12,True,good!,2020-12-23 09:50:53
18,True,난 시발 이걸 3만원주고삿다 꺄르르륵,2020-07-20 12:34:07
19,False,슈벌 제값주고 샀는데 무료화라니...내가 흑우라니...내가 흑우라니!!!!!,2020-06-17 05:33:30
27,True,무료이면서 멀티플레이라 좋으면 최적화가 아쉬운 부분이다,2020-04-23 08:43:59
28,False,시즌2인데 중국 썩은물이 넘처남.. 괸히 복합적이아님 차이 넘어갈려면 상당한 시간필요할듯,2020-04-18 13:39:57
29,True,손맛이 상당합니다. 상당히 재미있습니다.,2020-03-28 04:49:54
30,True,재밌습니다.,2020-03-26 08:49:12
31,True,한글화이후 분리해서 좋네요.,2020-02-05 14:58:56
32,True,"이런 화질로 게임을 할 수 있다는게 참 신기하다.. 중세시대 배경 전쟁게임 좋아하는 사람이라면 좋아할 듯,,, 한글버전 빨리 나오길 바램!_!",2020-02-01 06:34:22
37,True,good fun let play,2019-11-12 05:20:24
38,True,게임자체는 좋다. 운영이 줫같다.,2019-09-19 06:27:51
41,False,분명 잘 만든거 같은데 중국게임이라는 선입견을 날려줄 만큼 잘 만들긴 했는데 뭔가 아쉬워..하다가 환불,2019-08-12 13:28:45
42,True,한국 카페 가입하고 하우스갑입하니까 잼있다 짱개를 몰아내자,2019-08-09 22:28:46
45,True,자벨린 병과 버그 너무 많아요 4.5성 임페리얼 자벨린 차지 왜 인겜에서 못쓰나요. 차지 데미지 증가 쿨감 특성은 만들어 놓고,2019-08-03 11:34:18
47,True,정말 원했던 컨텐츠만 모아놓은 게임 짱재밌음,2019-07-29 06:09:36
49,True,중국 쥣망 게임 개꿀,2019-07-27 11:35:09
52,True,정복자의 칼날 재밌어요같이해요,2019-07-24 04:24:25
53,False,존나 팅기네 못해먹겠다.,2019-07-23 19:00:47
56,True,별로 안해봤는데 할만하네요.,2019-07-20 16:54:39
57,True,넘나재밌음,2019-07-19 17:32:55
60,True,접었다가도 연어처럼 돌아오는 겜임. 이런 내가 싫다...,2019-07-19 08:39:47
61,True,해라 두번해라 세번해라 1.하우스(길드)에 가입해라 2.30~35구간은 생각없이 해라 3. 레벨 오를수록 재밌어지는 게임이다. 4. 후반컨텐츠 엄청 많은 게임이다.,2019-07-19 08:02:40
67,True,"중세 전투 게임 중 가장 재미있는듯, 마운트 앤 블레이드 온라인 버전 중 가장 성공한 작품이라고 생각하면 됨, 가격에 비해 컨텐츠도 많음, 중세 덕후라면 꼭 추천 합니다.",2019-07-17 02:26:20
68,True,도대체 아이템을 쥰내 어렵게 구하고 궁극기 찍어놨더만 스킬이 장착란에 없네 이거 어캐하나요;,2019-07-16 16:57:32
73,False,[h1]재밌어요. 102분 까지는요.[/h1],2019-07-15 14:24:57
78,True,아쉬운 타격감 . 없어져 버린 킹덤언더파이어가 이랬을까?,2019-07-13 15:46:30
79,True,아직 몇시간 하진 않았지만. 진삼국무쌍+마운트앤블레이드 섞어놓은듯한 게임입니다. 일단 개발되는 게임치고 완성도가 좋아 보입니다. 아쉬운건 타격감과 한글화인데 못할만하진 않습니다.,2019-07-12 15:02:58
80,True,꿀잼입니다. 한국어 번역이 안되어 있어서 아쉽네요..,2019-07-12 13:23:40
81,True,원래 북미서버에서 하다 왔는데 게임이 많이 바꿔서 너무 좋아요 같이 하실분 구해요~ 핑 너무 좋음,2019-07-11 13:10:55
